HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.filler,userid,
32W3UF2EZOS5RJHKQJ9V0AOJZHJC4O,3EXOM20K1NGP6I373LKRAHMWHFZ5PT,Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.,"As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment",$1.50 ,Sat May 18 08:26:03 PDT 2019,9,BatchId:3647783;OriginalHitTemplateId:;,3600,259200,Mon May 20 08:26:03 PDT 2019,,,32Z9ZLUT1MR2Y40BLX76EJMQOSFOHY,A3B43EHV3X455M,Approved,Sat May 18 09:28:16 PDT 2019,Sat May 18 09:32:21 PDT 2019,Tue May 21 09:32:21 PDT 2019,Tue May 21 09:32:29 PDT 2019,,,245,100% (1/1),100% (1/1),0% (0/0),0,2bd232b2,
32W3UF2EZOS5RJHKQJ9V0AOJZHJC4O,3EXOM20K1NGP6I373LKRAHMWHFZ5PT,Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.,"As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment",$1.50 ,Sat May 18 08:26:03 PDT 2019,9,BatchId:3647783;OriginalHitTemplateId:;,3600,259200,Mon May 20 08:26:03 PDT 2019,,,3DR23U6WE6L6RMEHRDLZNQV0VK7ETX,A3D2GO0IFRFN6R,Approved,Sat May 18 10:00:06 PDT 2019,Sat May 18 10:21:52 PDT 2019,Tue May 21 10:21:52 PDT 2019,Tue May 21 10:22:29 PDT 2019,,,1306,100% (1/1),100% (1/1),0% (0/0),0,39a23ae7,
32W3UF2EZOS5RJHKQJ9V0AOJZHJC4O,3EXOM20K1NGP6I373LKRAHMWHFZ5PT,Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.,"As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment",$1.50 ,Sat May 18 08:26:03 PDT 2019,9,BatchId:3647783;OriginalHitTemplateId:;,3600,259200,Mon May 20 08:26:03 PDT 2019,,,3EG49X351VJ9VOUMQ53Y05OTRIU6XA,A28IFWT5CR33RZ,Approved,Sat May 18 08:44:22 PDT 2019,Sat May 18 09:22:52 PDT 2019,Tue May 21 09:22:52 PDT 2019,Tue May 21 09:23:29 PDT 2019,,,2310,100% (1/1),100% (1/1),0% (0/0),0,8bc22e79,
32W3UF2EZOS5RJHKQJ9V0AOJZHJC4O,3EXOM20K1NGP6I373LKRAHMWHFZ5PT,Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.,"As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment",$1.50 ,Sat May 18 08:26:03 PDT 2019,9,BatchId:3647783;OriginalHitTemplateId:;,3600,259200,Mon May 20 08:26:03 PDT 2019,,,3HOSI13XH0VUIR4K9SA0C4VTSMNDDP,A33UVS8TAJCHSN,Approved,Sat May 18 10:31:57 PDT 2019,Sat May 18 10:48:51 PDT 2019,Tue May 21 10:48:51 PDT 2019,Tue May 21 10:49:30 PDT 2019,,,1014,100% (1/1),100% (1/1),0% (0/0),0,7af24207,
32W3UF2EZOS5RJHKQJ9V0AOJZHJC4O,3EXOM20K1NGP6I373LKRAHMWHFZ5PT,Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.,"As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment",$1.50 ,Sat May 18 08:26:03 PDT 2019,9,BatchId:3647783;OriginalHitTemplateId:;,3600,259200,Mon May 20 08:26:03 PDT 2019,,,3J4Q2Z4UTZANG68GV9LA4RRDIH9WQD,A2766O35JUD7LO,Approved,Sat May 18 09:23:48 PDT 2019,Sat May 18 09:40:34 PDT 2019,Tue May 21 09:40:34 PDT 2019,Tue May 21 09:41:29 PDT 2019,,,1006,100% (1/1),100% (1/1),0% (0/0),0,fed230fb,Good
32W3UF2EZOS5RJHKQJ9V0AOJZHJC4O,3EXOM20K1NGP6I373LKRAHMWHFZ5PT,Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.,"As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment",$1.50 ,Sat May 18 08:26:03 PDT 2019,9,BatchId:3647783;OriginalHitTemplateId:;,3600,259200,Mon May 20 08:26:03 PDT 2019,,,3MB8LZR5BG0LU9YMEQUBZUYOL4FKLI,A16KMPWYUZO0M6,Approved,Sat May 18 09:37:03 PDT 2019,Sat May 18 09:48:04 PDT 2019,Tue May 21 09:48:04 PDT 2019,Tue May 21 09:48:29 PDT 2019,,,661,100% (1/1),100% (1/1),0% (0/0),0,59f235f8,fun study
32W3UF2EZOS5RJHKQJ9V0AOJZHJC4O,3EXOM20K1NGP6I373LKRAHMWHFZ5PT,Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.,"As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment",$1.50 ,Sat May 18 08:26:03 PDT 2019,9,BatchId:3647783;OriginalHitTemplateId:;,3600,259200,Mon May 20 08:26:03 PDT 2019,,,3QAVNHZ3ENBFIWP02ZHM5GVSGS8LAR,A1BM57TUNAQIXM,Approved,Sat May 18 09:26:42 PDT 2019,Sat May 18 09:46:25 PDT 2019,Tue May 21 09:46:25 PDT 2019,Tue May 21 09:46:29 PDT 2019,,,1183,100% (1/1),100% (1/1),0% (0/0),0,5ee23430,
32W3UF2EZOS5RJHKQJ9V0AOJZHJC4O,3EXOM20K1NGP6I373LKRAHMWHFZ5PT,Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.,"As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment",$1.50 ,Sat May 18 08:26:03 PDT 2019,9,BatchId:3647783;OriginalHitTemplateId:;,3600,259200,Mon May 20 08:26:03 PDT 2019,,,3XXU1SWE8N22L00ED6V37W34DUXA07,A1PAY3X73PQ16S,Approved,Sat May 18 08:31:40 PDT 2019,Sat May 18 08:37:53 PDT 2019,Tue May 21 08:37:53 PDT 2019,Tue May 21 08:38:29 PDT 2019,,,373,100% (1/1),100% (1/1),0% (0/0),0,1df22596,
32W3UF2EZOS5RJHKQJ9V0AOJZHJC4O,3EXOM20K1NGP6I373LKRAHMWHFZ5PT,Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.,"As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment",$1.50 ,Sat May 18 08:26:03 PDT 2019,9,BatchId:3647783;OriginalHitTemplateId:;,3600,259200,Mon May 20 08:26:03 PDT 2019,,,3ZAK8W07I5LM09ECJBCU7XFYKYB0UX,A3IRT5NAX14OIT,Approved,Sat May 18 10:38:23 PDT 2019,Sat May 18 11:08:52 PDT 2019,Tue May 21 11:08:52 PDT 2019,Tue May 21 11:08:55 PDT 2019,,,1829,100% (1/1),100% (1/1),0% (0/0),0,fbc2482b,this was fun
3HYV4299H03L7IO0YD537A4RMFSE8Q,3EXOM20K1NGP6I373LKRAHMWHFZ5PT,Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.,"As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment",$1.50 ,Sat May 18 08:26:03 PDT 2019,9,BatchId:3647783;OriginalHitTemplateId:;,3600,259200,Mon May 20 08:26:03 PDT 2019,,,33TIN5LC05HLDCMUT8SC3TM4JQEY93,A1PHDT66U6IK4Q,Approved,Sat May 18 11:18:15 PDT 2019,Sat May 18 11:38:41 PDT 2019,Tue May 21 11:38:41 PDT 2019,Tue May 21 11:39:33 PDT 2019,,,1226,100% (1/1),100% (1/1),0% (0/0),0,dec24cb0,
