,AssignmentId,WorkerId,bonus,bonus_reason
1,33LKR6A5KFR77LK5FPQKG6C69UAT15,A2I19TY4P5IAIE,1.0,Bonus for tictactoe task. Thank you for participating in our study!
2,3SBEHTYCWOAEODFXX2YPGML75Y3YIR,A3S1TLYMH9WWUG,1.0,Bonus for tictactoe task. Thank you for participating in our study!
7,3DI28L7YXBL5I228PU1PHKC5ABF1E1,A1SX8IVV82M0LW,1.0,Bonus for tictactoe task. Thank you for participating in our study!
11,3PZDLQMM0USXAP0QC7V8WFM7H5GC20,A1YIB5TROGB6YP,1.0,Bonus for tictactoe task. Thank you for participating in our study!
13,3VA45EW49OURUTFXJ84LMW6JEDMO1T,A1EN3FW93BSXQQ,1.0,Bonus for tictactoe task. Thank you for participating in our study!
14,3M23Y66PO3E1Z78NWVXB1X71JD46S5,A3ICFFGBUY4WP9,1.0,Bonus for tictactoe task. Thank you for participating in our study!
17,3SKRO2GZ72Y842UILGCSFFPAU8B1KL,A1EQ1LHEEIQ3UA,1.0,Bonus for tictactoe task. Thank you for participating in our study!
21,3RWE2M8QWIH95JU3MA08T2N4JBFN0E,A2YGOORS5N9RW8,1.0,Bonus for tictactoe task. Thank you for participating in our study!
22,32N49TQG3HPIE11UG3JSSPTUE0TVAU,A10O5YR01H865K,1.0,Bonus for tictactoe task. Thank you for participating in our study!
23,30BXRYBRP54A3D9DCJYGVDZCY4LHW1,A16OH8XXYY0AAS,1.0,Bonus for tictactoe task. Thank you for participating in our study!
29,3IXQG4FA2U5P04TJJGESVIO35R2B9Y,A38LEVBZ3P5F6T,1.0,Bonus for tictactoe task. Thank you for participating in our study!
30,3VJ40NV2QJUS3DR6LROVS2PE6XOTOK,A3141EW4WZT4Q0,1.0,Bonus for tictactoe task. Thank you for participating in our study!
34,39KFRKBFIO2OKZQ0VXBU0JIUM4WYOI,A36NAN5390HHJG,1.0,Bonus for tictactoe task. Thank you for participating in our study!
36,3RXCAC0YISWLDGIKUA0SWXLQ2338GS,A115UFR6VA6OM1,1.0,Bonus for tictactoe task. Thank you for participating in our study!
39,3FPRZHYEPZEIUG297O4I5HGP9WZ3VK,AHEEMGVMGEMEQ,1.0,Bonus for tictactoe task. Thank you for participating in our study!
42,3JRJSWSMQIS1S5GNCYF85DS391WE3P,A1SQG9MJDO7OPM,1.0,Bonus for tictactoe task. Thank you for participating in our study!
