,userid,board_size,condition,board_type,solved_correct,validated_correct,timeSolution,timeValidation,actionsSolution,actionsValidation,timestamp,AssignmentId,WorkerId,bonus
0,dcd55a21,6,full,easy,FALSE,FALSE,149623,26128,12,0,1.56E+12,3OXV7EAXLFXXFQN86GWATP0QSQJ63H,AD86UQ62HUAJN,0
1,73b55a82,6,pruned,easy,TRUE,TRUE,61494,44448,2,3,1.56E+12,3ZAK8W07I5LM09ECJBCU7XGZS0GU0B,A2LTOS0AZ3B28A,1
2,2ae55a14,6,pruned,easy,TRUE,TRUE,80039,33199,13,3,1.56E+12,3H7XDTSHKDYW3HE2SDGYADOCKXGWGF,A3DUPRZSMU9W5R,1
3,32a55a14,6,pruned,easy,TRUE,TRUE,123408,46575,18,4,1.56E+12,38JBBYETQPHMA1ZRCCKRFIK9NO3E4V,A1HDFIW3AHNNAT,1
4,f1a55a0f,6,full,easy,TRUE,TRUE,175970,54061,21,4,1.56E+12,3PXX5PX6LY535N3OBMSSRD0OC1MBA3,A2SMYTSOFEFCR3,1
5,93c55a1b,6,pruned,easy,TRUE,TRUE,147119,25009,54,3,1.56E+12,3LEP4MGT3H713U60VWJUHE8UX4JBD5,ARVXIBUCA8WDZ,1
6,8cc55abe,6,full,easy,TRUE,FALSE,138616,54462,12,3,1.56E+12,30BXRYBRP54A3D9DCJYGVD0DZXTWHE,A171UXH8M8F6HS,0
7,73a55a39,6,pruned,easy,TRUE,TRUE,96686,66156,34,3,1.56E+12,3U84XHCDIDKKLWQN8ZY40SLRBUBZ4L,AJMBXR9T9XOUG,1
8,bea55a9c,6,pruned,easy,FALSE,FALSE,204599,33107,27,0,1.56E+12,3LOTDFNYA86QPHI7HTAGSSO0JIGWFG,A10VSBSNWO84SH,0
9,99a55a43,6,full,easy,TRUE,FALSE,283793,66787,44,4,1.56E+12,3Z3ZLGNNSJ1QP86SLPA8ZUHHSRV3QB,A2RERBGRTEWXK4,0
10,15b55c06,6,full,easy,FALSE,FALSE,138792,29422,13,0,1.56E+12,3SUWZRL0MZK0PO35V0D6CG4NJF9E6G,AJ7ZG426Z02RJ,0
11,9da55acf,6,full,easy,TRUE,TRUE,589738,24764,106,4,1.56E+12,3EJPLAJKENNY0JU1RNRJXQ557LHZ66,A3TBR9GIXU42DM,1
12,a7f55a0a,6,full,easy,TRUE,TRUE,409998,49387,51,4,1.56E+12,3J2UYBXQQMJ1YYOBNTERRR2JPEZ60M,A27Y4NEIQQH00M,1
