,Unnamed: 0,userid,board_size,condition,board_type,solved_correct,validated_correct,time_solution,time_validation,actions_solution,actions_validation,time,AssignmentId,WorkerId,bonus,board_name
0,0,15b2249e,10,full,medium,FALSE,FALSE,94034,18913,8,0,1.55819E+12,3MRNMEIQW6DDG3SCM98OVH3Y1V5LDT,AY5OS6NZWVX22,0,10_full_medium
1,1,1df22596,6,pruned,easy,TRUE,TRUE,89862,32067,7,3,1.55819E+12,3XXU1SWE8N22L00ED6V37W34DUXA07,A1PAY3X73PQ16S,1,6_pruned_easy
2,2,9cf22841,6,pruned,easy,FALSE,FALSE,275932,99550,33,0,1.55819E+12,36ZN444YTS52UZBVRFPREVN5O5IIO9,A1ZI4VU6650Q8B,0,6_pruned_easy
3,3,aca229a6,10,full,easy,FALSE,FALSE,571463,106651,115,0,1.5582E+12,3B1NLC6UG036J8H1GR23IJFFJXOPG7,A3HE29W5IDR394,0,10_full_easy
4,4,d5b22aaa,10,full,easy,FALSE,FALSE,569102,66395,115,0,1.5582E+12,3OSWBBLG1F48GX910SBC6BYL84IDXA,A28JANGJRFGGAZ,0,10_full_easy
5,5,c5e22eb3,10,full,hard,TRUE,TRUE,60857,54013,15,7,1.5582E+12,3EFE17QCRDCHWWS4SEOFYOWRLH6SHN,A3FAF93BMDJLAL,1,10_full_hard
6,6,ecb22d03,10,full,hard,TRUE,TRUE,288423,48530,56,5,1.5582E+12,34BBWHLWHBIAZ8KXI1G1VP0RR7LIWP,A2QWTQ4I70BRWO,1,10_full_hard
7,7,8bc22e79,10,full,easy,TRUE,TRUE,370925,17325,70,4,1.5582E+12,3EG49X351VJ9VOUMQ53Y05OTRIU6XA,A28IFWT5CR33RZ,1,10_full_easy
8,8,2bd232b2,10,full,hard,FALSE,FALSE,57634,34415,11,0,1.5582E+12,32Z9ZLUT1MR2Y40BLX76EJMQOSFOHY,A3B43EHV3X455M,0,10_full_hard
9,9,9ad23291,6,full,easy,TRUE,TRUE,143775,52206,21,8,1.5582E+12,3H7XDTSHKDYW3HE2SDGYADNBCUPGWR,A2ZBDSR2LZNVAE,1,6_full_easy
10,10,16a2336c,6,pruned,easy,TRUE,FALSE,63490,6192,9,0,1.5582E+12,3634BBTX0P18OMY2SC61R1ERW4RFIK,A1YSYI926BBOHW,0,6_pruned_easy
11,11,fed230fb,10,pruned,easy,FALSE,FALSE,106694,49870,12,0,1.5582E+12,3J4Q2Z4UTZANG68GV9LA4RRDIH9WQD,A2766O35JUD7LO,0,10_pruned_easy
12,12,5ee23430,6,pruned,easy,TRUE,TRUE,341929,17409,80,3,1.5582E+12,3QAVNHZ3ENBFIWP02ZHM5GVSGS8LAR,A1BM57TUNAQIXM,1,6_pruned_easy
13,13,59f235f8,10,pruned,easy,TRUE,TRUE,112155,28632,7,3,1.5582E+12,3MB8LZR5BG0LU9YMEQUBZUYOL4FKLI,A16KMPWYUZO0M6,1,10_pruned_easy
14,14,bbc23545,6,full,easy,FALSE,FALSE,355643,39594,43,0,1.5582E+12,3E7TUJ2EGDTIF1R3XC5YQ8C311OD9O,A44GF72UX2T66,0,6_full_easy
15,15,69f239f6,6,pruned,easy,FALSE,FALSE,207579,187940,28,0,1.5582E+12,3EO896NRAX2E22095EWQK68S0S0JTK,A3DUZ6WCFZRLX9,0,6_pruned_easy
