userid,board_size,condition,board_type,solved_correct,validated_correct,time_solution,time_validation,actions_solution,actions_validation,time
d5c394cd,b,a,c,d,e,h,i,f,g,1.5111E+12
bee39534,6,verify,hard,TRUE,TRUE,7787,12800,4,4,1.5111E+12
3fe398b9,6,full,easy,TRUE,FALSE,14360,6681,3,2,1.5111E+12
41c39d23,10,verify,easy,TRUE,TRUE,23446,11408,7,3,1.5111E+12
65a39f6d,10,verify,hard,TRUE,TRUE,20069,9203,13,4,1.5111E+12
33c39fef,10,verify,easy,TRUE,TRUE,5500,5548,3,3,1.5111E+12
8ce3a1de,6,verify,easy,TRUE,TRUE,112711,87341,7,5,1.51111E+12
31e3a167,10,verify,easy,TRUE,TRUE,139611,79915,9,3,1.51111E+12
bae3a17a,6,verify,hard,FALSE,FALSE,220526,188723,3,0,1.51111E+12
84f3a295,10,verify,hard,FALSE,FALSE,51398,96267,0,0,1.51111E+12
30b3a30f,10,verify,easy,TRUE,TRUE,184795,84059,12,3,1.51111E+12
44d3a1fb,10,verify,medium,FALSE,FALSE,404705,89754,28,0,1.51111E+12
c9c3a3a9,6,verify,hard,FALSE,FALSE,89276,134835,6,0,1.51111E+12
3bb3a40c,6,verify,hard,FALSE,FALSE,48256,47764,6,0,1.51111E+12
f1a3a21d,6,verify,hard,FALSE,FALSE,66658,93023,3,0,1.51111E+12
12f3a1f3,10,verify,medium,FALSE,FALSE,130563,108715,1,0,1.51111E+12
c4d3a457,6,verify,hard,TRUE,TRUE,151997,34067,27,4,1.51111E+12
5ca3a258,10,verify,easy,FALSE,FALSE,109136,40424,20,0,1.51111E+12
b6c3a446,6,verify,easy,TRUE,TRUE,367303,38187,30,4,1.51111E+12
fdc3a657,10,verify,hard,TRUE,TRUE,102232,78112,11,4,1.51111E+12
88c3a456,10,verify,easy,TRUE,FALSE,136095,39249,16,2,1.51111E+12
3ca4fb54,10,verify,hard,FALSE,FALSE,95670,42666,0,0,1.51119E+12
e3a4effd,10,full,medium,FALSE,FALSE,275966,26888,46,0,1.51119E+12
4bc4f1cf,10,verify,hard,TRUE,TRUE,114952,37861,12,4,1.51119E+12
dcc4f10e,6,full,hard,FALSE,FALSE,115551,50653,22,0,1.51119E+12
7db4f1d2,6,pruned,easy,TRUE,TRUE,122934,23840,19,3,1.51119E+12
5bc4f225,10,pruned,hard,TRUE,TRUE,109507,35368,20,4,1.51119E+12
fda4f169,6,full,easy,TRUE,TRUE,244768,45675,18,4,1.51119E+12
fdc4f07b,10,pruned,easy,TRUE,TRUE,261677,32239,31,3,1.51119E+12
d8f4f271,10,verify,hard,TRUE,FALSE,60446,103279,23,11,1.51119E+12
a0f4f1bf,6,pruned,hard,TRUE,FALSE,391864,75650,47,5,1.51119E+12
4de4f27d,10,full,medium,FALSE,FALSE,369961,92228,48,0,1.51119E+12
9bf4f2c6,6,full,easy,FALSE,FALSE,131965,37215,5,0,1.51119E+12
c8d4f2af,10,full,easy,FALSE,FALSE,558614,41030,76,0,1.51119E+12
f4c4f33c,10,pruned,hard,FALSE,FALSE,334442,117274,26,0,1.51119E+12
13e4f569,6,pruned,hard,FALSE,FALSE,28344,21084,0,0,1.51119E+12
b4a4f22a,10,full,easy,FALSE,FALSE,604723,64718,70,0,1.51119E+12
6aa4f436,6,pruned,easy,TRUE,FALSE,98434,45454,3,3,1.51119E+12
40f4f3b7,10,verify,medium,TRUE,TRUE,276270,64257,35,3,1.51119E+12
94a4f5d4,10,pruned,medium,TRUE,TRUE,77794,31385,11,3,1.51119E+12
4eb4f441,10,pruned,easy,TRUE,TRUE,200409,52251,10,3,1.51119E+12
f3f4f4ae,10,pruned,hard,FALSE,FALSE,147702,43382,10,0,1.51119E+12
a0a4f4ea,10,full,medium,FALSE,FALSE,283909,79178,33,0,1.51119E+12
a0a4f682,10,verify,easy,FALSE,FALSE,54167,56160,3,0,1.51119E+12
f5f4f7a6,6,verify,hard,FALSE,FALSE,37788,18992,2,0,1.51119E+12
27b4f894,10,pruned,medium,FALSE,FALSE,43283,17134,0,0,1.51119E+12
d9e4f7e5,10,pruned,hard,FALSE,FALSE,108645,36806,7,0,1.51119E+12
fcf4f6d3,10,full,easy,FALSE,FALSE,389048,40868,29,0,1.51119E+12
