userid,key,value,boardSize,condition,boardType,time,board_name
12d58bed,experimentalCondition,10_pruned_easy,10,pruned,easy,1554484205228,10_easy_pruned
12d58bed,boardSize,10,10,pruned,easy,1554484205230,10_easy_pruned
12d58bed,difficulty,easy,10,pruned,easy,1554484205231,10_easy_pruned
12d58bed,condition,pruned,10,pruned,easy,1554484205232,10_easy_pruned
12d58bed,start_position,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]],nextPlayer:1,streak:5,turns:3,winPath:[[[1,9],[2,9],[5,9]]],losePath:[[[1,8],[0,9]]],winMove:[j9,J9,9j,9J]}",10,pruned,easy,1554484205233,10_easy_pruned
12d58bed,education,3,10,pruned,easy,1554484214064,10_easy_pruned
12d58bed,age,29,10,pruned,easy,1554484214064,10_easy_pruned
12d58bed,gender,male,10,pruned,easy,1554484214064,10_easy_pruned
12d58bed,timeInstructions,2941,10,pruned,easy,1554484217005,10_easy_pruned
12d58bed,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554484217067,10_easy_pruned
