userid,key,value,boardSize,condition,boardType,time,board_name
11f6dc6e,experimentalCondition,10_full_hard,10,full,hard,1554570350200,10_hard_full
11f6dc6e,boardSize,10,10,full,hard,1554570350203,10_hard_full
11f6dc6e,difficulty,hard,10,full,hard,1554570350206,10_hard_full
11f6dc6e,condition,full,10,full,hard,1554570350207,10_hard_full
11f6dc6e,start_position,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,0,0,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,0,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[0,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]],nextPlayer:1,streak:5,turns:5,winPath:[[[2,4],[2,3],[4,3],[4,4],[4,5]]],losePath:[[[6,0],[2,7],[5,3],[4,0]]],winMove:[e8,E8,8e,8E]}",10,full,hard,1554570350211,10_hard_full
11f6dc6e,gender,male,10,full,hard,1554570484655,10_hard_full
11f6dc6e,education,1,10,full,hard,1554570484657,10_hard_full
11f6dc6e,age,20,10,full,hard,1554570484661,10_hard_full
11f6dc6e,timeInstructions,35320,10,full,hard,1554570519983,10_hard_full
11f6dc6e,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,full,hard,1554570520121,10_hard_full
11f6dc6e,timeQuiz,104237,10,full,hard,1554570624223,10_hard_full
11f6dc6e,timeInstructions,108621,10,full,hard,1554570628607,10_hard_full
11f6dc6e,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,full,hard,1554570628677,10_hard_full
11f6dc6e,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,full,hard,1554570635267,10_hard_full
11f6dc6e,clickPos_practice,7_1_1,10,full,hard,1554570635269,10_hard_full
11f6dc6e,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,2,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,full,hard,1554570637057,10_hard_full
11f6dc6e,clickPos_practice,7_5_2,10,full,hard,1554570637059,10_hard_full
16eb8368,new_user,16eb8368,10,full,hard,1532265320782,10_hard_full
16eb8368,experimentalCondition,10_full_hard,10,full,hard,1532265320783,10_hard_full
16eb8368,boardSize,10,10,full,hard,1532265320784,10_hard_full
16eb8368,difficulty,hard,10,full,hard,1532265320785,10_hard_full
16eb8368,condition,full,10,full,hard,1532265320786,10_hard_full
16eb8368,start_position,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,0,0,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,0,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[0,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]],nextPlayer:1,streak:5,turns:5,winPath:[[[2,4],[2,3],[4,3],[4,4],[4,5]]],losePath:[[[6,0],[2,7],[5,3],[4,0]]],winMove:[e8,E8,8e,8E]}",10,full,hard,1532265320787,10_hard_full
16eb8368,gender,,10,full,hard,1532265323666,10_hard_full
16eb8368,education,,10,full,hard,1532265323666,10_hard_full
16eb8368,age,,10,full,hard,1532265323666,10_hard_full
16eb8368,timeInstructions,1938,10,full,hard,1532265325605,10_hard_full
16eb8368,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,full,hard,1532265325683,10_hard_full
