boardType,boardSize,userid,value,key,time,condition
hard,10,13b7468e,10_pruned_hard,experimentalCondition,1512326798913,pruned
hard,10,13b7468e,10,boardSize,1512326798914,pruned
hard,10,13b7468e,hard,difficulty,1512326798915,pruned
hard,10,13b7468e,pruned,condition,1512326798915,pruned
hard,10,13b7468e,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,0,1,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,0,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]],nextPlayer:1,streak:5,turns:4,winPath:[[[2,3],[4,3],[4,4],[4,5]]],losePath:[[[2,7],[5,3],[4,0]]],winMove:[d8,D8,8d,8D]}",start_position,1512326798916,pruned
hard,10,13b7468e,female,gender,1512326834121,pruned
hard,10,13b7468e,2,education,1512326834122,pruned
hard,10,13b7468e,26,age,1512326834122,pruned
hard,10,13b7468e,58611,timeInstructions,1512326892734,pruned
hard,10,13b7468e,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",start,1512326892786,pruned
hard,10,13b7468e,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",click_practice,1512326974987,pruned
hard,10,13b7468e,7_1_1,clickPos_practice,1512326974988,pruned
hard,10,13b7468e,134396,timeQuiz,1512327027131,pruned
hard,10,13b7468e,2,quiz1,1512327027132,pruned
hard,10,13b7468e,2,quiz2,1512327027133,pruned
hard,10,13b7468e,3,quiz3,1512327027133,pruned
hard,10,13b7468e,c1,quiz4,1512327027134,pruned
hard,10,13b7468e,b4,quiz5,1512327027134,pruned
hard,10,13b7468e,0,quiz6v,1512327027135,pruned
hard,10,13b7468e,b3,quiz6,1512327027135,pruned
hard,10,13b7468e,TRUE,passedQuiz,1512327027136,pruned
hard,10,13b7468e,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,0,1,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,0,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]],nextPlayer:1,streak:5,turns:4,winPath:[[[2,3],[4,3],[4,4],[4,5]]],losePath:[[[2,7],[5,3],[4,0]]],winMove:[d8,D8,8d,8D]}",board,1512327027136,pruned
hard,10,13b7468e,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",reset_practice,1512327027154,pruned
