userid,key,value,boardSize,boardType,condition,time
abd12ee2,new_user,abd12ee2,10,pruned,medium,1.51193E+12
abd12ee2,experimentalCondition,10_pruned_medium,10,pruned,medium,1.51193E+12
abd12ee2,difficulty,medium,10,pruned,medium,1.51193E+12
abd12ee2,boardSize,10,10,pruned,medium,1.51193E+12
abd12ee2,condition,pruned,10,pruned,medium,1.51193E+12
abd12ee2,start_position,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,2,0,0,0,0],[0,0,1,1,1,2,0,0,0,0],[0,0,0,0,2,2,2,1,2,0],[0,0,0,0,0,1,2,2,0,0],[0,0,0,1,0,2,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,2,0,0,0]],nextPlayer:1,streak:5,turns:3,winPath:[[[5,2],[4,2],[6,2]]],losePath:[[[4,1],[1,2]]],winMove:[c5,C5,5c,5C]}",10,pruned,medium,1.51193E+12
abd12ee2,gender,male,10,pruned,medium,1.51193E+12
abd12ee2,age,34,10,pruned,medium,1.51193E+12
abd12ee2,education,2,10,pruned,medium,1.51193E+12
abd12ee2,timeInstructions,36710,10,pruned,medium,1.51193E+12
abd12ee2,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1.51193E+12
abd12ee2,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1.51193E+12
abd12ee2,clickPos_practice,7_1_1,10,pruned,medium,1.51193E+12
abd12ee2,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,2,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1.51193E+12
abd12ee2,clickPos_practice,7_5_2,10,pruned,medium,1.51193E+12
abd12ee2,clickPos_practice,7_0_1,10,pruned,medium,1.51193E+12
abd12ee2,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[1,1,1,1,1,2,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1.51193E+12
abd12ee2,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[1,1,1,1,1,2,2,0,0,0],[0,0,0,0,0,2,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1.51193E+12
abd12ee2,clickPos_practice,8_5_2,10,pruned,medium,1.51193E+12
abd12ee2,clickPos_practice,8_4_1,10,pruned,medium,1.51193E+12
abd12ee2,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[1,1,1,1,1,2,2,0,0,0],[0,0,0,0,1,2,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1.51193E+12
abd12ee2,reset_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1.51193E+12
abd12ee2,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1.51193E+12
abd12ee2,clickPos_practice,7_1_1,10,pruned,medium,1.51193E+12
abd12ee2,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,2,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1.51193E+12
abd12ee2,clickPos_practice,7_5_2,10,pruned,medium,1.51193E+12
