boardType,boardSize,userid,value,key,time,condition
medium,10,dcb510f3,10_verify_medium,experimentalCondition,1.51E+12,verify
medium,10,dcb510f3,10,boardSize,1.51E+12,verify
medium,10,dcb510f3,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,2,0,0,0,0],[0,0,1,1,1,0,0,0,0,0],[0,0,0,0,2,2,2,1,2,0],[0,0,0,0,0,1,2,2,0,0],[0,0,0,1,0,2,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,2,0,0,0]],nextPlayer:2,streak:5,turns:4,firstMovrRow:3,firstMovrCol:2,winPath:[[[5,2],[4,2],[6,2]]],losePath:[[[3,5],[4,1],[1,2]]],winMove:[c7,C7,7c,7C]}",start_position,1.51E+12,verify
medium,10,dcb510f3,medium,difficulty,1.51E+12,verify
medium,10,dcb510f3,verify,condition,1.51E+12,verify
medium,10,dcb510f3,female,gender,1.51E+12,verify
medium,10,dcb510f3,26,age,1.51E+12,verify
medium,10,dcb510f3,2,education,1.51E+12,verify
medium,10,dcb510f3,22079,timeInstructions,1.51E+12,verify
medium,10,dcb510f3,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",start,1.51E+12,verify
medium,10,dcb510f3,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",click_practice,1.51E+12,verify
medium,10,dcb510f3,7_1_1,clickPos_practice,1.51E+12,verify
medium,10,dcb510f3,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,2,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",click_practice,1.51E+12,verify
medium,10,dcb510f3,7_5_2,clickPos_practice,1.51E+12,verify
medium,10,dcb510f3,7_0_1,clickPos_practice,1.51E+12,verify
