userid,key,value,boardSize,condition,boardType,time,board_name
15a6ad49,experimentalCondition,6_full_easy,6,full,easy,1552592201392,6_easy_full
15a6ad49,boardSize,6,6,full,easy,1552592201397,6_easy_full
15a6ad49,difficulty,easy,6,full,easy,1552592201399,6_easy_full
15a6ad49,condition,full,6,full,easy,1552592201404,6_easy_full
15a6ad49,start_position,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:4,winPath:[[[3,5],[1,5],[2,5],[4,5]],[[1,5],[3,5],[2,5],[4,5]]],losePath:[[[0,2],[1,4],[0,5]],[[1,4],[0,2],[0,5]]],winMove:[f3,F3,3F,3F,f5,F5,5F,5F]}",6,full,easy,1552592201407,6_easy_full
15a6ad49,gender,,6,full,easy,1552592204910,6_easy_full
15a6ad49,education,,6,full,easy,1552592204913,6_easy_full
15a6ad49,age,,6,full,easy,1552592204914,6_easy_full
15a6ad49,timeInstructions,1965,6,full,easy,1552592206884,6_easy_full
15a6ad49,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1552592206953,6_easy_full
15a6ad49,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,1,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1552592210633,6_easy_full
15a6ad49,clickPos_practice,4_2_1,6,full,easy,1552592210635,6_easy_full
15a6ad49,timeQuiz,4482,6,full,easy,1552592211370,6_easy_full
15a6ad49,quiz1,0,6,full,easy,1552592211372,6_easy_full
15a6ad49,quiz2,0,6,full,easy,1552592211374,6_easy_full
15a6ad49,quiz3,0,6,full,easy,1552592211378,6_easy_full
15a6ad49,quiz4,,6,full,easy,1552592211385,6_easy_full
15a6ad49,quiz5,,6,full,easy,1552592211387,6_easy_full
15a6ad49,quiz6,,6,full,easy,1552592211392,6_easy_full
15a6ad49,quiz6v,0,6,full,easy,1552592211402,6_easy_full
15a6ad49,passedQuiz,FALSE,6,full,easy,1552592211402,6_easy_full
15a6ad49,board,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:4,winPath:[[[3,5],[1,5],[2,5],[4,5]],[[1,5],[3,5],[2,5],[4,5]]],losePath:[[[0,2],[1,4],[0,5]],[[1,4],[0,2],[0,5]]],winMove:[f3,F3,3F,3F,f5,F5,5F,5F]}",6,full,easy,1552592211403,6_easy_full
15a6ad49,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1552592211411,6_easy_full
15a6ad49,start,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1552592211425,6_easy_full
1badc0a1,new_user,1badc0a1,6,full,easy,1546174625141,6_easy_full
1badc0a1,experimentalCondition,6_full_easy,6,full,easy,1546174625150,6_easy_full
1badc0a1,boardSize,6,6,full,easy,1546174625151,6_easy_full
1badc0a1,difficulty,easy,6,full,easy,1546174625153,6_easy_full
1badc0a1,condition,full,6,full,easy,1546174625153,6_easy_full
1badc0a1,start_position,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:4,winPath:[[[3,5],[1,5],[2,5],[4,5]],[[1,5],[3,5],[2,5],[4,5]]],losePath:[[[0,2],[1,4],[0,5]],[[1,4],[0,2],[0,5]]],winMove:[f3,F3,3F,3F,f5,F5,5F,5F]}",6,full,easy,1546174625156,6_easy_full
1badc0a1,education,,6,full,easy,1546174628290,6_easy_full
1badc0a1,gender,,6,full,easy,1546174628290,6_easy_full
1badc0a1,age,,6,full,easy,1546174628291,6_easy_full
1badc0a1,timeInstructions,1778,6,full,easy,1546174630070,6_easy_full
1badc0a1,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1546174630105,6_easy_full
1badc0a1,clickPos_practice,4_2_1,6,full,easy,1546174631888,6_easy_full
1badc0a1,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,1,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1546174631888,6_easy_full
1badc0a1,timeQuiz,2499,6,full,easy,1546174632569,6_easy_full
1badc0a1,quiz1,0,6,full,easy,1546174632571,6_easy_full
1badc0a1,quiz2,0,6,full,easy,1546174632572,6_easy_full
1badc0a1,quiz4,,6,full,easy,1546174632573,6_easy_full
1badc0a1,quiz5,,6,full,easy,1546174632573,6_easy_full
1badc0a1,quiz3,0,6,full,easy,1546174632573,6_easy_full
1badc0a1,quiz6,,6,full,easy,1546174632574,6_easy_full
1badc0a1,quiz6v,0,6,full,easy,1546174632575,6_easy_full
1badc0a1,passedQuiz,FALSE,6,full,easy,1546174632575,6_easy_full
1badc0a1,board,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:4,winPath:[[[3,5],[1,5],[2,5],[4,5]],[[1,5],[3,5],[2,5],[4,5]]],losePath:[[[0,2],[1,4],[0,5]],[[1,4],[0,2],[0,5]]],winMove:[f3,F3,3F,3F,f5,F5,5F,5F]}",6,full,easy,1546174632576,6_easy_full
1badc0a1,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1546174632588,6_easy_full
1badc0a1,start,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1546174632608,6_easy_full
1badc0a1,click,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1546174668402,6_easy_full
1badc0a1,clickPos,3_5_1,6,full,easy,1546174668403,6_easy_full
1badc0a1,click,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1546174669040,6_easy_full
1badc0a1,clickPos,0_2_2,6,full,easy,1546174669040,6_easy_full
1be6dc27,new_user,1be6dc27,6,full,easy,1554570279779,6_easy_full
1be6dc27,experimentalCondition,6_full_easy,6,full,easy,1554570279782,6_easy_full
1be6dc27,boardSize,6,6,full,easy,1554570279783,6_easy_full
1be6dc27,difficulty,easy,6,full,easy,1554570279784,6_easy_full
1be6dc27,condition,full,6,full,easy,1554570279785,6_easy_full
1be6dc27,start_position,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:4,winPath:[[[3,5],[1,5],[2,5],[4,5]],[[1,5],[3,5],[2,5],[4,5]]],losePath:[[[0,2],[1,4],[0,5]],[[1,4],[0,2],[0,5]]],winMove:[f3,F3,3F,3F,f5,F5,5F,5F]}",6,full,easy,1554570279786,6_easy_full
1be6dc27,gender,male,6,full,easy,1554570300467,6_easy_full
1be6dc27,education,2,6,full,easy,1554570300468,6_easy_full
1be6dc27,age,47,6,full,easy,1554570300469,6_easy_full
1be6dc27,timeInstructions,39128,6,full,easy,1554570339600,6_easy_full
1be6dc27,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1554570339627,6_easy_full
