boardType,boardSize,userid,value,key,time,condition
easy,6,12eacae6,22,numActionsSolve,1.51E+12,full
easy,6,12eacae6,FALSE,solvedCorrect,1.51E+12,full
easy,6,12eacae6,FALSE,validatedCorrect,1.51E+12,full
easy,6,12eacae6,104931,validationTime,1.51E+12,full
easy,6,12eacae6,"I didn't solve the problem, to many moving parts in my mind and not on the board. I wasn't really comfortable playing both sides without making it difficult for opponent.",strategy,1.51E+12,full
easy,6,12eacae6,94027,timeStrategy,1.51E+12,full
easy,6,12eacae6,FALSE,correct,1.51E+12,full
easy,6,12eacae6,0,verification_answer,1.51E+12,full
easy,6,12eacae6,,best_move,1.51E+12,full
easy,6,12eacae6,5,confidence,1.51E+12,full
easy,6,12eacae6,604061,timeSolution,1.51E+12,full
easy,6,12eacae6,0_2_1,clickPos,1.51E+12,full
easy,6,12eacae6,"[[0,1,1,2,0,0],[0,2,1,1,2,1],[1,2,2,2,1,1],[2,0,1,1,2,0],[1,2,2,2,1,0],[0,0,0,2,0,0]]",click,1.51E+12,full
easy,6,12eacae6,1_4_2,clickPos,1.51E+12,full
easy,6,12eacae6,"[[0,1,0,2,0,0],[0,2,1,1,2,1],[1,2,2,2,1,1],[2,0,1,1,2,0],[1,2,2,2,1,0],[0,0,0,2,0,0]]",click,1.51E+12,full
easy,6,12eacae6,1_5_1,clickPos,1.51E+12,full
easy,6,12eacae6,"[[0,1,0,2,0,0],[0,2,1,1,0,1],[1,2,2,2,1,1],[2,0,1,1,2,0],[1,2,2,2,1,0],[0,0,0,2,0,0]]",click,1.51E+12,full
easy,6,12eacae6,5_3_2,clickPos,1.51E+12,full
easy,6,12eacae6,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,1],[2,0,1,1,2,0],[1,2,2,2,1,0],[0,0,0,2,0,0]]",click,1.51E+12,full
easy,6,12eacae6,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,1],[2,0,1,1,2,0],[1,2,2,2,1,0],[0,0,0,0,0,0]]",undo,1.51E+12,full
easy,6,12eacae6,4_4_1,undoPos,1.51E+12,full
easy,6,12eacae6,1_0_2,clickPos,1.51E+12,full
easy,6,12eacae6,"[[0,1,0,2,0,0],[2,2,1,1,0,0],[1,2,2,2,1,1],[2,0,1,1,2,0],[1,2,2,2,1,0],[0,0,0,0,0,0]]",click,1.51E+12,full
