userid,key,value,boardSize,condition,boardType,time
15d436ec,experimentalCondition,6_pruned_easy,6,pruned,easy,1559312108266
15d436ec,boardSize,6,6,pruned,easy,1559312108267
15d436ec,difficulty,easy,6,pruned,easy,1559312108267
15d436ec,condition,pruned,6,pruned,easy,1559312108268
15d436ec,start_position,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:3,winPath:[[[1,5],[2,5],[4,5]]],losePath:[[[1,4],[0,5]]],winMove:[f5,F5,5F,5F]}",6,pruned,easy,1559312108269
15d436ec,gender,female,6,pruned,easy,1559312187827
15d436ec,education,2,6,pruned,easy,1559312187834
15d436ec,age,57,6,pruned,easy,1559312187835
15d436ec,timeInstructions,32779,6,pruned,easy,1559312220616
15d436ec,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1559312220664
15d436ec,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1559312342063
15d436ec,clickPos_practice,3_1_1,6,pruned,easy,1559312342071
15d436ec,timeQuiz,143052,6,pruned,easy,1559312363676
15d436ec,quiz1,2,6,pruned,easy,1559312363680
15d436ec,quiz2,2,6,pruned,easy,1559312363681
15d436ec,quiz3,3,6,pruned,easy,1559312363682
15d436ec,quiz4,c1,6,pruned,easy,1559312363684
15d436ec,quiz5,b4,6,pruned,easy,1559312363686
15d436ec,quiz6,b3,6,pruned,easy,1559312363687
15d436ec,quiz6v,0,6,pruned,easy,1559312363688
15d436ec,passedQuiz,TRUE,6,pruned,easy,1559312363689
15d436ec,board,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:3,winPath:[[[1,5],[2,5],[4,5]]],losePath:[[[1,4],[0,5]]],winMove:[f5,F5,5F,5F]}",6,pruned,easy,1559312363690
15d436ec,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1559312363699
15d436ec,start,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1559312363720
15d436ec,click,"[[0,1,2,2,0,0],[0,2,1,1,0,1],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1559312500982
15d436ec,clickPos,1_5_1,6,pruned,easy,1559312500983
