userid,key,value,boardSize,boardType,condition,time
7db4f1d2,new_user,7db4f1d2,6,pruned,easy,1.51E+12
7db4f1d2,experimentalCondition,6_pruned_easy,6,pruned,easy,1.51E+12
7db4f1d2,boardSize,6,6,pruned,easy,1.51E+12
7db4f1d2,difficulty,easy,6,pruned,easy,1.51E+12
7db4f1d2,condition,pruned,6,pruned,easy,1.51E+12
7db4f1d2,start_position,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:3,winPath:[[[1,5],[2,5],[4,5]]],losePath:[[[1,4],[0,5]]],winMove:[f5,F5,5F,5F]}",6,pruned,easy,1.51E+12
7db4f1d2,age,28,6,pruned,easy,1.51E+12
7db4f1d2,gender,female,6,pruned,easy,1.51E+12
7db4f1d2,education,2,6,pruned,easy,1.51E+12
7db4f1d2,timeInstructions,40396,6,pruned,easy,1.51E+12
7db4f1d2,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,clickPos_practice,3_1_1,6,pruned,easy,1.51E+12
7db4f1d2,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,clickPos_practice,3_4_2,6,pruned,easy,1.51E+12
7db4f1d2,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[1,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,clickPos_practice,3_0_1,6,pruned,easy,1.51E+12
7db4f1d2,quiz5,b4,6,pruned,easy,1.51E+12
7db4f1d2,quiz2,2,6,pruned,easy,1.51E+12
7db4f1d2,quiz4,c1,6,pruned,easy,1.51E+12
7db4f1d2,quiz1,2,6,pruned,easy,1.51E+12
7db4f1d2,quiz3,3,6,pruned,easy,1.51E+12
7db4f1d2,timeQuiz,130543,6,pruned,easy,1.51E+12
7db4f1d2,quiz6,b3,6,pruned,easy,1.51E+12
7db4f1d2,board,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:3,winPath:[[[1,5],[2,5],[4,5]]],losePath:[[[1,4],[0,5]]],winMove:[f5,F5,5F,5F]}",6,pruned,easy,1.51E+12
