num,userid,time,key,value
2015,10a221c6,1.35372E+12,new_user,"""10a221c6"""
2019,10a221c6,1.35372E+12,gender,"""female"""
2017,10a221c6,1.35372E+12,education,"""2"""
2018,10a221c6,1.35372E+12,age,"""32"""
2049,10a221c6,1.35372E+12,timeInstructions,288293
2060,10a221c6,1.35372E+12,timeQuiz,38333
2062,10a221c6,1.35372E+12,quiz1,"""0"""
2065,10a221c6,1.35372E+12,quiz2,"""0"""
2061,10a221c6,1.35372E+12,quiz3,"""0"""
2063,10a221c6,1.35372E+12,quiz4,"""c1"""
2064,10a221c6,1.35372E+12,quiz5,"""b4"""
2066,10a221c6,1.35372E+12,passedQuiz,FALSE
2067,10a221c6,1.35372E+12,gender,"""female"""
2069,10a221c6,1.35372E+12,education,"""2"""
2068,10a221c6,1.35372E+12,age,"""32"""
2070,10a221c6,1.35372E+12,timeInstructions,9617
2076,10a221c6,1.35372E+12,timeQuiz,32853
2072,10a221c6,1.35372E+12,quiz1,"""0"""
2075,10a221c6,1.35372E+12,quiz2,"""0"""
2073,10a221c6,1.35372E+12,quiz3,"""0"""
2077,10a221c6,1.35372E+12,quiz4,"""c1"""
2074,10a221c6,1.35372E+12,quiz5,"""b4"""
2078,10a221c6,1.35372E+12,passedQuiz,FALSE
2080,10a221c6,1.35372E+12,gender,"""female"""
2079,10a221c6,1.35372E+12,education,"""2"""
2081,10a221c6,1.35372E+12,age,"""32"""
2082,10a221c6,1.35372E+12,timeInstructions,6169
2107,10a221c6,1.35372E+12,timeQuiz,102461
2106,10a221c6,1.35372E+12,quiz1,"""2"""
2109,10a221c6,1.35372E+12,quiz2,"""2"""
2105,10a221c6,1.35372E+12,quiz3,"""3"""
2108,10a221c6,1.35372E+12,quiz4,"""c1"""
2110,10a221c6,1.35372E+12,quiz5,"""b4"""
2111,10a221c6,1.35372E+12,passedQuiz,TRUE
2112,10a221c6,1.35372E+12,start,"[[0,2,0,1,0,0],[0,1,2,2,0,0],[2,1,1,1,2,0],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
2123,10a221c6,1.35372E+12,click,"[[0,2,0,1,0,2],[0,1,2,2,0,0],[2,1,1,1,2,0],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
2124,10a221c6,1.35372E+12,undo,"[[0,2,0,1,0,0],[0,1,2,2,0,0],[2,1,1,1,2,0],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
2125,10a221c6,1.35372E+12,click,"[[0,2,0,1,0,0],[0,1,2,2,2,0],[2,1,1,1,2,0],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
2126,10a221c6,1.35372E+12,undo,"[[0,2,0,1,0,0],[0,1,2,2,0,0],[2,1,1,1,2,0],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
2127,10a221c6,1.35372E+12,reset,"[[0,2,0,1,0,0],[0,1,2,2,0,0],[2,1,1,1,2,0],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
2128,10a221c6,1.35372E+12,click,"[[0,2,0,1,0,0],[0,1,2,2,2,0],[2,1,1,1,2,0],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
2129,10a221c6,1.35372E+12,click,"[[0,2,0,1,0,0],[0,1,2,2,2,0],[2,1,1,1,2,0],[1,0,2,2,1,1],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
1067,11e212ff,1.35372E+12,new_user,"""11e212ff"""
1073,11e212ff,1.35372E+12,gender,"""male"""
1074,11e212ff,1.35372E+12,education,"""1"""
1075,11e212ff,1.35372E+12,age,"""50"""
1079,11e212ff,1.35372E+12,timeInstructions,33259
1080,11e212ff,1.35372E+12,timeQuiz,72985
1081,11e212ff,1.35372E+12,quiz1,"""2"""
1082,11e212ff,1.35372E+12,quiz2,"""2"""
1083,11e212ff,1.35372E+12,quiz3,"""3"""
1084,11e212ff,1.35372E+12,quiz4,"""c1"""
1085,11e212ff,1.35372E+12,quiz5,"""b4"""
1086,11e212ff,1.35372E+12,passedQuiz,TRUE
1087,11e212ff,1.35372E+12,start,"[[0,2,0,1,0,0],[0,1,2,2,0,0],[2,1,1,1,2,0],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
1094,11e212ff,1.35372E+12,click,"[[0,2,0,1,0,0],[0,1,2,2,0,2],[2,1,1,1,2,0],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
1095,11e212ff,1.35372E+12,click,"[[0,2,0,1,0,0],[0,1,2,2,1,2],[2,1,1,1,2,0],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
1096,11e212ff,1.35372E+12,click,"[[0,2,0,1,0,0],[0,1,2,2,1,2],[2,1,1,1,2,2],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
1097,11e212ff,1.35372E+12,click,"[[0,2,0,1,0,0],[0,1,2,2,1,2],[2,1,1,1,2,2],[1,0,2,2,1,1],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
1101,11e212ff,1.35372E+12,undo,"[[0,2,0,1,0,0],[0,1,2,2,1,2],[2,1,1,1,2,2],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
1102,11e212ff,1.35372E+12,undo,"[[0,2,0,1,0,0],[0,1,2,2,1,2],[2,1,1,1,2,0],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
1109,11e212ff,1.35372E+12,undo,"[[0,2,0,1,0,0],[0,1,2,2,0,2],[2,1,1,1,2,0],[1,0,2,2,1,0],[2,0,1,1,0,0],[0,0,0,0,0,0]]"
