userid,key,value,boardSize,condition,boardType,time
68c22476,experimentalCondition,6_full_easy,6,full,easy,1558193270383
68c22476,boardSize,6,6,full,easy,1558193270386
68c22476,difficulty,easy,6,full,easy,1558193270386
68c22476,condition,full,6,full,easy,1558193270387
68c22476,start_position,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:4,winPath:[[[3,5],[1,5],[2,5],[4,5]],[[1,5],[3,5],[2,5],[4,5]]],losePath:[[[0,2],[1,4],[0,5]],[[1,4],[0,2],[0,5]]],winMove:[f3,F3,3F,3F,f5,F5,5F,5F]}",6,full,easy,1558193270388
68c22476,gender,male,6,full,easy,1558193288244
68c22476,education,3,6,full,easy,1558193288246
68c22476,age,39,6,full,easy,1558193288246
68c22476,timeInstructions,10037,6,full,easy,1558193298284
68c22476,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558193298315
68c22476,timeQuiz,90635,6,full,easy,1558193388920
68c22476,timeInstructions,92943,6,full,easy,1558193391228
68c22476,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558193391260
68c22476,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558193395914
68c22476,clickPos_practice,3_1_1,6,full,easy,1558193395914
68c22476,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558193399473
68c22476,clickPos_practice,3_4_2,6,full,easy,1558193399474
68c22476,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[1,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558193401392
68c22476,clickPos_practice,3_0_1,6,full,easy,1558193401393
68c22476,undoPos_practice,3_4_2,6,full,easy,1558193403202
68c22476,undo_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558193403203
68c22476,undoPos_practice,3_1_1,6,full,easy,1558193404042
68c22476,undo_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558193404043
68c22476,timeQuiz,14042,6,full,easy,1558193405274
68c22476,quiz1,2,6,full,easy,1558193405276
68c22476,quiz2,2,6,full,easy,1558193405277
68c22476,quiz3,1,6,full,easy,1558193405278
68c22476,quiz4,c1,6,full,easy,1558193405281
68c22476,quiz5,b4,6,full,easy,1558193405284
68c22476,quiz6,b3,6,full,easy,1558193405286
68c22476,quiz6v,0,6,full,easy,1558193405287
68c22476,passedQuiz,FALSE,6,full,easy,1558193405288
68c22476,gender,male,6,full,easy,1558193409100
