userid,key,value,time
6db445aa,new_user,"""6db445aa""",1.49738E+12
6db445aa,gender,"""male""",1.49738E+12
6db445aa,education,"""2""",1.49738E+12
6db445aa,age,"""38""",1.49738E+12
6db445aa,timeInstructions,64525,1.49738E+12
6db445aa,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",1.49738E+12
6db445aa,timeQuiz,109652,1.49738E+12
6db445aa,quiz2,"""2""",1.49738E+12
6db445aa,quiz5,"""b1""",1.49738E+12
6db445aa,quiz4,"""c1""",1.49738E+12
6db445aa,quiz1,"""2""",1.49738E+12
6db445aa,quiz3,"""3""",1.49738E+12
6db445aa,quiz6,"""b3""",1.49738E+12
6db445aa,passedQuiz,FALSE,1.49738E+12
6db445aa,age,"""38""",1.49738E+12
6db445aa,gender,"""male""",1.49738E+12
6db445aa,education,"""2""",1.49738E+12
6db445aa,timeInstructions,16856,1.49738E+12
6db445aa,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",1.49738E+12
6db445aa,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",1.49738E+12
6db445aa,clickPos_practice,"""row:7_col:1_1""",1.49738E+12
6db445aa,quiz2,"""2""",1.49738E+12
6db445aa,quiz1,"""2""",1.49738E+12
6db445aa,timeQuiz,91790,1.49738E+12
6db445aa,quiz4,"""c1""",1.49738E+12
