boardType,boardSize,userid,value,key,time,condition
easy,10,29bff31a,10,boardSize,1513603745838,pruned
easy,10,29bff31a,10_pruned_easy,experimentalCondition,1513603745844,pruned
easy,10,29bff31a,easy,difficulty,1513603745845,pruned
easy,10,29bff31a,pruned,condition,1513603745847,pruned
easy,10,29bff31a,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]],nextPlayer:1,streak:5,turns:3,winPath:[[[1,9],[2,9],[5,9]]],losePath:[[[1,8],[0,9]]],winMove:[j9,J9,9j,9J]}",start_position,1513603745848,pruned
easy,10,29bff31a,2,education,1513603745849,pruned
easy,10,29bff31a,male,gender,1513603745850,pruned
easy,10,29bff31a,47,age,1513603745851,pruned
easy,10,29bff31a,37519,timeInstructions,1513603745852,pruned
easy,10,29bff31a,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",start,1513603745853,pruned
easy,10,29bff31a,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",click_practice,1513603745872,pruned
easy,10,29bff31a,7_1_1,clickPos_practice,1513603745896,pruned
easy,10,29bff31a,229678,timeQuiz,1513603773438,pruned
easy,10,29bff31a,2,quiz2,1513603773439,pruned
easy,10,29bff31a,2,quiz1,1513603779321,pruned
easy,10,29bff31a,3,quiz3,1513603780523,pruned
easy,10,29bff31a,c1,quiz4,1513603780524,pruned
easy,10,29bff31a,b4,quiz5,1513603784562,pruned
easy,10,29bff31a,b3,quiz6,1513603784562,pruned
easy,10,29bff31a,0,quiz6v,1513603786489,pruned
easy,10,29bff31a,TRUE,passedQuiz,1513603786489,pruned
easy,10,29bff31a,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]],nextPlayer:1,streak:5,turns:3,winPath:[[[1,9],[2,9],[5,9]]],losePath:[[[1,8],[0,9]]],winMove:[j9,J9,9j,9J]}",board,1513603787915,pruned
easy,10,29bff31a,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",reset_practice,1513603787915,pruned
easy,10,29bff31a,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",start,1513603792492,pruned
easy,10,29bff31a,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,1],[0,0,0,1,2,2,2,1,0,0],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",click,1513603792493,pruned
easy,10,29bff31a,1_9_1,clickPos,1513603794616,pruned
easy,10,29bff31a,1_8_2,clickPos,1513603794616,pruned
easy,10,29bff31a,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,2,1],[0,0,0,1,2,2,2,1,0,0],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",click,1513603798987,pruned
easy,10,29bff31a,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,2,1],[0,0,0,1,2,2,2,1,0,1],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",click,1513603798988,pruned
easy,10,29bff31a,2_9_1,clickPos,1513603803315,pruned
easy,10,29bff31a,81028,timeSolution,1513603804994,pruned
easy,10,29bff31a,j9,best_move,1513603804995,pruned
easy,10,29bff31a,0,verification_answer,1513603808015,pruned
easy,10,29bff31a,TRUE,correct,1513603813508,pruned
easy,10,29bff31a,5,confidence,1513603813508,pruned
easy,10,29bff31a,109349,timeStrategy,1513603816246,pruned
