boardType,boardSize,userid,value,key,time,condition
hard,6,19e11a15,6_verify_hard,experimentalCondition,1511922197509,verify
hard,6,19e11a15,6,boardSize,1511922197510,verify
hard,6,19e11a15,hard,difficulty,1511922197511,verify
hard,6,19e11a15,verify,condition,1511922197511,verify
hard,6,19e11a15,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]],nextPlayer:2,streak:4,turns:5,firstMovrRow:0,firstMovrCol:3,winPath:[[[0,2],[2,2],[2,3],[2,0]]],losePath:[[[3,0],[0,5],[3,2],[2,4]]],winMove:[d6,D6,6d,6D]}",start_position,1511922197512,verify
hard,6,19e11a15,female,gender,1511922227753,verify
hard,6,19e11a15,2,education,1511922227754,verify
hard,6,19e11a15,44,age,1511922227754,verify
hard,6,19e11a15,49704,timeInstructions,1511922277459,verify
hard,6,19e11a15,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",start,1511922277486,verify
hard,6,19e11a15,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[2,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",click_practice,1511922399427,verify
hard,6,19e11a15,3_0_2,clickPos_practice,1511922399428,verify
hard,6,19e11a15,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[2,1,1,1,1,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",click_practice,1511922401546,verify
hard,6,19e11a15,3_4_1,clickPos_practice,1511922401550,verify
hard,6,19e11a15,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",reset_practice,1511922404684,verify
hard,6,19e11a15,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",click_practice,1511922405773,verify
hard,6,19e11a15,3_4_2,clickPos_practice,1511922405774,verify
hard,6,19e11a15,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[1,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",click_practice,1511922407357,verify
hard,6,19e11a15,3_0_1,clickPos_practice,1511922407358,verify
hard,6,19e11a15,134781,timeQuiz,1511922412241,verify
hard,6,19e11a15,2,quiz1,1511922412242,verify
hard,6,19e11a15,2,quiz2,1511922412243,verify
hard,6,19e11a15,3,quiz3,1511922412243,verify
hard,6,19e11a15,b4,quiz5,1511922412244,verify
hard,6,19e11a15,c1,quiz4,1511922412244,verify
hard,6,19e11a15,,quiz6,1511922412244,verify
hard,6,19e11a15,TRUE,passedQuiz,1511922412245,verify
hard,6,19e11a15,yes,quiz6v,1511922412245,verify
hard,6,19e11a15,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]],nextPlayer:2,streak:4,turns:5,firstMovrRow:0,firstMovrCol:3,winPath:[[[0,2],[2,2],[2,3],[2,0]]],losePath:[[[3,0],[0,5],[3,2],[2,4]]],winMove:[d6,D6,6d,6D]}",board,1511922412246,verify
hard,6,19e11a15,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",reset_practice,1511922412255,verify
hard,6,19e11a15,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",start,1511922412276,verify
hard,6,19e11a15,"[[2,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",click,1511922439860,verify
hard,6,19e11a15,0_0_2,clickPos,1511922439863,verify
hard,6,19e11a15,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",reset,1511922445143,verify
hard,6,19e11a15,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[2,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",click,1511922470061,verify
hard,6,19e11a15,3_0_2,clickPos,1511922470062,verify
hard,6,19e11a15,"[[0,2,0,1,1,0],[1,2,1,2,0,0],[0,1,0,0,0,0],[2,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",click,1511922500685,verify
