,AssignmentId,Unnamed: 0,WorkerId,actionsSolution,actionsValidation,actions_solution,actions_validation,board_size,board_type,bonus,condition,solved_correct,time,timeSolution,timeValidation,time_solution,time_validation,timestamp,userid,validated_correct
0,3MRNMEIQW6DDG3SCM98OVH3Y1V5LDT,0,AY5OS6NZWVX22,,,8.0,0.0,10,medium,0,full,False,1558190000000.0,,,94034.0,18913.0,,15b2249e,False
1,3XXU1SWE8N22L00ED6V37W34DUXA07,1,A1PAY3X73PQ16S,,,7.0,3.0,6,easy,1,pruned,True,1558190000000.0,,,89862.0,32067.0,,1df22596,True
2,36ZN444YTS52UZBVRFPREVN5O5IIO9,2,A1ZI4VU6650Q8B,,,33.0,0.0,6,easy,0,pruned,False,1558190000000.0,,,275932.0,99550.0,,9cf22841,False
3,3B1NLC6UG036J8H1GR23IJFFJXOPG7,3,A3HE29W5IDR394,,,115.0,0.0,10,easy,0,full,False,1558200000000.0,,,571463.0,106651.0,,aca229a6,False
4,3OSWBBLG1F48GX910SBC6BYL84IDXA,4,A28JANGJRFGGAZ,,,115.0,0.0,10,easy,0,full,False,1558200000000.0,,,569102.0,66395.0,,d5b22aaa,False
5,3EFE17QCRDCHWWS4SEOFYOWRLH6SHN,5,A3FAF93BMDJLAL,,,15.0,7.0,10,hard,1,full,True,1558200000000.0,,,60857.0,54013.0,,c5e22eb3,True
6,34BBWHLWHBIAZ8KXI1G1VP0RR7LIWP,6,A2QWTQ4I70BRWO,,,56.0,5.0,10,hard,1,full,True,1558200000000.0,,,288423.0,48530.0,,ecb22d03,True
7,3EG49X351VJ9VOUMQ53Y05OTRIU6XA,7,A28IFWT5CR33RZ,,,70.0,4.0,10,easy,1,full,True,1558200000000.0,,,370925.0,17325.0,,8bc22e79,True
8,32Z9ZLUT1MR2Y40BLX76EJMQOSFOHY,8,A3B43EHV3X455M,,,11.0,0.0,10,hard,0,full,False,1558200000000.0,,,57634.0,34415.0,,2bd232b2,False
9,3H7XDTSHKDYW3HE2SDGYADNBCUPGWR,9,A2ZBDSR2LZNVAE,,,21.0,8.0,6,easy,1,full,True,1558200000000.0,,,143775.0,52206.0,,9ad23291,True
10,3634BBTX0P18OMY2SC61R1ERW4RFIK,10,A1YSYI926BBOHW,,,9.0,0.0,6,easy,0,pruned,True,1558200000000.0,,,63490.0,6192.0,,16a2336c,False
11,3J4Q2Z4UTZANG68GV9LA4RRDIH9WQD,11,A2766O35JUD7LO,,,12.0,0.0,10,easy,0,pruned,False,1558200000000.0,,,106694.0,49870.0,,fed230fb,False
12,3QAVNHZ3ENBFIWP02ZHM5GVSGS8LAR,12,A1BM57TUNAQIXM,,,80.0,3.0,6,easy,1,pruned,True,1558200000000.0,,,341929.0,17409.0,,5ee23430,True
13,3MB8LZR5BG0LU9YMEQUBZUYOL4FKLI,13,A16KMPWYUZO0M6,,,7.0,3.0,10,easy,1,pruned,True,1558200000000.0,,,112155.0,28632.0,,59f235f8,True
