boardType,boardSize,userid,value,key,time,condition
easy,10,c6aad6d0,45,numActionsSolve,1.51E+12,full
easy,10,c6aad6d0,TRUE,solvedCorrect,1.51E+12,full
easy,10,c6aad6d0,TRUE,validatedCorrect,1.51E+12,full
easy,10,c6aad6d0,22488,validationTime,1.51E+12,full
easy,10,c6aad6d0,"[[2,0,0,0,1,2,2,0,0,2],[0,0,0,0,2,1,1,1,2,1],[0,0,0,1,2,2,2,1,0,1],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",click_sim,1.51E+12,full
easy,10,c6aad6d0,0_0_2,clickPos_sim,1.51E+12,full
easy,10,c6aad6d0,"[[0,0,0,0,1,2,2,0,0,2],[0,0,0,0,2,1,1,1,2,1],[0,0,0,1,2,2,2,1,0,1],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",click_sim,1.51E+12,full
easy,10,c6aad6d0,5_9_1,clickPos_sim,1.51E+12,full
easy,10,c6aad6d0,0_3,simCorrectMove,1.51E+12,full
easy,10,c6aad6d0,TRUE,validatedCorrectly,1.51E+12,full
easy,10,c6aad6d0,0_9_2,clickPos_sim,1.51E+12,full
easy,10,c6aad6d0,"[[0,0,0,0,1,2,2,0,0,2],[0,0,0,0,2,1,1,1,2,1],[0,0,0,1,2,2,2,1,0,1],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",click_sim,1.51E+12,full
easy,10,c6aad6d0,2_9_1,clickPos_sim,1.51E+12,full
easy,10,c6aad6d0,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,2,1],[0,0,0,1,2,2,2,1,0,1],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",click_sim,1.51E+12,full
easy,10,c6aad6d0,0_2,simCorrectMove,1.51E+12,full
easy,10,c6aad6d0,1_8_2,clickPos_sim,1.51E+12,full
