boardType,boardSize,userid,value,key,time,condition
easy,10,99f511a0,10_verify_easy,experimentalCondition,1.51E+12,verify
easy,10,99f511a0,10,boardSize,1.51E+12,verify
easy,10,99f511a0,easy,difficulty,1.51E+12,verify
easy,10,99f511a0,verify,condition,1.51E+12,verify
easy,10,99f511a0,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,0,1,0,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]],nextPlayer:2,streak:5,turns:4,firstMovrRow:4,firstMovrCol:9,winPath:[[[1,9],[2,9],[5,9]]],losePath:[[[0,5],[1,8],[0,9]]],winMove:[j6,J6,6j,6J]}",start_position,1.51E+12,verify
easy,10,99f511a0,female,gender,1.51E+12,verify
easy,10,99f511a0,3,education,1.51E+12,verify
easy,10,99f511a0,56,age,1.51E+12,verify
easy,10,99f511a0,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",start,1.51E+12,verify
easy,10,99f511a0,141135,timeInstructions,1.51E+12,verify
easy,10,99f511a0,120221,timeQuiz,1.51E+12,verify
easy,10,99f511a0,2,quiz1,1.51E+12,verify
easy,10,99f511a0,3,quiz3,1.51E+12,verify
easy,10,99f511a0,2,quiz2,1.51E+12,verify
easy,10,99f511a0,c1,quiz4,1.51E+12,verify
easy,10,99f511a0,b4,quiz5,1.51E+12,verify
easy,10,99f511a0,b3,quiz6,1.51E+12,verify
easy,10,99f511a0,TRUE,passedQuiz,1.51E+12,verify
