boardType,boardSize,userid,value,key,time,condition
hard,10,a3eacaa9,FALSE,solvedCorrect,1.51E+12,full
hard,10,a3eacaa9,28,numActionsSolve,1.51E+12,full
hard,10,a3eacaa9,54537,validationTime,1.51E+12,full
hard,10,a3eacaa9,FALSE,validatedCorrect,1.51E+12,full
hard,10,a3eacaa9,"Basically, I ended up working towards building two sections of 5, the other player is unable to block both. ",strategy,1.51E+12,full
hard,10,a3eacaa9,48683,timeStrategy,1.51E+12,full
hard,10,a3eacaa9,FALSE,correct,1.51E+12,full
hard,10,a3eacaa9,0,verification_answer,1.51E+12,full
hard,10,a3eacaa9,2,confidence,1.51E+12,full
hard,10,a3eacaa9,d8,best_move,1.51E+12,full
hard,10,a3eacaa9,302737,timeSolution,1.51E+12,full
hard,10,a3eacaa9,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,1,1,1,1,1,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,2,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",click,1.51E+12,full
hard,10,a3eacaa9,2_7_1,clickPos,1.51E+12,full
hard,10,a3eacaa9,6_0_2,clickPos,1.51E+12,full
hard,10,a3eacaa9,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,1,1,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,2,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[2,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",click,1.51E+12,full
hard,10,a3eacaa9,2_4_1,undoPos,1.51E+12,full
hard,10,a3eacaa9,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,1,1,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,2,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[0,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",undo,1.51E+12,full
hard,10,a3eacaa9,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,1,1,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,2,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[0,2,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",click,1.51E+12,full
hard,10,a3eacaa9,6_1_2,clickPos,1.51E+12,full
hard,10,a3eacaa9,2_4_1,clickPos,1.51E+12,full
hard,10,a3eacaa9,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,1,1,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,2,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[0,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",click,1.51E+12,full
hard,10,a3eacaa9,4_3_2,clickPos,1.51E+12,full
hard,10,a3eacaa9,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,1,0,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,2,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[0,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",click,1.51E+12,full
hard,10,a3eacaa9,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,1,0,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,0,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[0,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",click,1.51E+12,full
hard,10,a3eacaa9,2_3_1,clickPos,1.51E+12,full
hard,10,a3eacaa9,"[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,0,0,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,0,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[0,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",reset,1.51E+12,full
hard,10,a3eacaa9,2_4_2,clickPos,1.51E+12,full
