boardType,boardSize,userid,value,key,time,condition
medium,10,4ffbe4e0,FALSE,solvedCorrect,1.51E+12,full
medium,10,4ffbe4e0,0,numActionsValidate,1.51E+12,full
medium,10,4ffbe4e0,FALSE,validatedCorrect,1.51E+12,full
medium,10,4ffbe4e0,30180,validationTime,1.51E+12,full
medium,10,4ffbe4e0,I wanted to maximize the different ways x could win.,strategy,1.51E+12,full
medium,10,4ffbe4e0,26963,timeStrategy,1.51E+12,full
medium,10,4ffbe4e0,0,verification_answer,1.51E+12,full
medium,10,4ffbe4e0,FALSE,correct,1.51E+12,full
medium,10,4ffbe4e0,e4,best_move,1.51E+12,full
medium,10,4ffbe4e0,39590,timeSolution,1.51E+12,full
medium,10,4ffbe4e0,6_4_1,clickPos,1.51E+12,full
medium,10,4ffbe4e0,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,2,0,0,0,0],[0,0,0,1,1,0,0,0,0,0],[0,0,0,0,2,2,2,1,2,0],[0,0,0,0,0,1,2,2,0,0],[0,0,0,1,1,2,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,2,0,0,0]]",click,1.51E+12,full
medium,10,4ffbe4e0,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,2,0,0,0,0],[0,0,0,1,1,0,0,0,0,0],[0,0,0,0,2,2,2,1,2,0],[0,0,0,0,0,1,2,2,0,0],[0,0,0,1,0,2,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,2,0,0,0]]",start,1.51E+12,full
medium,10,4ffbe4e0,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",reset_practice,1.51E+12,full
medium,10,4ffbe4e0,TRUE,passedQuiz,1.51E+12,full
medium,10,4ffbe4e0,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,2,0,0,0,0],[0,0,0,1,1,0,0,0,0,0],[0,0,0,0,2,2,2,1,2,0],[0,0,0,0,0,1,2,2,0,0],[0,0,0,1,0,2,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,2,0,0,0]],nextPlayer:1,streak:5,turns:4,winPath:[[[5,2],[3,2],[4,2],[6,2]],[[3,2],[5,2],[4,2],[6,2]]],losePath:[[[4,1],[3,5],[1,2]],[[3,5],[4,1],[1,2]]],winMove:[c7,c5,C7,C5,7c,5c,7C,5C]}",board,1.51E+12,full
medium,10,4ffbe4e0,b4,quiz5,1.51E+12,full
medium,10,4ffbe4e0,b3,quiz6,1.51E+12,full
medium,10,4ffbe4e0,0,quiz6v,1.51E+12,full
medium,10,4ffbe4e0,c1,quiz4,1.51E+12,full
medium,10,4ffbe4e0,2,quiz2,1.51E+12,full
medium,10,4ffbe4e0,2,quiz1,1.51E+12,full
medium,10,4ffbe4e0,3,quiz3,1.51E+12,full
medium,10,4ffbe4e0,10742,timeQuiz,1.51E+12,full
medium,10,4ffbe4e0,7_1_1,clickPos_practice,1.51E+12,full
medium,10,4ffbe4e0,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",click_practice,1.51E+12,full
medium,10,4ffbe4e0,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",start,1.51E+12,full
medium,10,4ffbe4e0,76603,timeInstructions,1.51E+12,full
medium,10,4ffbe4e0,70084,timeQuiz,1.51E+12,full
medium,10,4ffbe4e0,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",start,1.51E+12,full
medium,10,4ffbe4e0,17676,timeInstructions,1.51E+12,full
medium,10,4ffbe4e0,40,age,1.51E+12,full
medium,10,4ffbe4e0,2,education,1.51E+12,full
medium,10,4ffbe4e0,male,gender,1.51E+12,full
medium,10,4ffbe4e0,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,2,0,0,0,0],[0,0,0,1,1,0,0,0,0,0],[0,0,0,0,2,2,2,1,2,0],[0,0,0,0,0,1,2,2,0,0],[0,0,0,1,0,2,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,2,0,0,0]],nextPlayer:1,streak:5,turns:4,winPath:[[[5,2],[3,2],[4,2],[6,2]],[[3,2],[5,2],[4,2],[6,2]]],losePath:[[[4,1],[3,5],[1,2]],[[3,5],[4,1],[1,2]]],winMove:[c7,c5,C7,C5,7c,5c,7C,5C]}",start_position,1.51E+12,full
medium,10,4ffbe4e0,medium,difficulty,1.51E+12,full
medium,10,4ffbe4e0,full,condition,1.51E+12,full
medium,10,4ffbe4e0,10,boardSize,1.51E+12,full
medium,10,4ffbe4e0,10_full_medium,experimentalCondition,1.51E+12,full
medium,10,4ffbe4e0,4ffbe4e0,new_user,1.51E+12,full
