userid,key,value,boardSize,boardType,condition,time
34cffc40,boardSize,6,6,full,easy,1.51E+12
34cffc40,new_user,34cffc40,6,full,easy,1.51E+12
34cffc40,experimentalCondition,6_full_easy,6,full,easy,1.51E+12
34cffc40,difficulty,easy,6,full,easy,1.51E+12
34cffc40,start_position,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:4,winPath:[[[3,5],[1,5],[2,5],[4,5]],[[1,5],[3,5],[2,5],[4,5]]],losePath:[[[0,2],[1,4],[0,5]],[[1,4],[0,2],[0,5]]],winMove:[f3,F3,3F,3F,f5,F5,5F,5F]}",6,full,easy,1.51E+12
34cffc40,condition,full,6,full,easy,1.51E+12
34cffc40,education,2,6,full,easy,1.51E+12
34cffc40,gender,male,6,full,easy,1.51E+12
34cffc40,age,53,6,full,easy,1.51E+12
34cffc40,timeInstructions,39670,6,full,easy,1.51E+12
34cffc40,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos_practice,3_1_1,6,full,easy,1.51E+12
34cffc40,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos_practice,3_1_1,6,full,easy,1.51E+12
34cffc40,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos_practice,3_4_2,6,full,easy,1.51E+12
34cffc40,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[1,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos_practice,3_0_1,6,full,easy,1.51E+12
34cffc40,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos_practice,3_1_1,6,full,easy,1.51E+12
34cffc40,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos_practice,3_4_2,6,full,easy,1.51E+12
34cffc40,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[1,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos_practice,3_0_1,6,full,easy,1.51E+12
34cffc40,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos_practice,3_1_1,6,full,easy,1.51E+12
34cffc40,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[2,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos_practice,3_0_2,6,full,easy,1.51E+12
34cffc40,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[2,1,1,1,1,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos_practice,3_4_1,6,full,easy,1.51E+12
34cffc40,timeQuiz,251681,6,full,easy,1.51E+12
34cffc40,quiz1,2,6,full,easy,1.51E+12
34cffc40,quiz2,2,6,full,easy,1.51E+12
34cffc40,quiz4,c1,6,full,easy,1.51E+12
34cffc40,quiz3,1,6,full,easy,1.51E+12
34cffc40,quiz5,b4,6,full,easy,1.51E+12
34cffc40,quiz6,b3,6,full,easy,1.51E+12
34cffc40,quiz6v,0,6,full,easy,1.51E+12
34cffc40,passedQuiz,FALSE,6,full,easy,1.51E+12
34cffc40,age,53,6,full,easy,1.51E+12
34cffc40,gender,male,6,full,easy,1.51E+12
34cffc40,education,2,6,full,easy,1.51E+12
34cffc40,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,timeInstructions,11937,6,full,easy,1.51E+12
34cffc40,quiz2,2,6,full,easy,1.51E+12
34cffc40,quiz3,3,6,full,easy,1.51E+12
34cffc40,quiz4,c1,6,full,easy,1.51E+12
34cffc40,timeQuiz,51813,6,full,easy,1.51E+12
34cffc40,quiz1,2,6,full,easy,1.51E+12
34cffc40,quiz5,b4,6,full,easy,1.51E+12
34cffc40,start,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,quiz6,b3,6,full,easy,1.51E+12
34cffc40,quiz6v,0,6,full,easy,1.51E+12
34cffc40,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,board,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:4,winPath:[[[3,5],[1,5],[2,5],[4,5]],[[1,5],[3,5],[2,5],[4,5]]],losePath:[[[0,2],[1,4],[0,5]],[[1,4],[0,2],[0,5]]],winMove:[f3,F3,3F,3F,f5,F5,5F,5F]}",6,full,easy,1.51E+12
34cffc40,passedQuiz,TRUE,6,full,easy,1.51E+12
34cffc40,clickPos,2_5_1,6,full,easy,1.51E+12
34cffc40,click,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,1],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,reset,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,click,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos,3_5_1,6,full,easy,1.51E+12
34cffc40,click,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos,0_2_2,6,full,easy,1.51E+12
34cffc40,clickPos,1_5_1,6,full,easy,1.51E+12
34cffc40,click,"[[0,1,2,2,0,0],[0,2,1,1,0,1],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos,2_5_2,6,full,easy,1.51E+12
34cffc40,click,"[[0,1,2,2,0,0],[0,2,1,1,0,1],[1,2,2,2,1,2],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,reset,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos,4_5_1,6,full,easy,1.51E+12
34cffc40,click,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,1],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,reset,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,click,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos,3_5_1,6,full,easy,1.51E+12
34cffc40,click,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos,0_2_2,6,full,easy,1.51E+12
34cffc40,click,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos,2_5_1,6,full,easy,1.51E+12
34cffc40,clickPos,1_5_2,6,full,easy,1.51E+12
34cffc40,click,"[[0,1,2,2,0,0],[0,2,1,1,0,2],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos,4_5_1,6,full,easy,1.51E+12
34cffc40,click,"[[0,1,2,2,0,0],[0,2,1,1,0,2],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,1],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,reset,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos,4_5_1,6,full,easy,1.51E+12
34cffc40,click,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,1],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,click,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,2],[1,0,2,2,0,1],[0,0,0,0,0,0]]",6,full,easy,1.51E+12
34cffc40,clickPos,3_5_2,6,full,easy,1.51E+12
