boardType,boardSize,userid,value,key,time,condition
easy,6,adfac866,6,numActionsSolve,1.51E+12,pruned
easy,6,adfac866,FALSE,solvedCorrect,1.51E+12,pruned
easy,6,adfac866,FALSE,validatedCorrect,1.51E+12,pruned
easy,6,adfac866,163425,validationTime,1.51E+12,pruned
easy,6,adfac866,"I figured if I put an x on f4, O would have to put an O in the b column.",strategy,1.51E+12,pruned
easy,6,adfac866,158438,timeStrategy,1.51E+12,pruned
easy,6,adfac866,FALSE,correct,1.51E+12,pruned
easy,6,adfac866,0,verification_answer,1.51E+12,pruned
easy,6,adfac866,3,confidence,1.51E+12,pruned
easy,6,adfac866,f4,best_move,1.51E+12,pruned
easy,6,adfac866,219830,timeSolution,1.51E+12,pruned
easy,6,adfac866,2_5_1,clickPos,1.51E+12,pruned
easy,6,adfac866,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",click,1.51E+12,pruned
easy,6,adfac866,4_5_2,undoPos,1.51E+12,pruned
easy,6,adfac866,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",undo,1.51E+12,pruned
easy,6,adfac866,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,1],[0,0,0,0,0,0]]",undo,1.51E+12,pruned
easy,6,adfac866,4_5_1,undoPos,1.51E+12,pruned
easy,6,adfac866,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,2],[2,0,1,1,2,1],[1,0,2,2,0,1],[0,0,0,0,0,0]]",click,1.51E+12,pruned
easy,6,adfac866,2_5_2,clickPos,1.51E+12,pruned
easy,6,adfac866,4_5_1,clickPos,1.51E+12,pruned
easy,6,adfac866,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,1],[0,0,0,0,0,0]]",click,1.51E+12,pruned
easy,6,adfac866,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",undo,1.51E+12,pruned
easy,6,adfac866,5_5_2,undoPos,1.51E+12,pruned
easy,6,adfac866,5_5_1,clickPos,1.51E+12,pruned
easy,6,adfac866,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,1]]",click,1.51E+12,pruned
easy,6,adfac866,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",undo,1.51E+12,pruned
easy,6,adfac866,2_5_2,undoPos,1.51E+12,pruned
easy,6,adfac866,2_5_1,clickPos,1.51E+12,pruned
easy,6,adfac866,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",click,1.51E+12,pruned
easy,6,adfac866,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",start,1.51E+12,pruned
easy,6,adfac866,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",reset_practice,1.51E+12,pruned
easy,6,adfac866,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:3,winPath:[[[1,5],[2,5],[4,5]]],losePath:[[[1,4],[0,5]]],winMove:[f5,F5,5F,5F]}",board,1.51E+12,pruned
easy,6,adfac866,TRUE,passedQuiz,1.51E+12,pruned
easy,6,adfac866,0,quiz6v,1.51E+12,pruned
easy,6,adfac866,b3,quiz6,1.51E+12,pruned
easy,6,adfac866,b4,quiz5,1.51E+12,pruned
easy,6,adfac866,c1,quiz4,1.51E+12,pruned
easy,6,adfac866,3,quiz3,1.51E+12,pruned
easy,6,adfac866,2,quiz2,1.51E+12,pruned
easy,6,adfac866,2,quiz1,1.51E+12,pruned
easy,6,adfac866,65970,timeQuiz,1.51E+12,pruned
easy,6,adfac866,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",start,1.51E+12,pruned
easy,6,adfac866,6770,timeInstructions,1.51E+12,pruned
easy,6,adfac866,46,age,1.51E+12,pruned
easy,6,adfac866,1,education,1.51E+12,pruned
easy,6,adfac866,female,gender,1.51E+12,pruned
easy,6,adfac866,FALSE,passedQuiz,1.51E+12,pruned
easy,6,adfac866,0,quiz6v,1.51E+12,pruned
easy,6,adfac866,a3,quiz6,1.51E+12,pruned
easy,6,adfac866,b4,quiz5,1.51E+12,pruned
easy,6,adfac866,c1,quiz4,1.51E+12,pruned
easy,6,adfac866,3,quiz3,1.51E+12,pruned
easy,6,adfac866,2,quiz2,1.51E+12,pruned
easy,6,adfac866,2,quiz1,1.51E+12,pruned
easy,6,adfac866,61063,timeQuiz,1.51E+12,pruned
easy,6,adfac866,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",start,1.51E+12,pruned
easy,6,adfac866,40060,timeInstructions,1.51E+12,pruned
easy,6,adfac866,46,age,1.51E+12,pruned
easy,6,adfac866,1,education,1.51E+12,pruned
easy,6,adfac866,female,gender,1.51E+12,pruned
easy,6,adfac866,FALSE,passedQuiz,1.51E+12,pruned
easy,6,adfac866,0,quiz6v,1.51E+12,pruned
easy,6,adfac866,b4,quiz5,1.51E+12,pruned
easy,6,adfac866,a3,quiz6,1.51E+12,pruned
easy,6,adfac866,C1,quiz4,1.51E+12,pruned
easy,6,adfac866,3,quiz3,1.51E+12,pruned
easy,6,adfac866,2,quiz1,1.51E+12,pruned
easy,6,adfac866,2,quiz2,1.51E+12,pruned
easy,6,adfac866,149771,timeQuiz,1.51E+12,pruned
easy,6,adfac866,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",start,1.51E+12,pruned
easy,6,adfac866,71580,timeInstructions,1.51E+12,pruned
easy,6,adfac866,46,age,1.51E+12,pruned
easy,6,adfac866,female,gender,1.51E+12,pruned
easy,6,adfac866,1,education,1.51E+12,pruned
easy,6,adfac866,FALSE,passedQuiz,1.51E+12,pruned
easy,6,adfac866,0,quiz6v,1.51E+12,pruned
easy,6,adfac866,b4,quiz5,1.51E+12,pruned
easy,6,adfac866,b3,quiz6,1.51E+12,pruned
easy,6,adfac866,C1,quiz4,1.51E+12,pruned
easy,6,adfac866,3,quiz3,1.51E+12,pruned
easy,6,adfac866,2,quiz2,1.51E+12,pruned
easy,6,adfac866,2,quiz1,1.51E+12,pruned
easy,6,adfac866,275837,timeQuiz,1.51E+12,pruned
easy,6,adfac866,3_1_1,clickPos_practice,1.51E+12,pruned
