userid,key,value,boardSize,boardType,condition,time
9dc50a3d,new_user,9dc50a3d,6,full,hard,1.51E+12
9dc50a3d,experimentalCondition,6_full_hard,6,full,hard,1.51E+12
9dc50a3d,boardSize,6,6,full,hard,1.51E+12
9dc50a3d,difficulty,hard,6,full,hard,1.51E+12
9dc50a3d,start_position,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,2,0,0,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]],nextPlayer:1,streak:4,turns:5,winPath:[[[0,3],[0,2],[2,2],[2,3],[2,0]]],losePath:[[[3,0],[0,5],[3,2],[2,4]]],winMove:[d6,D6,6d,6D]}",6,full,hard,1.51E+12
9dc50a3d,condition,full,6,full,hard,1.51E+12
9dc50a3d,age,33,6,full,hard,1.51E+12
9dc50a3d,gender,female,6,full,hard,1.51E+12
9dc50a3d,education,2,6,full,hard,1.51E+12
9dc50a3d,timeInstructions,30070,6,full,hard,1.51E+12
9dc50a3d,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,hard,1.51E+12
9dc50a3d,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,hard,1.51E+12
9dc50a3d,clickPos_practice,3_1_1,6,full,hard,1.51E+12
9dc50a3d,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,hard,1.51E+12
9dc50a3d,clickPos_practice,3_4_2,6,full,hard,1.51E+12
9dc50a3d,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,hard,1.51E+12
9dc50a3d,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,hard,1.51E+12
9dc50a3d,clickPos_practice,3_1_1,6,full,hard,1.51E+12
9dc50a3d,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,2,0],[0,0,0,0,0,0]]",6,full,hard,1.51E+12
9dc50a3d,clickPos_practice,4_4_2,6,full,hard,1.51E+12
9dc50a3d,undoPos_practice,3_1_1,6,full,hard,1.51E+12
9dc50a3d,undo_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,hard,1.51E+12
9dc50a3d,clickPos_practice,2_2_2,6,full,hard,1.51E+12
9dc50a3d,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,2,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,hard,1.51E+12
9dc50a3d,quiz4,c1,6,full,hard,1.51E+12
9dc50a3d,quiz2,2,6,full,hard,1.51E+12
9dc50a3d,quiz1,2,6,full,hard,1.51E+12
9dc50a3d,timeQuiz,313551,6,full,hard,1.51E+12
9dc50a3d,quiz3,3,6,full,hard,1.51E+12
9dc50a3d,quiz5,b4,6,full,hard,1.51E+12
