boardType,boardSize,userid,value,key,time,condition
hard,6,13e4f569,6_pruned_hard,experimentalCondition,1511191913246,pruned
hard,6,13e4f569,6,boardSize,1511191913247,pruned
hard,6,13e4f569,hard,difficulty,1511191913248,pruned
hard,6,13e4f569,pruned,condition,1511191913249,pruned
hard,6,13e4f569,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[2,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]],nextPlayer:1,streak:4,turns:4,winPath:[[[0,2],[2,2],[2,3],[2,0]]],losePath:[[[0,5],[3,2],[2,4]]],winMove:[c6,C6,6c,6C]}",start_position,1511191913249,pruned
hard,6,13e4f569,female,gender,1511191929757,pruned
hard,6,13e4f569,2,education,1511191929758,pruned
hard,6,13e4f569,43,age,1511191929759,pruned
hard,6,13e4f569,17203,timeInstructions,1511191946963,pruned
hard,6,13e4f569,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",start,1511191946997,pruned
hard,6,13e4f569,55954,timeQuiz,1511192002919,pruned
hard,6,13e4f569,2,quiz1,1511192002920,pruned
hard,6,13e4f569,2,quiz2,1511192002921,pruned
hard,6,13e4f569,3,quiz3,1511192002922,pruned
hard,6,13e4f569,c1,quiz4,1511192002923,pruned
hard,6,13e4f569,b4,quiz5,1511192002924,pruned
hard,6,13e4f569,e3,quiz6,1511192002925,pruned
hard,6,13e4f569,FALSE,passedQuiz,1511192002926,pruned
hard,6,13e4f569,female,gender,1511192008027,pruned
hard,6,13e4f569,2,education,1511192008028,pruned
hard,6,13e4f569,43,age,1511192008028,pruned
hard,6,13e4f569,7706,timeInstructions,1511192015735,pruned
hard,6,13e4f569,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",start,1511192015750,pruned
hard,6,13e4f569,28815,timeQuiz,1511192044551,pruned
hard,6,13e4f569,2,quiz2,1511192044552,pruned
hard,6,13e4f569,2,quiz1,1511192044552,pruned
hard,6,13e4f569,c1,quiz4,1511192044553,pruned
hard,6,13e4f569,3,quiz3,1511192044553,pruned
hard,6,13e4f569,b4,quiz5,1511192044554,pruned
hard,6,13e4f569,b3,quiz6,1511192044555,pruned
hard,6,13e4f569,TRUE,passedQuiz,1511192044555,pruned
