boardType,boardSize,userid,value,key,time,condition
hard,6,d4fac87b,13,numActionsSolve,1.51E+12,pruned
hard,6,d4fac87b,FALSE,solvedCorrect,1.51E+12,pruned
hard,6,d4fac87b,FALSE,validatedCorrect,1.51E+12,pruned
hard,6,d4fac87b,33204,validationTime,1.51E+12,pruned
hard,6,d4fac87b,I just kept looking and figured it out. No strategy.,strategy,1.51E+12,pruned
hard,6,d4fac87b,22013,timeStrategy,1.51E+12,pruned
hard,6,d4fac87b,FALSE,correct,1.51E+12,pruned
hard,6,d4fac87b,0,verification_answer,1.51E+12,pruned
hard,6,d4fac87b,5,confidence,1.51E+12,pruned
hard,6,d4fac87b,c1,best_move,1.51E+12,pruned
hard,6,d4fac87b,177806,timeSolution,1.51E+12,pruned
hard,6,d4fac87b,2_4_1,clickPos,1.51E+12,pruned
hard,6,d4fac87b,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[2,1,1,1,1,0],[2,1,2,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",click,1.51E+12,pruned
hard,6,d4fac87b,2_0_2,clickPos,1.51E+12,pruned
hard,6,d4fac87b,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[2,1,1,1,0,0],[2,1,2,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",click,1.51E+12,pruned
hard,6,d4fac87b,2_3_1,clickPos,1.51E+12,pruned
hard,6,d4fac87b,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,1,1,0,0],[2,1,2,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",click,1.51E+12,pruned
hard,6,d4fac87b,3_2_2,clickPos,1.51E+12,pruned
hard,6,d4fac87b,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,1,0,0,0],[2,1,2,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",click,1.51E+12,pruned
hard,6,d4fac87b,2_2_1,clickPos,1.51E+12,pruned
hard,6,d4fac87b,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,1,0,0,0],[2,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",click,1.51E+12,pruned
hard,6,d4fac87b,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[2,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",reset,1.51E+12,pruned
hard,6,d4fac87b,3_2_2,clickPos,1.51E+12,pruned
hard,6,d4fac87b,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[2,1,1,0,0,0],[2,1,2,2,0,0],[0,1,1,2,0,0],[0,2,0,1,2,0]]",click,1.51E+12,pruned
hard,6,d4fac87b,2_2_1,clickPos,1.51E+12,pruned
hard,6,d4fac87b,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[2,1,1,0,0,0],[2,1,0,2,0,0],[0,1,1,2,0,0],[0,2,0,1,2,0]]",click,1.51E+12,pruned
hard,6,d4fac87b,2_0_2,clickPos,1.51E+12,pruned
hard,6,d4fac87b,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[2,1,0,0,0,0],[2,1,0,2,0,0],[0,1,1,2,0,0],[0,2,0,1,2,0]]",click,1.51E+12,pruned
hard,6,d4fac87b,5_3_1,clickPos,1.51E+12,pruned
hard,6,d4fac87b,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[2,1,0,2,0,0],[0,1,1,2,0,0],[0,2,0,1,2,0]]",click,1.51E+12,pruned
hard,6,d4fac87b,4_3_2,clickPos,1.51E+12,pruned
hard,6,d4fac87b,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[2,1,0,2,0,0],[0,1,1,2,0,0],[0,2,0,0,2,0]]",click,1.51E+12,pruned
hard,6,d4fac87b,4_2_1,clickPos,1.51E+12,pruned
hard,6,d4fac87b,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[2,1,0,2,0,0],[0,1,1,0,0,0],[0,2,0,0,2,0]]",click,1.51E+12,pruned
hard,6,d4fac87b,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[2,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",reset,1.51E+12,pruned
