boardType,boardSize,userid,value,key,time,condition
hard,10,f8f1048b,hard,difficulty,1.51E+12,verify
hard,10,f8f1048b,10_verify_hard,experimentalCondition,1.51E+12,verify
hard,10,f8f1048b,f8f1048b,new_user,1.51E+12,verify
hard,10,f8f1048b,10,boardSize,1.51E+12,verify
hard,10,f8f1048b,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,2,0,0,0,0,0,0],[0,0,0,1,0,2,0,0,0,0],[0,2,2,0,1,1,1,0,2,0],[0,0,2,1,2,0,0,0,0,0],[0,1,1,0,0,0,0,0,0,0],[0,1,1,0,2,0,0,0,0,0],[0,0,1,0,2,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0],[0,0,2,0,0,2,2,0,0,0],[0,0,0,0,1,0,0,0,0,0]],nextPlayer:2,streak:5,turns:5,firstMovrRow:2,firstMovrCol:4,winPath:[[[2,3],[4,3],[4,4],[4,5]]],losePath:[[[6,0],[2,7],[5,3],[4,0]]],winMove:[e8,E8,8e,8E]}",start_position,1.51E+12,verify
hard,10,f8f1048b,2,education,1.51E+12,verify
hard,10,f8f1048b,female,gender,1.51E+12,verify
hard,10,f8f1048b,34,age,1.51E+12,verify
hard,10,f8f1048b,45890,timeInstructions,1.51E+12,verify
hard,10,f8f1048b,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",start,1.51E+12,verify
hard,10,f8f1048b,167994,timeQuiz,1.51E+12,verify
hard,10,f8f1048b,171106,timeInstructions,1.51E+12,verify
hard,10,f8f1048b,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",start,1.51E+12,verify
hard,10,f8f1048b,7_5_2,clickPos_practice,1.51E+12,verify
hard,10,f8f1048b,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,2,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",click_practice,1.51E+12,verify
hard,10,f8f1048b,7_0_1,clickPos_practice,1.51E+12,verify
hard,10,f8f1048b,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[1,1,1,1,1,2,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",click_practice,1.51E+12,verify
hard,10,f8f1048b,b4,quiz5,1.51E+12,verify
hard,10,f8f1048b,c1,quiz4,1.51E+12,verify
hard,10,f8f1048b,2,quiz1,1.51E+12,verify
hard,10,f8f1048b,TRUE,passedQuiz,1.51E+12,verify
hard,10,f8f1048b,27865,timeQuiz,1.51E+12,verify
hard,10,f8f1048b,2,quiz2,1.51E+12,verify
hard,10,f8f1048b,yes,quiz6v,1.51E+12,verify
hard,10,f8f1048b,,quiz6,1.51E+12,verify
hard,10,f8f1048b,3,quiz3,1.51E+12,verify
