board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_linear_new_square_opp,paths,False,False,1,square,2,True,35,56,0,"[[0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -1e-05, 0.027149321266968326, -2e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -2e-05, -1e-05, -1e-05, -1e-05, 0.027149321266968326, 0.027149321266968326], [0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.013574660633484163, 0.013574660633484163], [0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.013574660633484163, 0.01809954751131222, -1e-05, 0.013574660633484163, -2e-05, -2e-05, 0.013574660633484163, 0.013574660633484163, 0.027149321266968326], [-1e-05, 0.013574660633484163, 0.013574660633484163, 0.01809954751131222, 0.004524886877828055, 0.004524886877828055, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [-1e-05, -1e-05, 0.027149321266968326, 0.027149321266968326, 0.00904977375565611, 0.00904977375565611, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [-2e-05, -2e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -1e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.01809954751131222, 0.013574660633484163, -1e-05, 0.01809954751131222, 0.013574660633484163, 0.013574660633484163], [0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.01809954751131222, -2e-05, -2e-05, -2e-05, 0.013574660633484163, 0.013574660633484163]]"
10_easy_pruned,paths_linear_new_square_opp,paths,False,False,1,square,2,True,35,56,0,"[[0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, -1e-05, -2e-05, -2e-05, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986], [0.02097902097902098, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, -2e-05, -1e-05, -1e-05, -1e-05, 0.04195804195804196, 0.04195804195804196], [0.013986013986013986, 0.02097902097902098, 0.013986013986013986, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.013986013986013986, 0.013986013986013986], [0.013986013986013986, 0.013986013986013986, 0.013986013986013986, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.013986013986013986, 0.013986013986013986, -1e-05, 0.013986013986013986, -2e-05, -2e-05, 0.013986013986013986, 0.013986013986013986, -1e-05], [-1e-05, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.006993006993006993, 0.006993006993006993, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986], [-1e-05, -1e-05, 0.02097902097902098, 0.02097902097902098, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986], [-2e-05, -2e-05, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, -1e-05, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986], [0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, -1e-05, 0.02097902097902098, 0.013986013986013986, 0.013986013986013986], [0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, -2e-05, -2e-05, -2e-05, 0.013986013986013986, 0.013986013986013986]]"
10_hard_full,paths_linear_new_square_opp,paths,False,False,1,square,2,True,35,47,0,"[[0.012944983818770227, 0.012944983818770227, 0.012944983818770227, -2e-05, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.016181229773462782, 0.012944983818770227], [0.012944983818770227, 0.012944983818770227, 0.012944983818770227, -1e-05, 0.012944983818770227, -2e-05, 0.012944983818770227, 0.016181229773462782, 0.012944983818770227, 0.012944983818770227], [0.012944983818770227, -2e-05, -2e-05, 0.012944983818770227, 0.016181229773462782, -1e-05, -1e-05, 0.012944983818770227, -2e-05, 0.012944983818770227], [0.012944983818770227, 0.012944983818770227, -2e-05, -1e-05, -2e-05, 0.009708737864077669, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227], [0.016181229773462782, -1e-05, -1e-05, 0.019417475728155338, 0.003236245954692557, 0.006472491909385114, 0.006472491909385114, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227], [0.012944983818770227, -1e-05, -1e-05, 0.009708737864077669, -2e-05, 0.003236245954692557, 0.012944983818770227, 0.02912621359223301, 0.012944983818770227, 0.012944983818770227], [0.012944983818770227, 0.012944983818770227, -1e-05, 0.012944983818770227, -2e-05, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.016181229773462782, 0.012944983818770227], [0.012944983818770227, 0.012944983818770227, -1e-05, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.016181229773462782], [0.012944983818770227, 0.012944983818770227, -2e-05, 0.012944983818770227, 0.012944983818770227, -2e-05, -2e-05, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227], [0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, -1e-05, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227]]"
10_hard_pruned,paths_linear_new_square_opp,paths,False,False,1,square,2,True,35,47,0,"[[0.012448132780082987, 0.012448132780082987, 0.016597510373443983, -2e-05, 0.012448132780082987, 0.012448132780082987, 0.016597510373443983, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987], [0.012448132780082987, 0.012448132780082987, 0.012448132780082987, -1e-05, 0.012448132780082987, -2e-05, 0.016597510373443983, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987], [0.012448132780082987, -2e-05, -2e-05, 0.024896265560165973, -1e-05, -1e-05, -1e-05, 0.024896265560165973, -2e-05, 0.012448132780082987], [0.012448132780082987, 0.012448132780082987, -2e-05, -1e-05, -2e-05, 0.016597510373443983, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987], [0.024896265560165973, -1e-05, -1e-05, 0.029045643153526972, 0.004149377593360996, 0.008298755186721992, 0.008298755186721992, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987], [0.012448132780082987, -1e-05, -1e-05, 0.016597510373443983, -2e-05, 0.004149377593360996, 0.012448132780082987, 0.02074688796680498, 0.012448132780082987, 0.012448132780082987], [-2e-05, 0.012448132780082987, -1e-05, 0.012448132780082987, -2e-05, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987], [0.012448132780082987, 0.016597510373443983, -1e-05, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987], [0.016597510373443983, 0.012448132780082987, -2e-05, 0.012448132780082987, 0.012448132780082987, -2e-05, -2e-05, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987], [0.012448132780082987, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987, -1e-05, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987, 0.012448132780082987]]"
10_medium_full,paths_linear_new_square_opp,paths,False,False,1,square,2,True,35,36,0,"[[0.010752688172043012, 0.010752688172043012, 0.016129032258064516, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012], [0.010752688172043012, 0.010752688172043012, 0.021505376344086023, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012], [0.010752688172043012, 0.010752688172043012, -1e-05, 0.010752688172043012, 0.010752688172043012, -2e-05, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012], [0.016129032258064516, 0.026881720430107527, 0.016129032258064516, -1e-05, -1e-05, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012], [0.010752688172043012, 0.026881720430107527, 0.010752688172043012, 0.005376344086021506, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.010752688172043012], [0.010752688172043012, 0.021505376344086023, 0.026881720430107527, 0.005376344086021506, 0.016129032258064516, -1e-05, -2e-05, -2e-05, 0.010752688172043012, 0.010752688172043012], [0.010752688172043012, 0.010752688172043012, 0.021505376344086023, -1e-05, 0.026881720430107527, -2e-05, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012], [0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, -1e-05, -1e-05, 0.005376344086021506, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012], [0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, -1e-05, 0.026881720430107527, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012], [0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, -2e-05, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012]]"
10_medium_pruned,paths_linear_new_square_opp,paths,False,False,1,square,2,True,35,54,0,"[[0.011976047904191617, 0.011976047904191617, 0.023952095808383235, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, 0.023952095808383235, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, -1e-05, 0.011976047904191617, 0.011976047904191617, -2e-05, 0.005988023952095809, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.023952095808383235, 0.023952095808383235, -1e-05, -1e-05, -1e-05, -2e-05, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, 0.005988023952095809, 0.011976047904191617, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, -1e-05, -2e-05, -2e-05, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, 0.017964071856287425, -1e-05, 0.011976047904191617, -2e-05, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, -1e-05, -1e-05, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, -1e-05, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, -2e-05, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617]]"
6_easy_full,paths_linear_new_square_opp,paths,False,False,1,square,2,True,35,24,1,"[[0.05555555555555555, -1e-05, 0.018518518518518517, -2e-05, 0.05555555555555555, 0.05555555555555555], [0.05555555555555555, -2e-05, -1e-05, -1e-05, 0.037037037037037035, 0.037037037037037035], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.05555555555555555], [-2e-05, 0.07407407407407407, -1e-05, -1e-05, -2e-05, 0.018518518518518517], [-1e-05, 0.05555555555555555, -2e-05, -2e-05, 0.07407407407407407, 0.07407407407407407], [0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555]]"
6_easy_pruned,paths_linear_new_square_opp,paths,False,False,1,square,2,True,35,12,1,"[[0.05714285714285714, -1e-05, -2e-05, -2e-05, 0.05714285714285714, 0.05714285714285714], [0.05714285714285714, -2e-05, -1e-05, -1e-05, 0.02857142857142857, 0.02857142857142857], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.05714285714285714], [-2e-05, 0.08571428571428572, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.05714285714285714, -2e-05, -2e-05, 0.08571428571428572, 0.08571428571428572], [0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714]]"
6_hard_full,paths_linear_new_square_opp,paths,False,False,1,square,2,True,35,15,0,"[[0.09302325581395349, -2e-05, 0.023255813953488372, 0.046511627906976744, -1e-05, 0.023255813953488372], [0.023255813953488372, -2e-05, -1e-05, -2e-05, 0.06976744186046512, 0.023255813953488372], [0.046511627906976744, -1e-05, 0.06976744186046512, 0.023255813953488372, 0.023255813953488372, 0.023255813953488372], [0.023255813953488372, -1e-05, 0.06976744186046512, -2e-05, 0.023255813953488372, 0.023255813953488372], [0.023255813953488372, -1e-05, 0.046511627906976744, 0.023255813953488372, 0.09302325581395349, 0.023255813953488372], [0.023255813953488372, -2e-05, 0.046511627906976744, 0.06976744186046512, -2e-05, 0.023255813953488372]]"
6_hard_pruned,paths_linear_new_square_opp,paths,False,False,1,square,2,True,35,27,0,"[[0.07317073170731707, -2e-05, 0.04878048780487805, -1e-05, -1e-05, 0.04878048780487805], [0.024390243902439025, -2e-05, -1e-05, -2e-05, 0.07317073170731707, 0.024390243902439025], [0.04878048780487805, -1e-05, 0.04878048780487805, 0.024390243902439025, 0.04878048780487805, 0.024390243902439025], [-2e-05, -1e-05, 0.0975609756097561, -2e-05, 0.04878048780487805, 0.024390243902439025], [0.024390243902439025, -1e-05, 0.04878048780487805, 0.04878048780487805, 0.07317073170731707, 0.024390243902439025], [0.024390243902439025, -2e-05, 0.024390243902439025, 0.04878048780487805, -2e-05, 0.024390243902439025]]"
