board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_linear_opp_potential,paths,False,False,1,square,2,True,50,56,0,"[[0.01327433628318584, 0.01327433628318584, 0.01327433628318584, 0.01327433628318584, -1e-05, 0.022123893805309734, -2e-05, 0.01327433628318584, 0.01327433628318584, 0.01327433628318584], [0.01327433628318584, 0.01327433628318584, 0.01327433628318584, 0.01327433628318584, -2e-05, -1e-05, -1e-05, -1e-05, 0.022123893805309734, 0.022123893805309734], [0.01327433628318584, 0.01327433628318584, 0.01327433628318584, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.01327433628318584, 0.01327433628318584], [0.01327433628318584, 0.01327433628318584, 0.01327433628318584, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.01327433628318584, 0.01327433628318584, -1e-05, 0.01327433628318584, -2e-05, -2e-05, 0.01327433628318584, 0.01327433628318584, 0.04424778761061947], [-1e-05, 0.01327433628318584, 0.008849557522123894, 0.01327433628318584, 0.004424778761061947, 0.008849557522123894, 0.01327433628318584, 0.01327433628318584, 0.01327433628318584, 0.01327433628318584], [-1e-05, -1e-05, 0.01327433628318584, 0.01327433628318584, 0.01327433628318584, 0.004424778761061947, 0.01327433628318584, 0.01327433628318584, 0.01327433628318584, 0.01327433628318584], [-2e-05, -2e-05, 0.035398230088495575, 0.01327433628318584, 0.01327433628318584, 0.01327433628318584, -1e-05, 0.01327433628318584, 0.01327433628318584, 0.01327433628318584], [0.01327433628318584, 0.01327433628318584, 0.01327433628318584, 0.05752212389380531, 0.01327433628318584, 0.01327433628318584, -1e-05, 0.01327433628318584, 0.01327433628318584, 0.01327433628318584], [0.01327433628318584, 0.01327433628318584, 0.01327433628318584, 0.01327433628318584, 0.01327433628318584, -2e-05, -2e-05, -2e-05, 0.01327433628318584, 0.01327433628318584]]"
10_easy_pruned,paths_linear_opp_potential,paths,False,False,1,square,2,True,50,56,0,"[[0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, -1e-05, -2e-05, -2e-05, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988], [0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, -2e-05, -1e-05, -1e-05, -1e-05, 0.03896103896103896, 0.07792207792207792], [0.012987012987012988, 0.012987012987012988, 0.012987012987012988, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.012987012987012988, 0.012987012987012988], [0.012987012987012988, 0.012987012987012988, 0.012987012987012988, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.012987012987012988, 0.012987012987012988, -1e-05, 0.012987012987012988, -2e-05, -2e-05, 0.012987012987012988, 0.012987012987012988, -1e-05], [-1e-05, 0.01948051948051948, 0.012987012987012988, 0.032467532467532464, 0.006493506493506494, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988], [-1e-05, -1e-05, 0.045454545454545456, 0.01948051948051948, 0.012987012987012988, 0.006493506493506494, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988], [-2e-05, -2e-05, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, -1e-05, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988], [0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, -1e-05, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988], [0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, -2e-05, -2e-05, -2e-05, 0.012987012987012988, 0.012987012987012988]]"
10_hard_full,paths_linear_opp_potential,paths,False,False,1,square,2,True,50,66,0,"[[0.009615384615384616, 0.009615384615384616, 0.009615384615384616, -2e-05, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616], [0.028846153846153848, 0.009615384615384616, 0.009615384615384616, -1e-05, 0.009615384615384616, -2e-05, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616], [0.009615384615384616, -2e-05, -2e-05, 0.009615384615384616, 0.009615384615384616, -1e-05, -1e-05, 0.009615384615384616, -2e-05, 0.009615384615384616], [0.009615384615384616, 0.009615384615384616, -2e-05, -1e-05, -2e-05, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616], [0.028846153846153848, -1e-05, -1e-05, 0.07692307692307693, 0.009615384615384616, 0.07692307692307693, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616], [0.009615384615384616, -1e-05, -1e-05, 0.019230769230769232, -2e-05, 0.019230769230769232, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616], [0.009615384615384616, 0.009615384615384616, -1e-05, 0.009615384615384616, -2e-05, 0.028846153846153848, 0.028846153846153848, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616], [0.009615384615384616, 0.009615384615384616, -1e-05, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, 0.028846153846153848, 0.009615384615384616, 0.009615384615384616], [0.009615384615384616, 0.009615384615384616, -2e-05, 0.009615384615384616, 0.009615384615384616, -2e-05, -2e-05, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616], [0.009615384615384616, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, -1e-05, 0.009615384615384616, 0.009615384615384616, 0.019230769230769232, 0.009615384615384616, 0.009615384615384616]]"
10_hard_pruned,paths_linear_opp_potential,paths,False,False,1,square,2,True,50,66,0,"[[0.011494252873563218, 0.011494252873563218, 0.022988505747126436, -2e-05, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218], [0.022988505747126436, 0.011494252873563218, 0.011494252873563218, -1e-05, 0.011494252873563218, -2e-05, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218], [0.011494252873563218, -2e-05, -2e-05, 0.028735632183908046, -1e-05, -1e-05, -1e-05, 0.034482758620689655, -2e-05, 0.011494252873563218], [0.022988505747126436, 0.011494252873563218, -2e-05, -1e-05, -2e-05, 0.022988505747126436, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218], [0.011494252873563218, -1e-05, -1e-05, 0.022988505747126436, 0.011494252873563218, 0.011494252873563218, 0.005747126436781609, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218], [0.011494252873563218, -1e-05, -1e-05, 0.028735632183908046, -2e-05, 0.011494252873563218, 0.017241379310344827, 0.005747126436781609, 0.011494252873563218, 0.011494252873563218], [-2e-05, 0.011494252873563218, -1e-05, 0.022988505747126436, -2e-05, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218], [0.011494252873563218, 0.011494252873563218, -1e-05, 0.011494252873563218, 0.028735632183908046, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218], [0.011494252873563218, 0.011494252873563218, -2e-05, 0.011494252873563218, 0.011494252873563218, -2e-05, -2e-05, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218], [0.011494252873563218, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218, -1e-05, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218, 0.011494252873563218]]"
10_medium_full,paths_linear_opp_potential,paths,False,False,1,square,2,True,50,42,0,"[[0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323], [0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323], [0.011152416356877323, 0.011152416356877323, -1e-05, 0.011152416356877323, 0.011152416356877323, -2e-05, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323], [0.011152416356877323, 0.011152416356877323, 0.0037174721189591076, -1e-05, -1e-05, 0.0037174721189591076, 0.02973977695167286, 0.02973977695167286, 0.011152416356877323, 0.011152416356877323], [0.011152416356877323, 0.02973977695167286, 0.011152416356877323, 0.007434944237918215, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.011152416356877323], [0.011152416356877323, 0.011152416356877323, 0.02973977695167286, 0.007434944237918215, 0.011152416356877323, -1e-05, -2e-05, -2e-05, 0.011152416356877323, 0.011152416356877323], [0.011152416356877323, 0.01486988847583643, 0.011152416356877323, -1e-05, 0.011152416356877323, -2e-05, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323], [0.01858736059479554, 0.01486988847583643, 0.01486988847583643, 0.01858736059479554, -1e-05, -1e-05, 0.011152416356877323, 0.01486988847583643, 0.01486988847583643, 0.011152416356877323], [0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, -1e-05, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323], [0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323, -2e-05, 0.011152416356877323, 0.011152416356877323, 0.011152416356877323]]"
10_medium_pruned,paths_linear_opp_potential,paths,False,False,1,square,2,True,50,27,0,"[[0.011299435028248588, 0.011299435028248588, 0.03389830508474576, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.03389830508474576, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, -1e-05, 0.011299435028248588, 0.011299435028248588, -2e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.02824858757062147, 0.02824858757062147, -1e-05, -1e-05, -1e-05, -2e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.01694915254237288, 0.005649717514124294, 0.011299435028248588, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.022598870056497175, 0.005649717514124294, 0.011299435028248588, -1e-05, -2e-05, -2e-05, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.022598870056497175, -1e-05, 0.011299435028248588, -2e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, -1e-05, -1e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, -1e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, -2e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588]]"
6_easy_full,paths_linear_opp_potential,paths,False,False,1,square,2,True,50,24,1,"[[0.047619047619047616, -1e-05, 0.047619047619047616, -2e-05, 0.047619047619047616, 0.047619047619047616], [0.047619047619047616, -2e-05, -1e-05, -1e-05, 0.14285714285714285, 0.14285714285714285], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.015873015873015872], [-2e-05, 0.047619047619047616, -1e-05, -1e-05, -2e-05, 0.015873015873015872], [-1e-05, 0.031746031746031744, -2e-05, -2e-05, 0.047619047619047616, 0.047619047619047616], [0.047619047619047616, 0.047619047619047616, 0.031746031746031744, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616]]"
6_easy_pruned,paths_linear_opp_potential,paths,False,False,1,square,2,True,50,26,0,"[[0.045454545454545456, -1e-05, -2e-05, -2e-05, 0.045454545454545456, 0.045454545454545456], [0.045454545454545456, -2e-05, -1e-05, -1e-05, 0.045454545454545456, 0.022727272727272728], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.045454545454545456], [-2e-05, 0.06818181818181818, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.045454545454545456, -2e-05, -2e-05, 0.045454545454545456, 0.09090909090909091], [0.06818181818181818, 0.06818181818181818, 0.045454545454545456, 0.06818181818181818, 0.06818181818181818, 0.13636363636363635]]"
6_hard_full,paths_linear_opp_potential,paths,False,False,1,square,2,True,50,15,0,"[[0.07547169811320754, -2e-05, 0.03773584905660377, 0.018867924528301886, -1e-05, 0.018867924528301886], [0.018867924528301886, -2e-05, -1e-05, -2e-05, 0.07547169811320754, 0.018867924528301886], [0.09433962264150944, -1e-05, 0.11320754716981132, 0.018867924528301886, 0.03773584905660377, 0.018867924528301886], [0.018867924528301886, -1e-05, 0.09433962264150944, -2e-05, 0.03773584905660377, 0.018867924528301886], [0.018867924528301886, -1e-05, 0.03773584905660377, 0.018867924528301886, 0.07547169811320754, 0.018867924528301886], [0.018867924528301886, -2e-05, 0.018867924528301886, 0.05660377358490566, -2e-05, 0.018867924528301886]]"
6_hard_pruned,paths_linear_opp_potential,paths,False,False,1,square,2,True,50,17,0,"[[0.057692307692307696, -2e-05, 0.07692307692307693, -1e-05, -1e-05, 0.057692307692307696], [0.038461538461538464, -2e-05, -1e-05, -2e-05, 0.07692307692307693, 0.019230769230769232], [0.057692307692307696, -1e-05, 0.07692307692307693, 0.019230769230769232, 0.057692307692307696, 0.019230769230769232], [-2e-05, -1e-05, 0.11538461538461539, -2e-05, 0.057692307692307696, 0.019230769230769232], [0.019230769230769232, -1e-05, 0.038461538461538464, 0.038461538461538464, 0.057692307692307696, 0.019230769230769232], [0.019230769230769232, -2e-05, 0.019230769230769232, 0.019230769230769232, -2e-05, 0.019230769230769232]]"
