board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_linear_noOpp,paths,False,False,1,square,2,False,13587,50,1,"[[0.011074049366244162, 0.011074049366244162, 0.011074049366244162, 0.011074049366244162, -1e-05, 0.0045363575717144765, -2e-05, 0.011074049366244162, 0.01134089392928619, 0.0266844563042028], [0.012675116744496331, 0.011074049366244162, 0.011074049366244162, 0.011074049366244162, -2e-05, -1e-05, -1e-05, -1e-05, 0.01987991994663109, 0.021480987324883256], [0.011074049366244162, 0.012675116744496331, 0.011074049366244162, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.022414943295530353, 0.027084723148765845], [0.011074049366244162, 0.011074049366244162, 0.014142761841227485, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.011074049366244162, 0.011207471647765177, -1e-05, 0.011874583055370248, -2e-05, -2e-05, 0.011074049366244162, 0.011207471647765177, 0.009873248832555036], [-1e-05, 0.011074049366244162, 0.011741160773849233, 0.015476984656437626, 0.0704469646430954, 0.001067378252168112, 0.011207471647765177, 0.011074049366244162, 0.012141427618412274, 0.02695130086724483], [-1e-05, -1e-05, 0.012274849899933288, 0.012675116744496331, 0.01160773849232822, 0.07458305537024683, 0.010940627084723148, 0.011474316210807205, 0.011074049366244162, 0.012274849899933288], [-2e-05, -2e-05, 0.01200800533689126, 0.011074049366244162, 0.011474316210807205, 0.011207471647765177, -1e-05, 0.011074049366244162, 0.011074049366244162, 0.01200800533689126], [0.011074049366244162, 0.011074049366244162, 0.011074049366244162, 0.0133422281521014, 0.011207471647765177, 0.01200800533689126, -1e-05, 0.046964643095396934, 0.011074049366244162, 0.011074049366244162], [0.011074049366244162, 0.011074049366244162, 0.011074049366244162, 0.012808539026017345, 0.012408272181454303, -2e-05, -2e-05, -2e-05, 0.01134089392928619, 0.011207471647765177]]"
10_easy_pruned,paths_linear_noOpp,paths,False,False,1,square,2,False,3683,20,1,"[[0.01166747690811862, 0.01166747690811862, 0.01166747690811862, 0.01166747690811862, -1e-05, -2e-05, -2e-05, 0.01166747690811862, 0.012153621779290228, 0.045697617890131256], [0.013125911521633447, 0.01166747690811862, 0.01166747690811862, 0.01166747690811862, -2e-05, -1e-05, -1e-05, -1e-05, 0.0213903743315508, 0.02333495381623724], [0.01166747690811862, 0.013125911521633447, 0.01166747690811862, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.01701507049100632, 0.04715605250364609], [0.01166747690811862, 0.01166747690811862, 0.014098201263976665, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.01166747690811862, 0.01118133203694701, -1e-05, 0.013612056392805057, -2e-05, -2e-05, 0.01166747690811862, 0.0106951871657754, -1e-05], [-1e-05, 0.01166747690811862, 0.01118133203694701, 0.01118133203694701, 0.07049100631988332, 0.0024307243558580457, 0.01166747690811862, 0.01166747690811862, 0.012639766650461837, 0.045697617890131256], [-1e-05, -1e-05, 0.012639766650461837, 0.012639766650461837, 0.01166747690811862, 0.03986387943607195, 0.01118133203694701, 0.012639766650461837, 0.01166747690811862, 0.013612056392805057], [-2e-05, -2e-05, 0.013125911521633447, 0.01166747690811862, 0.01118133203694701, 0.01118133203694701, -1e-05, 0.01166747690811862, 0.01166747690811862, 0.013612056392805057], [0.01166747690811862, 0.01166747690811862, 0.01166747690811862, 0.012639766650461837, 0.01118133203694701, 0.012153621779290228, -1e-05, 0.01701507049100632, 0.01166747690811862, 0.01166747690811862], [0.01166747690811862, 0.01166747690811862, 0.01166747690811862, 0.012153621779290228, 0.013612056392805057, -2e-05, -2e-05, -2e-05, 0.01166747690811862, 0.01166747690811862]]"
10_hard_full,paths_linear_noOpp,paths,False,False,1,square,2,False,100000,66,0,"[[0.006480677702277966, 0.0064956446253779145, 0.010761217708863412, -2e-05, 0.0064956446253779145, 0.006480677702277966, 0.006615380010177508, 0.0064956446253779145, 0.006630346933277457, 0.0064956446253779145], [0.007528362319274403, 0.006480677702277966, 0.006510611548477864, -1e-05, 0.0064956446253779145, -2e-05, 0.006615380010177508, 0.006615380010177508, 0.0064956446253779145, 0.006465710779178017], [0.006510611548477864, -2e-05, -2e-05, 0.12660520250246954, 0.03877929775196815, -1e-05, -1e-05, 0.02277965695812255, -2e-05, 0.0064956446253779145], [0.008156973089472266, 0.007857634627473284, -2e-05, -1e-05, -2e-05, 0.02982907773819858, 0.006600413087077559, 0.009025054629269315, 0.0064956446253779145, 0.006480677702277966], [0.04374831622115125, -1e-05, -1e-05, 0.013350495405154608, 0.046756667764241026, 0.04692130391834047, 0.013934205406052624, 0.008007303858472776, 0.006390876163678271, 0.006435776932978118], [0.007827700781273386, -1e-05, -1e-05, 0.09173227167958811, -2e-05, 0.002170203849492621, 0.0013919238482952674, 0.013560032328553896, 0.006540545394677762, 0.006480677702277966], [0.022465351573023616, 0.009324393091268297, -1e-05, 0.023617804651719698, -2e-05, 0.002559343850091298, 0.006480677702277966, 0.005777232316580358, 0.006226240009578831, 0.0064956446253779145], [0.006809950010476846, 0.009204657706468704, -1e-05, 0.019007992336935373, 0.00978836770736672, 0.008845451552069925, 0.006839883856676744, 0.006465710779178017, 0.006525578471577813, 0.006465710779178017], [0.006869817702876643, 0.008037237704672674, -2e-05, 0.008411410782171402, 0.017481366180740563, -2e-05, -2e-05, 0.006480677702277966, 0.0064956446253779145, 0.006525578471577813], [0.006480677702277966, 0.006480677702277966, 0.0064956446253779145, 0.006480677702277966, -1e-05, 0.017780704642739547, 0.0064956446253779145, 0.006600413087077559, 0.006480677702277966, 0.006480677702277966]]"
10_hard_pruned,paths_linear_noOpp,paths,False,False,1,square,2,False,30815,24,1,"[[0.004489999546464693, 0.004489999546464693, 0.013424645108621706, -2e-05, 0.004489999546464693, 0.004489999546464693, 0.004626060138781804, 0.004580706608009434, 0.004852827792643657, 0.004489999546464693], [0.004671413669554174, 0.004489999546464693, 0.004535353077237063, -1e-05, 0.004580706608009434, -2e-05, 0.004626060138781804, 0.004943534854188398, 0.004489999546464693, 0.004489999546464693], [0.004489999546464693, -2e-05, -2e-05, 0.056827974057780395, -1e-05, -1e-05, -1e-05, 0.05360787337294208, -2e-05, 0.004535353077237063], [0.007301918454351671, 0.009932423239149168, -2e-05, -1e-05, -2e-05, 0.029797269717447502, 0.004626060138781804, 0.0065762619619937415, 0.004489999546464693, 0.004489999546464693], [0.07741847702843667, -1e-05, -1e-05, 0.04961676266497347, 0.09057100095242415, 0.06236110481200961, 0.01800535171663114, 0.004898181323416028, 0.004489999546464693, 0.004489999546464693], [0.011338382693092657, -1e-05, -1e-05, 0.14522200553313075, -2e-05, 0.0005895959000408182, 0.0015420200462606013, 0.01437706925484149, 0.0047167672003265455, 0.004535353077237063], [-2e-05, 0.01750646287813506, -1e-05, 0.021180098870697085, -2e-05, 0.003991110707968615, 0.004399292484919951, 0.004535353077237063, 0.004399292484919951, 0.004580706608009434], [0.004671413669554174, 0.011383736223865027, -1e-05, 0.022994240101591908, 0.00870787790829516, 0.004626060138781804, 0.005533130754229217, 0.004807474261871287, 0.004580706608009434, 0.004489999546464693], [0.005306363100367363, 0.010113837362238651, -2e-05, 0.008979999092929385, 0.013515352170166448, -2e-05, -2e-05, 0.004399292484919951, 0.004535353077237063, 0.004535353077237063], [0.004489999546464693, 0.004535353077237063, 0.004626060138781804, 0.004852827792643657, -1e-05, 0.011837271531588735, 0.004671413669554174, 0.004580706608009434, 0.004535353077237063, 0.004489999546464693]]"
10_medium_full,paths_linear_noOpp,paths,False,False,1,square,2,False,100000,36,0,"[[0.0039313739365633505, 0.0039313739365633505, 0.008570395181708103, 0.004025726911040871, 0.004041452406787124, 0.004010001415294617, 0.004261609347234672, 0.003947099432309604, 0.0039313739365633505, 0.0039313739365633505], [0.0039313739365633505, 0.0039313739365633505, 0.01742384928684877, 0.004277334842980925, 0.004025726911040871, 0.00467047223663726, 0.005252315579248636, 0.004025726911040871, 0.003915648440817097, 0.0039313739365633505], [0.003994275919548364, 0.003994275919548364, -1e-05, 0.020128634555204354, 0.005834158921860012, -2e-05, 0.0006919218128351496, 0.003962824928055857, 0.003947099432309604, 0.0039313739365633505], [0.019845575631771792, 0.04645311443443254, 0.0499441744901008, -1e-05, -1e-05, 0.009246591498797, 0.010190121243572204, 0.005079335126039849, 0.0039313739365633505, 0.0039313739365633505], [0.004041452406787124, 0.023368086678932552, 0.016496045037819818, 0.049362331147489426, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.004072903398279631], [0.004010001415294617, 0.01308361246088283, 0.1396424022267302, 0.033306599990564706, 0.010882043056407354, -1e-05, -2e-05, -2e-05, 0.004135805381264644, 0.003947099432309604], [0.004466040791935966, 0.011636866852227517, 0.024720479313110347, -1e-05, 0.04340236825965939, -2e-05, 0.0041043543897721375, 0.004135805381264644, 0.0037112169961158025, 0.0039313739365633505], [0.01151106288625749, 0.01739239829535626, 0.0286833042411662, 0.08727650139170637, -1e-05, -1e-05, 0.026230126904750673, 0.021748360617068453, 0.010253023226557217, 0.0039313739365633505], [0.0039313739365633505, 0.004245883851488418, 0.00471764872387602, 0.0054252960324574235, 0.004513217279174726, -1e-05, 0.018446006510355238, 0.004230158355742164, 0.004324511330219685, 0.004072903398279631], [0.0041043543897721375, 0.004308785834473432, 0.003947099432309604, 0.004812001698353541, 0.004230158355742164, 0.003947099432309604, -2e-05, 0.0041515308770108976, 0.0039313739365633505, 0.0041043543897721375]]"
10_medium_pruned,paths_linear_noOpp,paths,False,False,1,square,2,False,594,53,1,"[[0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068], [0.003883495145631068, 0.003883495145631068, 0.13009708737864079, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068], [0.003883495145631068, 0.003883495145631068, -1e-05, 0.005825242718446602, 0.003883495145631068, -2e-05, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068], [0.1262135922330097, 0.1262135922330097, -1e-05, -1e-05, -1e-05, -2e-05, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068], [0.003883495145631068, 0.001941747572815534, 0.13009708737864079, 0.011650485436893204, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.003883495145631068], [0.003883495145631068, 0.005825242718446602, 0.001941747572815534, 0.013592233009708738, 0.005825242718446602, -1e-05, -2e-05, -2e-05, 0.003883495145631068, 0.003883495145631068], [0.003883495145631068, 0.007766990291262136, 0.13203883495145632, -1e-05, 0.003883495145631068, -2e-05, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068], [0.007766990291262136, 0.007766990291262136, 0.009708737864077669, 0.013592233009708738, -1e-05, -1e-05, 0.011650485436893204, 0.009708737864077669, 0.007766990291262136, 0.003883495145631068], [0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, -1e-05, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068], [0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068, -2e-05, 0.003883495145631068, 0.003883495145631068, 0.003883495145631068]]"
6_easy_full,paths_linear_noOpp,paths,False,False,1,square,2,False,115,24,1,"[[0.03896103896103896, -1e-05, 0.012987012987012988, -2e-05, 0.03896103896103896, 0.05194805194805195], [0.03896103896103896, -2e-05, -1e-05, -1e-05, 0.03896103896103896, 0.03896103896103896], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1038961038961039], [-2e-05, 0.19480519480519481, -1e-05, -1e-05, -2e-05, 0.012987012987012988], [-1e-05, 0.05194805194805195, -2e-05, -2e-05, 0.03896103896103896, 0.07792207792207792], [0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.06493506493506493]]"
6_easy_pruned,paths_linear_noOpp,paths,False,False,1,square,2,False,51,12,1,"[[0.05714285714285714, -1e-05, -2e-05, -2e-05, 0.05714285714285714, 0.05714285714285714], [0.05714285714285714, -2e-05, -1e-05, -1e-05, 0.02857142857142857, 0.02857142857142857], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.11428571428571428], [-2e-05, 0.05714285714285714, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.05714285714285714, -2e-05, -2e-05, 0.05714285714285714, 0.08571428571428572], [0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714]]"
6_hard_full,paths_linear_noOpp,paths,False,False,1,square,2,False,897,4,1,"[[0.10634648370497427, -2e-05, 0.02058319039451115, 0.018867924528301886, -1e-05, 0.010291595197255575], [0.010291595197255575, -2e-05, -1e-05, -2e-05, 0.0137221269296741, 0.010291595197255575], [0.015437392795883362, -1e-05, 0.2058319039451115, 0.22298456260720412, 0.017152658662092625, 0.010291595197255575], [0.0017152658662092624, -1e-05, 0.010291595197255575, -2e-05, 0.012006861063464836, 0.03773584905660377], [0.017152658662092625, -1e-05, 0.0823327615780446, 0.02058319039451115, 0.0274442538593482, 0.012006861063464836], [0.06689536878216124, -2e-05, 0.017152658662092625, 0.022298456260720412, -2e-05, 0.010291595197255575]]"
6_hard_pruned,paths_linear_noOpp,paths,False,False,1,square,2,False,507,3,1,"[[0.16838487972508592, -2e-05, 0.041237113402061855, -1e-05, -1e-05, 0.01718213058419244], [0.01718213058419244, -2e-05, -1e-05, -2e-05, 0.024054982817869417, 0.01718213058419244], [0.024054982817869417, -1e-05, 0.08247422680412371, 0.048109965635738834, 0.030927835051546393, 0.01718213058419244], [-2e-05, -1e-05, 0.030927835051546393, -2e-05, 0.024054982817869417, 0.0859106529209622], [0.030927835051546393, -1e-05, 0.07560137457044673, 0.041237113402061855, 0.058419243986254296, 0.020618556701030927], [0.01718213058419244, -2e-05, 0.054982817869415807, 0.054982817869415807, -2e-05, 0.01718213058419244]]"
