iteration,board,shutter_size,max_moves,max_heuristic_comp,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,numberOfHeuristicComp,answer,correct,o_misses,x_misses,exploredNodes
0,6_hard_full,0,30,50000,shutter,blocking,False,True,2,square,2,True,30,152.0,4,1,0.0,0.0,"[[0.075, -2e-05, 0.075, 0.075, -1e-05, 0.075], [0.1, -2e-05, -1e-05, -2e-05, 0.025, 0.025], [0.1, -1e-05, 0.025, 0.05, 0.05, 0.025], [0.0, -1e-05, 0.05, -2e-05, 0.025, 0.0], [0.05, -1e-05, 0.075, 0.025, 0.025, 0.025], [0.0, -2e-05, 0.025, 0.0, -2e-05, 0.0]]"
0,6_hard_pruned,0,30,50000,shutter,blocking,False,True,2,square,2,True,30,143.0,15,0,0.0,0.0,"[[0.05405405405405406, -2e-05, 0.10810810810810811, -1e-05, -1e-05, 0.05405405405405406], [0.08108108108108109, -2e-05, -1e-05, -2e-05, 0.02702702702702703, 0.0], [0.08108108108108109, -1e-05, 0.02702702702702703, 0.10810810810810811, 0.02702702702702703, 0.0], [-2e-05, -1e-05, 0.02702702702702703, -2e-05, 0.05405405405405406, 0.02702702702702703], [0.02702702702702703, -1e-05, 0.02702702702702703, 0.05405405405405406, 0.08108108108108109, 0.08108108108108109], [0.0, -2e-05, 0.02702702702702703, 0.02702702702702703, -2e-05, 0.0]]"
0,6_hard_full,1,30,50000,shutter,blocking,False,True,2,square,2,True,30,308.0,21,0,0.0,0.0,"[[0.08571428571428572, -2e-05, 0.02857142857142857, 0.11428571428571428, -1e-05, 0.05714285714285714], [0.05714285714285714, -2e-05, -1e-05, -2e-05, 0.02857142857142857, 0.0], [0.02857142857142857, -1e-05, 0.05714285714285714, 0.02857142857142857, 0.02857142857142857, 0.0], [0.05714285714285714, -1e-05, 0.02857142857142857, -2e-05, 0.0, 0.0], [0.05714285714285714, -1e-05, 0.05714285714285714, 0.14285714285714285, 0.05714285714285714, 0.02857142857142857], [0.0, -2e-05, 0.05714285714285714, 0.0, -2e-05, 0.0]]"
0,6_hard_pruned,1,30,50000,shutter,blocking,False,True,2,square,2,True,30,318.0,3,1,0.0,0.0,"[[0.0967741935483871, -2e-05, 0.06451612903225806, -1e-05, -1e-05, 0.03225806451612903], [0.06451612903225806, -2e-05, -1e-05, -2e-05, 0.0967741935483871, 0.03225806451612903], [0.0967741935483871, -1e-05, 0.06451612903225806, 0.0967741935483871, 0.06451612903225806, 0.03225806451612903], [-2e-05, -1e-05, 0.06451612903225806, -2e-05, 0.03225806451612903, 0.0], [0.0, -1e-05, 0.06451612903225806, 0.0, 0.0, 0.06451612903225806], [0.0, -2e-05, 0.03225806451612903, 0.0, -2e-05, 0.0]]"
0,6_hard_full,2,30,50000,shutter,blocking,False,True,2,square,2,True,30,490.0,21,0,0.0,0.0,"[[0.08571428571428572, -2e-05, 0.05714285714285714, 0.14285714285714285, -1e-05, 0.11428571428571428], [0.08571428571428572, -2e-05, -1e-05, -2e-05, 0.02857142857142857, 0.0], [0.0, -1e-05, 0.05714285714285714, 0.02857142857142857, 0.05714285714285714, 0.0], [0.05714285714285714, -1e-05, 0.02857142857142857, -2e-05, 0.0, 0.0], [0.0, -1e-05, 0.08571428571428572, 0.08571428571428572, 0.02857142857142857, 0.0], [0.0, -2e-05, 0.05714285714285714, 0.0, -2e-05, 0.0]]"
0,6_hard_pruned,2,30,50000,shutter,blocking,False,True,2,square,2,True,30,458.0,15,0,0.0,0.0,"[[0.05263157894736842, -2e-05, 0.10526315789473684, -1e-05, -1e-05, 0.07894736842105263], [0.05263157894736842, -2e-05, -1e-05, -2e-05, 0.02631578947368421, 0.0], [0.07894736842105263, -1e-05, 0.02631578947368421, 0.13157894736842105, 0.0, 0.0], [-2e-05, -1e-05, 0.02631578947368421, -2e-05, 0.07894736842105263, 0.0], [0.02631578947368421, -1e-05, 0.05263157894736842, 0.10526315789473684, 0.07894736842105263, 0.05263157894736842], [0.0, -2e-05, 0.0, 0.02631578947368421, -2e-05, 0.0]]"
1,6_hard_full,0,30,50000,shutter,blocking,False,True,2,square,2,True,30,149.0,15,0,0.0,0.0,"[[0.16666666666666666, -2e-05, 0.1, 0.2, -1e-05, 0.16666666666666666], [0.16666666666666666, -2e-05, -1e-05, -2e-05, 0.03333333333333333, 0.03333333333333333], [0.0, -1e-05, 0.03333333333333333, 0.03333333333333333, 0.0, 0.0], [0.0, -1e-05, 0.03333333333333333, -2e-05, 0.0, 0.0], [0.0, -1e-05, 0.0, 0.03333333333333333, 0.0, 0.0], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
1,6_hard_pruned,0,30,50000,shutter,blocking,False,True,2,square,2,True,30,139.0,3,1,0.0,0.0,"[[0.13333333333333333, -2e-05, 0.13333333333333333, -1e-05, -1e-05, 0.1], [0.13333333333333333, -2e-05, -1e-05, -2e-05, 0.16666666666666666, 0.03333333333333333], [0.06666666666666667, -1e-05, 0.06666666666666667, 0.03333333333333333, 0.0, 0.03333333333333333], [-2e-05, -1e-05, 0.06666666666666667, -2e-05, 0.0, 0.0], [0.0, -1e-05, 0.03333333333333333, 0.0, 0.0, 0.0], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
1,6_hard_full,1,30,50000,shutter,blocking,False,True,2,square,2,True,30,334.0,4,1,0.0,0.0,"[[0.08333333333333333, -2e-05, 0.05555555555555555, 0.05555555555555555, -1e-05, 0.05555555555555555], [0.08333333333333333, -2e-05, -1e-05, -2e-05, 0.08333333333333333, 0.027777777777777776], [0.1111111111111111, -1e-05, 0.05555555555555555, 0.08333333333333333, 0.05555555555555555, 0.027777777777777776], [0.0, -1e-05, 0.05555555555555555, -2e-05, 0.05555555555555555, 0.0], [0.027777777777777776, -1e-05, 0.05555555555555555, 0.0, 0.0, 0.027777777777777776], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
1,6_hard_pruned,1,30,50000,shutter,blocking,False,True,2,square,2,True,30,323.0,3,1,0.0,0.0,"[[0.13333333333333333, -2e-05, 0.13333333333333333, -1e-05, -1e-05, 0.1], [0.13333333333333333, -2e-05, -1e-05, -2e-05, 0.13333333333333333, 0.03333333333333333], [0.03333333333333333, -1e-05, 0.06666666666666667, 0.06666666666666667, 0.0, 0.0], [-2e-05, -1e-05, 0.06666666666666667, -2e-05, 0.0, 0.0], [0.0, -1e-05, 0.06666666666666667, 0.03333333333333333, 0.0, 0.0], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
