iteration,board,shutter_size,max_moves,max_heuristic_comp,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,numberOfHeuristicComp,answer,correct,o_misses,x_misses,exploredNodes
0,6_hard_full,0,30,50000,shutter,blocking,False,True,2,square,2,True,30,168.0,4,1,0.1111111111111111,0.0,"[[0.02702702702702703, -2e-05, 0.05405405405405406, 0.05405405405405406, -1e-05, 0.02702702702702703], [0.13513513513513514, -2e-05, -1e-05, -2e-05, 0.08108108108108109, 0.02702702702702703], [0.02702702702702703, -1e-05, 0.05405405405405406, 0.0, 0.05405405405405406, 0.02702702702702703], [0.02702702702702703, -1e-05, 0.05405405405405406, -2e-05, 0.05405405405405406, 0.05405405405405406], [0.0, -1e-05, 0.02702702702702703, 0.02702702702702703, 0.02702702702702703, 0.02702702702702703], [0.08108108108108109, -2e-05, 0.02702702702702703, 0.02702702702702703, -2e-05, 0.0]]"
0,6_hard_pruned,0,30,50000,shutter,blocking,False,True,2,square,2,True,30,173.0,6,0,0.08695652173913043,0.0,"[[0.037037037037037035, -2e-05, 0.0, -1e-05, -1e-05, 0.1111111111111111], [0.037037037037037035, -2e-05, -1e-05, -2e-05, 0.037037037037037035, 0.037037037037037035], [0.037037037037037035, -1e-05, 0.037037037037037035, 0.037037037037037035, 0.0, 0.037037037037037035], [-2e-05, -1e-05, 0.037037037037037035, -2e-05, 0.037037037037037035, 0.07407407407407407], [0.037037037037037035, -1e-05, 0.1111111111111111, 0.07407407407407407, 0.037037037037037035, 0.037037037037037035], [0.0, -2e-05, 0.037037037037037035, 0.037037037037037035, -2e-05, 0.07407407407407407]]"
0,6_hard_full,1,30,50000,shutter,blocking,False,True,2,square,2,True,29,351.0,21,0,0.09090909090909091,0.0,"[[0.08, -2e-05, 0.04, 0.12, -1e-05, 0.04], [0.0, -2e-05, -1e-05, -2e-05, 0.0, 0.0], [0.08, -1e-05, 0.0, 0.08, 0.04, 0.08], [0.0, -1e-05, 0.04, -2e-05, 0.04, 0.08], [0.0, -1e-05, 0.08, 0.04, 0.0, 0.0], [0.04, -2e-05, 0.08, 0.0, -2e-05, 0.04]]"
0,6_hard_pruned,1,30,50000,shutter,blocking,False,True,2,square,2,True,30,337.0,15,0,0.09523809523809523,0.0,"[[0.0, -2e-05, 0.1, -1e-05, -1e-05, 0.03333333333333333], [0.06666666666666667, -2e-05, -1e-05, -2e-05, 0.03333333333333333, 0.03333333333333333], [0.03333333333333333, -1e-05, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, 0.0], [-2e-05, -1e-05, 0.06666666666666667, -2e-05, 0.06666666666666667, 0.06666666666666667], [0.0, -1e-05, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, 0.1], [0.0, -2e-05, 0.03333333333333333, 0.03333333333333333, -2e-05, 0.06666666666666667]]"
0,6_hard_full,2,30,50000,shutter,blocking,False,True,2,square,2,True,30,505.0,27,0,0.047619047619047616,0.0,"[[0.0, -2e-05, 0.05405405405405406, 0.13513513513513514, -1e-05, 0.02702702702702703], [0.0, -2e-05, -1e-05, -2e-05, 0.05405405405405406, 0.02702702702702703], [0.02702702702702703, -1e-05, 0.05405405405405406, 0.0, 0.0, 0.02702702702702703], [0.0, -1e-05, 0.10810810810810811, -2e-05, 0.08108108108108109, 0.0], [0.08108108108108109, -1e-05, 0.02702702702702703, 0.08108108108108109, 0.10810810810810811, 0.05405405405405406], [0.02702702702702703, -2e-05, 0.02702702702702703, 0.0, -2e-05, 0.0]]"
0,6_hard_pruned,2,30,50000,shutter,blocking,False,True,2,square,2,True,30,497.0,15,0,0.08333333333333333,0.14285714285714285,"[[0.022222222222222223, -2e-05, 0.06666666666666667, -1e-05, -1e-05, 0.06666666666666667], [0.044444444444444446, -2e-05, -1e-05, -2e-05, 0.06666666666666667, 0.0], [0.06666666666666667, -1e-05, 0.022222222222222223, 0.1111111111111111, 0.1111111111111111, 0.044444444444444446], [-2e-05, -1e-05, 0.08888888888888889, -2e-05, 0.022222222222222223, 0.022222222222222223], [0.044444444444444446, -1e-05, 0.1111111111111111, 0.06666666666666667, 0.0, 0.0], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.022222222222222223]]"
1,6_hard_full,0,30,50000,shutter,blocking,False,True,2,square,2,True,30,175.0,21,0,0.043478260869565216,0.0,"[[0.02857142857142857, -2e-05, 0.05714285714285714, 0.05714285714285714, -1e-05, 0.0], [0.05714285714285714, -2e-05, -1e-05, -2e-05, 0.11428571428571428, 0.02857142857142857], [0.05714285714285714, -1e-05, 0.0, 0.0, 0.02857142857142857, 0.05714285714285714], [0.0, -1e-05, 0.02857142857142857, -2e-05, 0.05714285714285714, 0.02857142857142857], [0.0, -1e-05, 0.02857142857142857, 0.05714285714285714, 0.0, 0.11428571428571428], [0.02857142857142857, -2e-05, 0.08571428571428572, 0.02857142857142857, -2e-05, 0.05714285714285714]]"
1,6_hard_pruned,0,30,50000,shutter,blocking,False,True,2,square,2,True,30,139.0,3,1,0.16666666666666666,0.0,"[[0.030303030303030304, -2e-05, 0.09090909090909091, -1e-05, -1e-05, 0.030303030303030304], [0.0, -2e-05, -1e-05, -2e-05, 0.030303030303030304, 0.030303030303030304], [0.09090909090909091, -1e-05, 0.06060606060606061, 0.09090909090909091, 0.030303030303030304, 0.06060606060606061], [-2e-05, -1e-05, 0.06060606060606061, -2e-05, 0.09090909090909091, 0.030303030303030304], [0.0, -1e-05, 0.0, 0.06060606060606061, 0.0, 0.030303030303030304], [0.06060606060606061, -2e-05, 0.030303030303030304, 0.09090909090909091, -2e-05, 0.0]]"
1,6_hard_full,1,30,50000,shutter,blocking,False,True,2,square,2,True,30,302.0,12,0,0.045454545454545456,0.0,"[[0.02857142857142857, -2e-05, 0.02857142857142857, 0.08571428571428572, -1e-05, 0.02857142857142857], [0.05714285714285714, -2e-05, -1e-05, -2e-05, 0.08571428571428572, 0.02857142857142857], [0.02857142857142857, -1e-05, 0.0, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857], [0.08571428571428572, -1e-05, 0.02857142857142857, -2e-05, 0.05714285714285714, 0.02857142857142857], [0.08571428571428572, -1e-05, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.05714285714285714], [0.05714285714285714, -2e-05, 0.02857142857142857, 0.0, -2e-05, 0.02857142857142857]]"
1,6_hard_pruned,1,30,50000,shutter,blocking,False,True,2,square,2,True,30,334.0,12,0,0.11764705882352941,0.0,"[[0.02857142857142857, -2e-05, 0.05714285714285714, -1e-05, -1e-05, 0.0], [0.0, -2e-05, -1e-05, -2e-05, 0.08571428571428572, 0.02857142857142857], [0.08571428571428572, -1e-05, 0.05714285714285714, 0.14285714285714285, 0.08571428571428572, 0.02857142857142857], [-2e-05, -1e-05, 0.08571428571428572, -2e-05, 0.08571428571428572, 0.05714285714285714], [0.02857142857142857, -1e-05, 0.02857142857142857, 0.05714285714285714, 0.0, 0.02857142857142857], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.02857142857142857]]"
