iteration,board,shutter_size,k,noise_sig,max_moves,max_heuristic_comp,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,numberOfHeuristicComp,answer,correct,o_misses,x_misses,exploredNodes
0,6_easy_full,0.5,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,141.0,3,0,0.25,0.0,"[[0.044444444444444446, -1e-05, 0.022222222222222223, -2e-05, 0.08888888888888889, 0.022222222222222223], [0.044444444444444446, -2e-05, -1e-05, -1e-05, 0.06666666666666667, 0.13333333333333333], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.044444444444444446], [-2e-05, 0.044444444444444446, -1e-05, -1e-05, -2e-05, 0.0], [-1e-05, 0.08888888888888889, -2e-05, -2e-05, 0.06666666666666667, 0.022222222222222223], [0.06666666666666667, 0.022222222222222223, 0.044444444444444446, 0.044444444444444446, 0.08888888888888889, 0.044444444444444446]]"
0,6_easy_pruned,0.5,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,30,117.0,12,1,0.3,1.0,"[[0.041666666666666664, -1e-05, -2e-05, -2e-05, 0.08333333333333333, 0.16666666666666666], [0.0, -2e-05, -1e-05, -1e-05, 0.041666666666666664, 0.041666666666666664], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.16666666666666666], [-2e-05, 0.125, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.041666666666666664, 0.16666666666666666], [0.0, 0.0, 0.041666666666666664, 0.0, 0.0, 0.08333333333333333]]"
0,6_hard_full,0.5,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,495.0,4,1,0.4444444444444444,1.0,"[[0.04081632653061224, -2e-05, 0.02040816326530612, 0.02040816326530612, -1e-05, 0.02040816326530612], [0.04081632653061224, -2e-05, -1e-05, -2e-05, 0.04081632653061224, 0.02040816326530612], [0.04081632653061224, -1e-05, 0.04081632653061224, 0.061224489795918366, 0.061224489795918366, 0.04081632653061224], [0.0, -1e-05, 0.10204081632653061, -2e-05, 0.04081632653061224, 0.0], [0.061224489795918366, -1e-05, 0.08163265306122448, 0.04081632653061224, 0.061224489795918366, 0.08163265306122448], [0.0, -2e-05, 0.061224489795918366, 0.0, -2e-05, 0.02040816326530612]]"
0,6_hard_pruned,0.5,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,435.0,28,0,0.35714285714285715,0.5,"[[0.021739130434782608, -2e-05, 0.021739130434782608, -1e-05, -1e-05, 0.021739130434782608], [0.021739130434782608, -2e-05, -1e-05, -2e-05, 0.08695652173913043, 0.021739130434782608], [0.021739130434782608, -1e-05, 0.043478260869565216, 0.021739130434782608, 0.06521739130434782, 0.0], [-2e-05, -1e-05, 0.08695652173913043, -2e-05, 0.10869565217391304, 0.06521739130434782], [0.08695652173913043, -1e-05, 0.043478260869565216, 0.021739130434782608, 0.021739130434782608, 0.043478260869565216], [0.08695652173913043, -2e-05, 0.08695652173913043, 0.0, -2e-05, 0.0]]"
1,6_easy_full,0.5,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,27,101.0,26,0,0.42857142857142855,0.0,"[[0.0, -1e-05, 0.09090909090909091, -2e-05, 0.045454545454545456, 0.045454545454545456], [0.0, -2e-05, -1e-05, -1e-05, 0.045454545454545456, 0.09090909090909091], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0], [-2e-05, 0.045454545454545456, -1e-05, -1e-05, -2e-05, 0.13636363636363635], [-1e-05, 0.045454545454545456, -2e-05, -2e-05, 0.045454545454545456, 0.0], [0.0, 0.13636363636363635, 0.13636363636363635, 0.045454545454545456, 0.09090909090909091, 0.0]]"
1,6_easy_pruned,0.5,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,22,117.0,12,1,0.16666666666666666,0.0,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.058823529411764705], [0.0, -2e-05, -1e-05, -1e-05, 0.0, 0.058823529411764705], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.17647058823529413], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.11764705882352941, -2e-05, -2e-05, 0.0, 0.17647058823529413], [0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705]]"
1,6_hard_full,0.5,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,469.0,4,1,0.43478260869565216,0.0,"[[0.020833333333333332, -2e-05, 0.041666666666666664, 0.041666666666666664, -1e-05, 0.041666666666666664], [0.041666666666666664, -2e-05, -1e-05, -2e-05, 0.041666666666666664, 0.020833333333333332], [0.0625, -1e-05, 0.041666666666666664, 0.08333333333333333, 0.0625, 0.0625], [0.041666666666666664, -1e-05, 0.041666666666666664, -2e-05, 0.041666666666666664, 0.020833333333333332], [0.020833333333333332, -1e-05, 0.0, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664], [0.041666666666666664, -2e-05, 0.041666666666666664, 0.041666666666666664, -2e-05, 0.020833333333333332]]"
1,6_hard_pruned,0.5,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,37,365.0,28,0,0.5,0.6666666666666666,"[[0.0, -2e-05, 0.075, -1e-05, -1e-05, 0.05], [0.025, -2e-05, -1e-05, -2e-05, 0.025, 0.025], [0.075, -1e-05, 0.1, 0.025, 0.0, 0.0], [-2e-05, -1e-05, 0.15, -2e-05, 0.025, 0.025], [0.1, -1e-05, 0.05, 0.025, 0.1, 0.05], [0.025, -2e-05, 0.0, 0.05, -2e-05, 0.0]]"
2,6_easy_full,0.5,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,166.0,12,1,0.14285714285714285,0.0,"[[0.023255813953488372, -1e-05, 0.046511627906976744, -2e-05, 0.11627906976744186, 0.046511627906976744], [0.06976744186046512, -2e-05, -1e-05, -1e-05, 0.06976744186046512, 0.09302325581395349], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.09302325581395349], [-2e-05, 0.023255813953488372, -1e-05, -1e-05, -2e-05, 0.06976744186046512], [-1e-05, 0.023255813953488372, -2e-05, -2e-05, 0.09302325581395349, 0.09302325581395349], [0.023255813953488372, 0.0, 0.023255813953488372, 0.046511627906976744, 0.0, 0.046511627906976744]]"
2,6_easy_pruned,0.5,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,22,86.0,12,1,0.3333333333333333,0.0,"[[0.0, -1e-05, -2e-05, -2e-05, 0.058823529411764705, 0.11764705882352941], [0.0, -2e-05, -1e-05, -1e-05, 0.058823529411764705, 0.058823529411764705], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.17647058823529413], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.058823529411764705, -2e-05, -2e-05, 0.11764705882352941, 0.17647058823529413], [0.058823529411764705, 0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705]]"
2,6_hard_full,0.5,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,492.0,36,0,0.3939393939393939,0.0,"[[0.023809523809523808, -2e-05, 0.047619047619047616, 0.047619047619047616, -1e-05, 0.07142857142857142], [0.047619047619047616, -2e-05, -1e-05, -2e-05, 0.07142857142857142, 0.023809523809523808], [0.023809523809523808, -1e-05, 0.0, 0.023809523809523808, 0.047619047619047616, 0.047619047619047616], [0.047619047619047616, -1e-05, 0.07142857142857142, -2e-05, 0.0, 0.07142857142857142], [0.047619047619047616, -1e-05, 0.023809523809523808, 0.047619047619047616, 0.0, 0.07142857142857142], [0.07142857142857142, -2e-05, 0.0, 0.047619047619047616, -2e-05, 0.023809523809523808]]"
2,6_hard_pruned,0.5,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,406.0,27,0,0.38095238095238093,0.0,"[[0.04081632653061224, -2e-05, 0.10204081632653061, -1e-05, -1e-05, 0.02040816326530612], [0.02040816326530612, -2e-05, -1e-05, -2e-05, 0.02040816326530612, 0.061224489795918366], [0.08163265306122448, -1e-05, 0.02040816326530612, 0.08163265306122448, 0.10204081632653061, 0.02040816326530612], [-2e-05, -1e-05, 0.02040816326530612, -2e-05, 0.04081632653061224, 0.02040816326530612], [0.02040816326530612, -1e-05, 0.04081632653061224, 0.061224489795918366, 0.02040816326530612, 0.04081632653061224], [0.0, -2e-05, 0.04081632653061224, 0.04081632653061224, -2e-05, 0.08163265306122448]]"
