iteration,board,shutter_size,k,noise_sig,max_moves,max_heuristic_comp,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,numberOfHeuristicComp,answer,correct,o_misses,x_misses,exploredNodes
0,6_easy_full,1.0,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,223.0,24,1,0.0,0.0,"[[0.045454545454545456, -1e-05, 0.0, -2e-05, 0.06818181818181818, 0.09090909090909091], [0.022727272727272728, -2e-05, -1e-05, -1e-05, 0.09090909090909091, 0.06818181818181818], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.11363636363636363], [-2e-05, 0.06818181818181818, -1e-05, -1e-05, -2e-05, 0.022727272727272728], [-1e-05, 0.045454545454545456, -2e-05, -2e-05, 0.022727272727272728, 0.13636363636363635], [0.0, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.022727272727272728]]"
0,6_easy_pruned,1.0,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,39,187.0,32,0,0.16666666666666666,0.0,"[[0.0, -1e-05, -2e-05, -2e-05, 0.07407407407407407, 0.0], [0.037037037037037035, -2e-05, -1e-05, -1e-05, 0.1111111111111111, 0.037037037037037035], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.07407407407407407], [-2e-05, 0.037037037037037035, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.037037037037037035, -2e-05, -2e-05, 0.037037037037037035, 0.1111111111111111], [0.07407407407407407, 0.037037037037037035, 0.07407407407407407, 0.07407407407407407, 0.037037037037037035, 0.14814814814814814]]"
0,6_hard_full,1.0,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,495.0,13,0,0.25,0.5,"[[0.037037037037037035, -2e-05, 0.037037037037037035, 0.07407407407407407, -1e-05, 0.05555555555555555], [0.018518518518518517, -2e-05, -1e-05, -2e-05, 0.0, 0.018518518518518517], [0.018518518518518517, -1e-05, 0.05555555555555555, 0.09259259259259259, 0.07407407407407407, 0.0], [0.1111111111111111, -1e-05, 0.07407407407407407, -2e-05, 0.037037037037037035, 0.018518518518518517], [0.07407407407407407, -1e-05, 0.05555555555555555, 0.07407407407407407, 0.018518518518518517, 0.0], [0.037037037037037035, -2e-05, 0.018518518518518517, 0.0, -2e-05, 0.0]]"
0,6_hard_pruned,1.0,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,44,532.0,36,0,0.4375,0.0,"[[0.0, -2e-05, 0.1388888888888889, -1e-05, -1e-05, 0.08333333333333333], [0.05555555555555555, -2e-05, -1e-05, -2e-05, 0.08333333333333333, 0.05555555555555555], [0.027777777777777776, -1e-05, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.0], [-2e-05, -1e-05, 0.1388888888888889, -2e-05, 0.027777777777777776, 0.027777777777777776], [0.0, -1e-05, 0.08333333333333333, 0.027777777777777776, 0.0, 0.0], [0.0, -2e-05, 0.027777777777777776, 0.027777777777777776, -2e-05, 0.027777777777777776]]"
0,6_easy_full,2.0,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,36,188.0,6,0,0.5,0.0,"[[0.06896551724137931, -1e-05, 0.034482758620689655, -2e-05, 0.0, 0.034482758620689655], [0.06896551724137931, -2e-05, -1e-05, -1e-05, 0.10344827586206896, 0.06896551724137931], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.034482758620689655], [-2e-05, 0.06896551724137931, -1e-05, -1e-05, -2e-05, 0.10344827586206896], [-1e-05, 0.0, -2e-05, -2e-05, 0.034482758620689655, 0.06896551724137931], [0.06896551724137931, 0.10344827586206896, 0.034482758620689655, 0.06896551724137931, 0.0, 0.034482758620689655]]"
0,6_easy_pruned,2.0,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,48,285.0,20,0,0.0,0.0,"[[0.03225806451612903, -1e-05, -2e-05, -2e-05, 0.03225806451612903, 0.03225806451612903], [0.03225806451612903, -2e-05, -1e-05, -1e-05, 0.03225806451612903, 0.12903225806451613], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.16129032258064516], [-2e-05, 0.03225806451612903, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.06451612903225806, -2e-05, -2e-05, 0.0, 0.0967741935483871], [0.06451612903225806, 0.0967741935483871, 0.0967741935483871, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903]]"
0,6_hard_full,2.0,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,803.0,4,1,0.2727272727272727,0.0,"[[0.0425531914893617, -2e-05, 0.0, 0.02127659574468085, -1e-05, 0.02127659574468085], [0.0851063829787234, -2e-05, -1e-05, -2e-05, 0.0425531914893617, 0.0425531914893617], [0.0425531914893617, -1e-05, 0.0425531914893617, 0.06382978723404255, 0.0425531914893617, 0.06382978723404255], [0.0, -1e-05, 0.0851063829787234, -2e-05, 0.06382978723404255, 0.02127659574468085], [0.0425531914893617, -1e-05, 0.06382978723404255, 0.0425531914893617, 0.0425531914893617, 0.0425531914893617], [0.06382978723404255, -2e-05, 0.0, 0.0, -2e-05, 0.02127659574468085]]"
0,6_hard_pruned,2.0,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,710.0,16,0,0.38461538461538464,0.5,"[[0.02040816326530612, -2e-05, 0.10204081632653061, -1e-05, -1e-05, 0.061224489795918366], [0.0, -2e-05, -1e-05, -2e-05, 0.04081632653061224, 0.02040816326530612], [0.02040816326530612, -1e-05, 0.10204081632653061, 0.02040816326530612, 0.061224489795918366, 0.02040816326530612], [-2e-05, -1e-05, 0.08163265306122448, -2e-05, 0.12244897959183673, 0.0], [0.04081632653061224, -1e-05, 0.061224489795918366, 0.02040816326530612, 0.04081632653061224, 0.061224489795918366], [0.061224489795918366, -2e-05, 0.0, 0.04081632653061224, -2e-05, 0.0]]"
1,6_easy_full,1.0,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,239.0,24,1,0.07692307692307693,0.0,"[[0.0, -1e-05, 0.0, -2e-05, 0.0, 0.08888888888888889], [0.06666666666666667, -2e-05, -1e-05, -1e-05, 0.06666666666666667, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.08888888888888889], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.022222222222222223], [-1e-05, 0.06666666666666667, -2e-05, -2e-05, 0.022222222222222223, 0.0], [0.1111111111111111, 0.08888888888888889, 0.044444444444444446, 0.06666666666666667, 0.044444444444444446, 0.1111111111111111]]"
1,6_easy_pruned,1.0,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,25,103.0,18,0,0.0,0.0,"[[0.0, -1e-05, -2e-05, -2e-05, 0.043478260869565216, 0.21739130434782608], [0.0, -2e-05, -1e-05, -1e-05, 0.08695652173913043, 0.08695652173913043], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.043478260869565216], [-2e-05, 0.043478260869565216, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.13043478260869565], [0.043478260869565216, 0.043478260869565216, 0.0, 0.13043478260869565, 0.043478260869565216, 0.08695652173913043]]"
1,6_hard_full,1.0,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,472.0,29,0,0.52,0.5,"[[0.03773584905660377, -2e-05, 0.07547169811320754, 0.07547169811320754, -1e-05, 0.03773584905660377], [0.03773584905660377, -2e-05, -1e-05, -2e-05, 0.07547169811320754, 0.03773584905660377], [0.018867924528301886, -1e-05, 0.03773584905660377, 0.03773584905660377, 0.0, 0.03773584905660377], [0.018867924528301886, -1e-05, 0.05660377358490566, -2e-05, 0.05660377358490566, 0.0], [0.03773584905660377, -1e-05, 0.05660377358490566, 0.07547169811320754, 0.018867924528301886, 0.018867924528301886], [0.03773584905660377, -2e-05, 0.018867924528301886, 0.05660377358490566, -2e-05, 0.03773584905660377]]"
1,6_hard_pruned,1.0,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,462.0,27,0,0.375,0.0,"[[0.023255813953488372, -2e-05, 0.046511627906976744, -1e-05, -1e-05, 0.046511627906976744], [0.023255813953488372, -2e-05, -1e-05, -2e-05, 0.046511627906976744, 0.046511627906976744], [0.023255813953488372, -1e-05, 0.06976744186046512, 0.046511627906976744, 0.023255813953488372, 0.11627906976744186], [-2e-05, -1e-05, 0.09302325581395349, -2e-05, 0.023255813953488372, 0.023255813953488372], [0.046511627906976744, -1e-05, 0.06976744186046512, 0.023255813953488372, 0.0, 0.06976744186046512], [0.046511627906976744, -2e-05, 0.023255813953488372, 0.046511627906976744, -2e-05, 0.023255813953488372]]"
1,6_easy_full,2.0,5,0.5,50,50000,shutter,blocking,False,True,2,square,2,True,50,297.0,20,0,0.5,0.0,"[[0.0, -1e-05, 0.20512820512820512, -2e-05, 0.07692307692307693, 0.02564102564102564], [0.0, -2e-05, -1e-05, -1e-05, 0.05128205128205128, 0.0], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.07692307692307693], [-2e-05, 0.02564102564102564, -1e-05, -1e-05, -2e-05, 0.1794871794871795], [-1e-05, 0.05128205128205128, -2e-05, -2e-05, 0.02564102564102564, 0.05128205128205128], [0.0, 0.10256410256410256, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.05128205128205128]]"
