iteration,board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
0,6_easy_full,shutter,blocking,False,True,2,square,2,True,35,24,1,"[[0.08695652173913043, -1e-05, 0.21739130434782608, -2e-05, 0.13043478260869565, 0.08695652173913043], [0.08695652173913043, -2e-05, -1e-05, -1e-05, 0.043478260869565216, 0.043478260869565216], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.08695652173913043], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.043478260869565216], [-1e-05, 0.0, -2e-05, -2e-05, 0.043478260869565216, 0.08695652173913043], [0.0, 0.0, 0.0, 0.0, 0.0, 0.043478260869565216]]"
0,6_easy_pruned,shutter,blocking,False,True,2,square,2,True,13,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.1111111111111111], [0.0, -2e-05, -1e-05, -1e-05, 0.0, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.2222222222222222], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.1111111111111111, 0.3333333333333333], [0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111]]"
0,6_hard_full,shutter,blocking,False,True,2,square,2,True,35,17,0,"[[0.03225806451612903, -2e-05, 0.0967741935483871, 0.16129032258064516, -1e-05, 0.12903225806451613], [0.03225806451612903, -2e-05, -1e-05, -2e-05, 0.03225806451612903, 0.03225806451612903], [0.06451612903225806, -1e-05, 0.0, 0.03225806451612903, 0.03225806451612903, 0.0], [0.0967741935483871, -1e-05, 0.03225806451612903, -2e-05, 0.03225806451612903, 0.0], [0.0967741935483871, -1e-05, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.0], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
0,6_hard_pruned,shutter,blocking,False,True,2,square,2,True,35,11,0,"[[0.06896551724137931, -2e-05, 0.06896551724137931, -1e-05, -1e-05, 0.10344827586206896], [0.034482758620689655, -2e-05, -1e-05, -2e-05, 0.034482758620689655, 0.0], [0.0, -1e-05, 0.0, 0.0, 0.06896551724137931, 0.10344827586206896], [-2e-05, -1e-05, 0.034482758620689655, -2e-05, 0.1724137931034483, 0.06896551724137931], [0.034482758620689655, -1e-05, 0.0, 0.10344827586206896, 0.034482758620689655, 0.0], [0.0, -2e-05, 0.06896551724137931, 0.0, -2e-05, 0.0]]"
1,6_easy_full,shutter,blocking,False,True,2,square,2,True,35,11,0,"[[0.23809523809523808, -1e-05, 0.09523809523809523, -2e-05, 0.09523809523809523, 0.14285714285714285], [0.19047619047619047, -2e-05, -1e-05, -1e-05, 0.19047619047619047, 0.0], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.0], [-1e-05, 0.047619047619047616, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
1,6_easy_pruned,shutter,blocking,False,True,2,square,2,True,13,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.1111111111111111, 0.2222222222222222], [0.0, -2e-05, -1e-05, -1e-05, 0.1111111111111111, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.2222222222222222], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.2222222222222222], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
1,6_hard_full,shutter,blocking,False,True,2,square,2,True,35,4,1,"[[0.0, -2e-05, 0.03125, 0.03125, -1e-05, 0.03125], [0.03125, -2e-05, -1e-05, -2e-05, 0.09375, 0.0625], [0.03125, -1e-05, 0.0625, 0.0625, 0.03125, 0.0], [0.0, -1e-05, 0.125, -2e-05, 0.09375, 0.0], [0.03125, -1e-05, 0.0625, 0.09375, 0.0, 0.03125], [0.0625, -2e-05, 0.03125, 0.0, -2e-05, 0.0]]"
1,6_hard_pruned,shutter,blocking,False,True,2,square,2,True,24,27,0,"[[0.047619047619047616, -2e-05, 0.047619047619047616, -1e-05, -1e-05, 0.09523809523809523], [0.09523809523809523, -2e-05, -1e-05, -2e-05, 0.0, 0.047619047619047616], [0.047619047619047616, -1e-05, 0.0, 0.047619047619047616, 0.0, 0.0], [-2e-05, -1e-05, 0.09523809523809523, -2e-05, 0.047619047619047616, 0.0], [0.09523809523809523, -1e-05, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.0], [0.047619047619047616, -2e-05, 0.09523809523809523, 0.047619047619047616, -2e-05, 0.0]]"
2,6_easy_full,shutter,blocking,False,True,2,square,2,True,34,12,1,"[[0.08, -1e-05, 0.08, -2e-05, 0.12, 0.2], [0.0, -2e-05, -1e-05, -1e-05, 0.0, 0.04], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.12], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.16], [-1e-05, 0.0, -2e-05, -2e-05, 0.08, 0.08], [0.0, 0.0, 0.0, 0.0, 0.0, 0.04]]"
2,6_easy_pruned,shutter,blocking,False,True,2,square,2,True,12,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.2222222222222222, 0.2222222222222222], [0.0, -2e-05, -1e-05, -1e-05, 0.1111111111111111, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1111111111111111], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.2222222222222222], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
