board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,shutter,blocking,False,True,2,square,2,True,50,50,1,"[[0.0, 0.0, 0.0, 0.0, -1e-05, 0.016129032258064516, -2e-05, 0.016129032258064516, 0.016129032258064516, 0.06451612903225806], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.016129032258064516, 0.03225806451612903], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.016129032258064516, 0.04838709677419355], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.03225806451612903, 0.04838709677419355, 0.016129032258064516], [-1e-05, 0.0, 0.0, 0.0, 0.016129032258064516, 0.03225806451612903, 0.03225806451612903, 0.04838709677419355, 0.06451612903225806, 0.12903225806451613], [-1e-05, -1e-05, 0.0, 0.0, 0.04838709677419355, 0.04838709677419355, 0.0, 0.03225806451612903, 0.0, 0.08064516129032258], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.016129032258064516, -1e-05, 0.0, 0.0, 0.04838709677419355], [0.0, 0.0, 0.0, 0.016129032258064516, 0.0, 0.03225806451612903, -1e-05, 0.0, 0.0, 0.016129032258064516], [0.0, 0.0, 0.0, 0.0, 0.016129032258064516, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
10_easy_pruned,shutter,blocking,False,True,2,square,2,True,50,20,1,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.023809523809523808, 0.023809523809523808, 0.07142857142857142], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.023809523809523808, 0.023809523809523808], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.023809523809523808, 0.07142857142857142], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.023809523809523808, 0.047619047619047616, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.023809523809523808, 0.023809523809523808, 0.023809523809523808, 0.047619047619047616, 0.07142857142857142, 0.16666666666666666], [-1e-05, -1e-05, 0.0, 0.0, 0.047619047619047616, 0.047619047619047616, 0.0, 0.023809523809523808, 0.0, 0.07142857142857142], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.047619047619047616], [0.0, 0.0, 0.0, 0.0, 0.0, 0.047619047619047616, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.023809523809523808, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
10_hard_full,shutter,blocking,False,True,2,square,2,True,50,25,1,"[[0.0, 0.014084507042253521, 0.056338028169014086, -2e-05, 0.0, 0.0, 0.0, 0.014084507042253521, 0.0, 0.0], [0.0, 0.0, 0.014084507042253521, -1e-05, 0.0, -2e-05, 0.0, 0.028169014084507043, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.014084507042253521, 0.014084507042253521, -1e-05, -1e-05, 0.014084507042253521, -2e-05, 0.0], [0.028169014084507043, 0.0, -2e-05, -1e-05, -2e-05, 0.07042253521126761, 0.014084507042253521, 0.014084507042253521, 0.0, 0.0], [0.04225352112676056, -1e-05, -1e-05, 0.028169014084507043, 0.056338028169014086, 0.04225352112676056, 0.08450704225352113, 0.028169014084507043, 0.028169014084507043, 0.0], [0.0, -1e-05, -1e-05, 0.028169014084507043, -2e-05, 0.028169014084507043, 0.0, 0.04225352112676056, 0.0, 0.0], [0.014084507042253521, 0.028169014084507043, -1e-05, 0.028169014084507043, -2e-05, 0.014084507042253521, 0.014084507042253521, 0.0, 0.014084507042253521, 0.0], [0.0, 0.028169014084507043, -1e-05, 0.056338028169014086, 0.014084507042253521, 0.0, 0.0, 0.014084507042253521, 0.0, 0.0], [0.014084507042253521, 0.0, -2e-05, 0.014084507042253521, 0.014084507042253521, -2e-05, -2e-05, 0.0, 0.014084507042253521, 0.0], [0.0, 0.0, 0.0, 0.014084507042253521, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
10_hard_pruned,shutter,blocking,False,True,2,square,2,True,50,24,1,"[[0.0, 0.0, 0.04918032786885246, -2e-05, 0.0, 0.0, 0.0, 0.01639344262295082, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.01639344262295082, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.01639344262295082, -1e-05, -1e-05, -1e-05, 0.01639344262295082, -2e-05, 0.0], [0.03278688524590164, 0.0, -2e-05, -1e-05, -2e-05, 0.06557377049180328, 0.01639344262295082, 0.01639344262295082, 0.0, 0.0], [0.04918032786885246, -1e-05, -1e-05, 0.03278688524590164, 0.06557377049180328, 0.04918032786885246, 0.08196721311475409, 0.03278688524590164, 0.03278688524590164, 0.0], [0.0, -1e-05, -1e-05, 0.03278688524590164, -2e-05, 0.03278688524590164, 0.0, 0.03278688524590164, 0.0, 0.0], [-2e-05, 0.03278688524590164, -1e-05, 0.03278688524590164, -2e-05, 0.01639344262295082, 0.01639344262295082, 0.0, 0.0, 0.0], [0.0, 0.03278688524590164, -1e-05, 0.06557377049180328, 0.01639344262295082, 0.0, 0.0, 0.01639344262295082, 0.0, 0.0], [0.01639344262295082, 0.0, -2e-05, 0.01639344262295082, 0.01639344262295082, -2e-05, -2e-05, 0.0, 0.01639344262295082, 0.0], [0.0, 0.0, 0.0, 0.01639344262295082, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
10_medium_full,shutter,blocking,False,True,2,square,2,True,50,53,0,"[[0.0, 0.0, 0.015625, 0.0, 0.0, 0.0, 0.015625, 0.0, 0.0, 0.0], [0.015625, 0.0, 0.0625, 0.0, 0.0, 0.015625, 0.0, 0.0, 0.0, 0.0], [0.03125, 0.015625, -1e-05, 0.015625, 0.015625, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.03125, 0.078125, 0.03125, -1e-05, -1e-05, 0.015625, 0.0, 0.0, 0.0, 0.0], [0.0, 0.015625, 0.09375, 0.046875, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.03125, 0.078125, 0.015625, 0.078125, 0.046875, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.015625, 0.03125, 0.046875, -1e-05, 0.03125, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.015625, 0.0, 0.0, 0.046875, -1e-05, -1e-05, 0.015625, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.015625, 0.0, -1e-05, 0.015625, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
10_medium_pruned,shutter,blocking,False,True,2,square,2,True,50,53,1,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02127659574468085, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0425531914893617, 0.0, 0.0, 0.02127659574468085, 0.0, 0.0, 0.0, 0.0], [0.02127659574468085, 0.0, -1e-05, 0.02127659574468085, 0.0425531914893617, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.06382978723404255, 0.06382978723404255, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.02127659574468085, 0.06382978723404255, 0.0425531914893617, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.02127659574468085, 0.0851063829787234, 0.02127659574468085, 0.1276595744680851, 0.06382978723404255, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.02127659574468085, 0.0425531914893617, 0.0851063829787234, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0425531914893617, 0.0, 0.0, 0.0425531914893617, -1e-05, -1e-05, 0.02127659574468085, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
6_easy_full,shutter,blocking,False,True,2,square,2,True,50,24,1,"[[0.0, -1e-05, 0.01818181818181818, -2e-05, 0.05454545454545454, 0.09090909090909091], [0.0, -2e-05, -1e-05, -1e-05, 0.03636363636363636, 0.03636363636363636], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.16363636363636364], [-2e-05, 0.03636363636363636, -1e-05, -1e-05, -2e-05, 0.01818181818181818], [-1e-05, 0.05454545454545454, -2e-05, -2e-05, 0.07272727272727272, 0.18181818181818182], [0.0, 0.01818181818181818, 0.05454545454545454, 0.05454545454545454, 0.05454545454545454, 0.05454545454545454]]"
6_easy_pruned,shutter,blocking,False,True,2,square,2,True,50,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.046511627906976744, 0.11627906976744186], [0.0, -2e-05, -1e-05, -1e-05, 0.023255813953488372, 0.023255813953488372], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.16279069767441862], [-2e-05, 0.046511627906976744, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.06976744186046512, -2e-05, -2e-05, 0.06976744186046512, 0.18604651162790697], [0.0, 0.023255813953488372, 0.06976744186046512, 0.046511627906976744, 0.046511627906976744, 0.06976744186046512]]"
6_hard_full,shutter,blocking,False,True,2,square,2,True,50,4,1,"[[0.03896103896103896, -2e-05, 0.012987012987012988, 0.012987012987012988, -1e-05, 0.012987012987012988], [0.06493506493506493, -2e-05, -1e-05, -2e-05, 0.09090909090909091, 0.06493506493506493], [0.06493506493506493, -1e-05, 0.03896103896103896, 0.09090909090909091, 0.07792207792207792, 0.05194805194805195], [0.012987012987012988, -1e-05, 0.025974025974025976, -2e-05, 0.07792207792207792, 0.03896103896103896], [0.012987012987012988, -1e-05, 0.05194805194805195, 0.06493506493506493, 0.025974025974025976, 0.012987012987012988], [0.012987012987012988, -2e-05, 0.012987012987012988, 0.012987012987012988, -2e-05, 0.012987012987012988]]"
6_hard_pruned,shutter,blocking,False,True,2,square,2,True,50,3,1,"[[0.029850746268656716, -2e-05, 0.014925373134328358, -1e-05, -1e-05, 0.014925373134328358], [0.05970149253731343, -2e-05, -1e-05, -2e-05, 0.1044776119402985, 0.05970149253731343], [0.05970149253731343, -1e-05, 0.029850746268656716, 0.08955223880597014, 0.07462686567164178, 0.04477611940298507], [-2e-05, -1e-05, 0.029850746268656716, -2e-05, 0.08955223880597014, 0.04477611940298507], [0.014925373134328358, -1e-05, 0.05970149253731343, 0.07462686567164178, 0.029850746268656716, 0.014925373134328358], [0.014925373134328358, -2e-05, 0.014925373134328358, 0.014925373134328358, -2e-05, 0.014925373134328358]]"
