board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,shutter,blocking,False,True,2,square,2,True,50,50,1,"[[0.06382978723404255, 0.06382978723404255, 0.06382978723404255, 0.06382978723404255, -1e-05, 0.02127659574468085, -2e-05, 0.0425531914893617, 0.0, 0.0425531914893617], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0425531914893617, 0.06382978723404255], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.02127659574468085], [0.0, 0.0, 0.02127659574468085, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.02127659574468085], [-1e-05, 0.0, 0.0, 0.0, 0.10638297872340426, 0.0, 0.0, 0.0, 0.02127659574468085, 0.0425531914893617], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.1276595744680851, 0.0, 0.0, 0.0, 0.0425531914893617], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.02127659574468085], [0.0, 0.0, 0.0, 0.02127659574468085, 0.0, 0.02127659574468085, -1e-05, 0.02127659574468085, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0425531914893617, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
10_easy_pruned,shutter,blocking,False,True,2,square,2,True,22,20,1,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.11764705882352941], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.058823529411764705, 0.058823529411764705], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.058823529411764705], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.17647058823529413, 0.0, 0.0, 0.0, 0.0, 0.11764705882352941], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.17647058823529413, 0.0, 0.0, 0.0, 0.11764705882352941], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.058823529411764705], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.058823529411764705, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
10_hard_full,shutter,blocking,False,True,2,square,2,True,50,25,1,"[[0.0851063829787234, 0.0851063829787234, 0.10638297872340426, -2e-05, 0.0851063829787234, 0.0851063829787234, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.02127659574468085, 0.02127659574468085, -1e-05, -1e-05, 0.02127659574468085, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.06382978723404255, 0.0, 0.0, 0.0, 0.0], [0.0425531914893617, -1e-05, -1e-05, 0.06382978723404255, 0.0851063829787234, 0.0425531914893617, 0.06382978723404255, 0.0, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.0425531914893617, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.02127659574468085, 0.0425531914893617, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.02127659574468085, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
10_hard_pruned,shutter,blocking,False,True,2,square,2,True,50,24,1,"[[0.09523809523809523, 0.09523809523809523, 0.11904761904761904, -2e-05, 0.09523809523809523, 0.09523809523809523, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.023809523809523808, -1e-05, -1e-05, -1e-05, 0.023809523809523808, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0], [0.047619047619047616, -1e-05, -1e-05, 0.047619047619047616, 0.07142857142857142, 0.047619047619047616, 0.07142857142857142, 0.0, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.023809523809523808, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [-2e-05, 0.047619047619047616, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.023809523809523808, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
10_medium_full,shutter,blocking,False,True,2,square,2,True,50,53,0,"[[0.044444444444444446, 0.044444444444444446, 0.044444444444444446, 0.044444444444444446, 0.044444444444444446, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.08888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.06666666666666667, 0.06666666666666667, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.022222222222222223, 0.06666666666666667, 0.022222222222222223, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.0, 0.022222222222222223, 0.13333333333333333, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.1111111111111111, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.06666666666666667, 0.08888888888888889, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.022222222222222223, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
10_medium_pruned,shutter,blocking,False,True,2,square,2,True,23,53,1,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.05555555555555555, 0.16666666666666666, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.05555555555555555, 0.1111111111111111, 0.0, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.0, 0.05555555555555555, 0.1111111111111111, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.16666666666666666, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.05555555555555555, 0.1111111111111111, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
6_easy_full,shutter,blocking,False,True,2,square,2,True,50,24,1,"[[0.07317073170731707, -1e-05, 0.024390243902439025, -2e-05, 0.07317073170731707, 0.14634146341463414], [0.07317073170731707, -2e-05, -1e-05, -1e-05, 0.0975609756097561, 0.07317073170731707], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.14634146341463414], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.024390243902439025], [-1e-05, 0.0975609756097561, -2e-05, -2e-05, 0.07317073170731707, 0.07317073170731707], [0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025]]"
6_easy_pruned,shutter,blocking,False,True,2,square,2,True,20,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.13333333333333333], [0.0, -2e-05, -1e-05, -1e-05, 0.06666666666666667, 0.06666666666666667], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.13333333333333333], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.2, -2e-05, -2e-05, 0.2, 0.13333333333333333], [0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667]]"
6_hard_full,shutter,blocking,False,True,2,square,2,True,50,4,1,"[[0.08333333333333333, -2e-05, 0.020833333333333332, 0.020833333333333332, -1e-05, 0.020833333333333332], [0.08333333333333333, -2e-05, -1e-05, -2e-05, 0.125, 0.08333333333333333], [0.14583333333333334, -1e-05, 0.0625, 0.08333333333333333, 0.041666666666666664, 0.020833333333333332], [0.020833333333333332, -1e-05, 0.0625, -2e-05, 0.041666666666666664, 0.0], [0.0, -1e-05, 0.041666666666666664, 0.020833333333333332, 0.0, 0.020833333333333332], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
6_hard_pruned,shutter,blocking,False,True,2,square,2,True,50,3,1,"[[0.09302325581395349, -2e-05, 0.023255813953488372, -1e-05, -1e-05, 0.023255813953488372], [0.09302325581395349, -2e-05, -1e-05, -2e-05, 0.13953488372093023, 0.09302325581395349], [0.16279069767441862, -1e-05, 0.046511627906976744, 0.06976744186046512, 0.046511627906976744, 0.023255813953488372], [-2e-05, -1e-05, 0.046511627906976744, -2e-05, 0.046511627906976744, 0.0], [0.0, -1e-05, 0.046511627906976744, 0.023255813953488372, 0.0, 0.023255813953488372], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
