iteration,board,shutter_size,max_moves,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
0,6_easy_full,3,50,shutter,blocking,False,True,2,square,2,True,34,12,1,"[[0.12, -1e-05, 0.12, -2e-05, 0.16, 0.16], [0.0, -2e-05, -1e-05, -1e-05, 0.0, 0.04], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.12], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.12], [-1e-05, 0.0, -2e-05, -2e-05, 0.08, 0.04], [0.0, 0.0, 0.0, 0.04, 0.0, 0.0]]"
0,6_easy_pruned,3,50,shutter,blocking,False,True,2,square,2,True,12,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.1111111111111111, 0.3333333333333333], [0.0, -2e-05, -1e-05, -1e-05, 0.1111111111111111, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1111111111111111], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.2222222222222222], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
0,6_hard_full,3,50,shutter,blocking,False,True,2,square,2,True,50,15,0,"[[0.022222222222222223, -2e-05, 0.06666666666666667, 0.044444444444444446, -1e-05, 0.022222222222222223], [0.06666666666666667, -2e-05, -1e-05, -2e-05, 0.0, 0.0], [0.08888888888888889, -1e-05, 0.022222222222222223, 0.0, 0.0, 0.0], [0.13333333333333333, -1e-05, 0.022222222222222223, -2e-05, 0.0, 0.022222222222222223], [0.13333333333333333, -1e-05, 0.1111111111111111, 0.08888888888888889, 0.044444444444444446, 0.044444444444444446], [0.044444444444444446, -2e-05, 0.0, 0.022222222222222223, -2e-05, 0.0]]"
0,6_hard_pruned,3,50,shutter,blocking,False,True,2,square,2,True,38,3,1,"[[0.0, -2e-05, 0.027777777777777776, -1e-05, -1e-05, 0.0], [0.027777777777777776, -2e-05, -1e-05, -2e-05, 0.1111111111111111, 0.05555555555555555], [0.05555555555555555, -1e-05, 0.027777777777777776, 0.1111111111111111, 0.0, 0.05555555555555555], [-2e-05, -1e-05, 0.1111111111111111, -2e-05, 0.1111111111111111, 0.0], [0.0, -1e-05, 0.027777777777777776, 0.05555555555555555, 0.027777777777777776, 0.05555555555555555], [0.05555555555555555, -2e-05, 0.027777777777777776, 0.05555555555555555, -2e-05, 0.0]]"
1,6_easy_full,3,50,shutter,blocking,False,True,2,square,2,True,50,12,1,"[[0.17857142857142858, -1e-05, 0.2857142857142857, -2e-05, 0.14285714285714285, 0.03571428571428571], [0.17857142857142858, -2e-05, -1e-05, -1e-05, 0.14285714285714285, 0.03571428571428571], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.0], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
1,6_easy_pruned,3,50,shutter,blocking,False,True,2,square,2,True,13,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.1111111111111111], [0.0, -2e-05, -1e-05, -1e-05, 0.1111111111111111, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1111111111111111], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.1111111111111111, 0.2222222222222222], [0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111]]"
1,6_hard_full,3,50,shutter,blocking,False,True,2,square,2,True,50,3,0,"[[0.0, -2e-05, 0.023255813953488372, 0.023255813953488372, -1e-05, 0.023255813953488372], [0.023255813953488372, -2e-05, -1e-05, -2e-05, 0.06976744186046512, 0.046511627906976744], [0.0, -1e-05, 0.0, 0.09302325581395349, 0.06976744186046512, 0.11627906976744186], [0.046511627906976744, -1e-05, 0.046511627906976744, -2e-05, 0.06976744186046512, 0.06976744186046512], [0.023255813953488372, -1e-05, 0.046511627906976744, 0.023255813953488372, 0.046511627906976744, 0.09302325581395349], [0.023255813953488372, -2e-05, 0.0, 0.0, -2e-05, 0.023255813953488372]]"
1,6_hard_pruned,3,50,shutter,blocking,False,True,2,square,2,True,40,6,0,"[[0.0, -2e-05, 0.03333333333333333, -1e-05, -1e-05, 0.03333333333333333], [0.06666666666666667, -2e-05, -1e-05, -2e-05, 0.13333333333333333, 0.03333333333333333], [0.0, -1e-05, 0.06666666666666667, 0.1, 0.06666666666666667, 0.0], [-2e-05, -1e-05, 0.16666666666666666, -2e-05, 0.1, 0.0], [0.0, -1e-05, 0.1, 0.06666666666666667, 0.0, 0.03333333333333333], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
2,6_easy_full,3,50,shutter,blocking,False,True,2,square,2,True,26,12,1,"[[0.05555555555555555, -1e-05, 0.05555555555555555, -2e-05, 0.05555555555555555, 0.1111111111111111], [0.0, -2e-05, -1e-05, -1e-05, 0.05555555555555555, 0.05555555555555555], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.16666666666666666], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.16666666666666666], [-1e-05, 0.0, -2e-05, -2e-05, 0.1111111111111111, 0.1111111111111111], [0.0, 0.0, 0.0, 0.0, 0.0, 0.05555555555555555]]"
2,6_easy_pruned,3,50,shutter,blocking,False,True,2,square,2,True,18,12,1,"[[0.08333333333333333, -1e-05, -2e-05, -2e-05, 0.08333333333333333, 0.08333333333333333], [0.08333333333333333, -2e-05, -1e-05, -1e-05, 0.08333333333333333, 0.08333333333333333], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.08333333333333333], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.08333333333333333, -2e-05, -2e-05, 0.08333333333333333, 0.16666666666666666], [0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333]]"
2,6_hard_full,3,50,shutter,blocking,False,True,2,square,2,True,50,4,1,"[[0.0, -2e-05, 0.046511627906976744, 0.023255813953488372, -1e-05, 0.023255813953488372], [0.046511627906976744, -2e-05, -1e-05, -2e-05, 0.06976744186046512, 0.046511627906976744], [0.023255813953488372, -1e-05, 0.023255813953488372, 0.046511627906976744, 0.023255813953488372, 0.06976744186046512], [0.0, -1e-05, 0.046511627906976744, -2e-05, 0.06976744186046512, 0.09302325581395349], [0.046511627906976744, -1e-05, 0.046511627906976744, 0.11627906976744186, 0.023255813953488372, 0.046511627906976744], [0.023255813953488372, -2e-05, 0.0, 0.0, -2e-05, 0.046511627906976744]]"
