iteration,board,shutter_size,max_moves,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
0,10_medium_full,5,50,shutter,blocking,False,True,2,square,2,True,50,38,0,"[[0.023809523809523808, 0.023809523809523808, 0.023809523809523808, 0.023809523809523808, 0.023809523809523808, 0.0, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.0], [0.0, 0.0, 0.0, 0.0, 0.047619047619047616, 0.07142857142857142, 0.09523809523809523, 0.07142857142857142, 0.11904761904761904, 0.023809523809523808], [0.0, 0.0, -1e-05, 0.0, 0.0, -2e-05, 0.047619047619047616, 0.09523809523809523, 0.023809523809523808, 0.0], [0.0, 0.0, 0.023809523809523808, -1e-05, -1e-05, 0.0, 0.0, 0.023809523809523808, 0.0, 0.0], [0.0, 0.023809523809523808, 0.0, 0.023809523809523808, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.0, 0.023809523809523808, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.023809523809523808, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
0,10_medium_pruned,5,50,shutter,blocking,False,True,2,square,2,True,26,43,0,"[[0.0, 0.045454545454545456, 0.045454545454545456, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.045454545454545456, 0.09090909090909091, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.0, 0.0, 0.0, 0.0, 0.0], [0.09090909090909091, 0.045454545454545456, -1e-05, 0.0, 0.045454545454545456, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.09090909090909091, 0.13636363636363635, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.045454545454545456, 0.0, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.045454545454545456, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.045454545454545456, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
1,10_medium_full,5,50,shutter,blocking,False,True,2,square,2,True,50,36,0,"[[0.02, 0.02, 0.02, 0.04, 0.08, 0.04, 0.0, 0.0, 0.0, 0.0], [0.04, 0.0, 0.02, 0.04, 0.08, 0.02, 0.02, 0.0, 0.0, 0.0], [0.06, 0.08, -1e-05, 0.04, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.06, 0.04, 0.06, -1e-05, -1e-05, 0.02, 0.0, 0.0, 0.0, 0.0], [0.02, 0.02, 0.0, 0.02, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.04, 0.02, 0.02, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.02, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.02, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.02]]"
1,10_medium_pruned,5,50,shutter,blocking,False,True,2,square,2,True,21,31,0,"[[0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.06666666666666667, 0.0, 0.0, 0.0, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0], [0.06666666666666667, 0.0, -1e-05, 0.06666666666666667, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.06666666666666667, 0.06666666666666667, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.06666666666666667, 0.13333333333333333, 0.0, 0.0, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.06666666666666667, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
2,10_medium_full,5,50,shutter,blocking,False,True,2,square,2,True,50,32,0,"[[0.0625, 0.0625, 0.020833333333333332, 0.0, 0.0, 0.020833333333333332, 0.0, 0.0, 0.0, 0.0], [0.0625, 0.020833333333333332, 0.0, 0.0, 0.020833333333333332, 0.0, 0.0, 0.0, 0.0, 0.0], [0.10416666666666667, 0.08333333333333333, -1e-05, 0.0625, 0.041666666666666664, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.10416666666666667, 0.020833333333333332, 0.020833333333333332, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.020833333333333332, 0.0625, 0.0, 0.020833333333333332, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.020833333333333332, 0.0625, 0.041666666666666664, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.020833333333333332, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.020833333333333332, 0.0, 0.020833333333333332, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
2,10_medium_pruned,5,50,shutter,blocking,False,True,2,square,2,True,32,53,1,"[[0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.07692307692307693, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.0, 0.0], [0.038461538461538464, 0.0, -1e-05, 0.038461538461538464, 0.038461538461538464, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.07692307692307693, 0.038461538461538464, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.07692307692307693, 0.038461538461538464, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.038461538461538464, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, -1e-05, 0.038461538461538464, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
3,10_medium_full,5,50,shutter,blocking,False,True,2,square,2,True,50,31,0,"[[0.10869565217391304, 0.08695652173913043, 0.043478260869565216, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.08695652173913043, 0.08695652173913043, 0.021739130434782608, 0.0, 0.0, 0.021739130434782608, 0.0, 0.0, 0.0, 0.0], [0.043478260869565216, 0.08695652173913043, -1e-05, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.021739130434782608, 0.10869565217391304, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.043478260869565216, 0.043478260869565216, 0.06521739130434782, 0.0, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.021739130434782608, 0.021739130434782608, 0.043478260869565216, 0.021739130434782608, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.021739130434782608, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
3,10_medium_pruned,5,50,shutter,blocking,False,True,2,square,2,True,29,43,0,"[[0.0, 0.07692307692307693, 0.07692307692307693, 0.038461538461538464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.038461538461538464, 0.038461538461538464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.07692307692307693, 0.038461538461538464, -1e-05, 0.0, 0.038461538461538464, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.11538461538461539, 0.07692307692307693, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.07692307692307693, 0.038461538461538464, 0.0, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.07692307692307693, 0.11538461538461539, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.038461538461538464, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.038461538461538464, -2e-05, 0.0, 0.0, 0.0]]"
4,10_medium_full,5,50,shutter,blocking,False,True,2,square,2,True,50,54,0,"[[0.025, 0.025, 0.025, 0.025, 0.025, 0.0, 0.0, 0.0, 0.0, 0.025], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.175], [0.0, 0.0, -1e-05, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.025, 0.175], [0.0, 0.0, 0.025, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.025, 0.125], [0.0, 0.0, 0.0, 0.025, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.1], [0.0, 0.0, 0.0, 0.025, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.075], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.05], [0.0, 0.0, 0.0, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
4,10_medium_pruned,5,50,shutter,blocking,False,True,2,square,2,True,31,53,1,"[[0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0], [0.0, 0.0, 0.08, 0.04, 0.04, 0.08, 0.04, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.04, 0.04, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.08, 0.04, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.04, 0.04, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.04, 0.04, 0.04, 0.08, 0.04, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.04, 0.0, 0.0, -1e-05, -1e-05, 0.04, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
