iteration,board,shutter_size,max_moves,max_heuristic_comp,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,numberOfHeuristicComp,answer,correct,o_misses,x_misses,exploredNodes
0,6_hard_full,0,100,100,shutter,blocking,False,True,2,square,2,True,17,106.0,1,0,0.0,0.0,"[[0.05, -2e-05, 0.0, 0.1, -1e-05, 0.0], [0.0, -2e-05, -1e-05, -2e-05, 0.0, 0.0], [0.05, -1e-05, 0.1, 0.1, 0.0, 0.0], [0.0, -1e-05, 0.05, -2e-05, 0.05, 0.05], [0.05, -1e-05, 0.15, 0.05, 0.05, 0.1], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.05]]"
0,6_hard_pruned,0,100,100,shutter,blocking,False,True,2,square,2,True,18,105.0,3,1,0.0,0.5,"[[0.04, -2e-05, 0.04, -1e-05, -1e-05, 0.0], [0.04, -2e-05, -1e-05, -2e-05, 0.04, 0.0], [0.16, -1e-05, 0.08, 0.08, 0.08, 0.12], [-2e-05, -1e-05, 0.04, -2e-05, 0.12, 0.0], [0.0, -1e-05, 0.08, 0.0, 0.0, 0.04], [0.0, -2e-05, 0.0, 0.04, -2e-05, 0.0]]"
0,6_hard_full,1,100,100,shutter,blocking,False,True,2,square,2,True,6,101.0,23,0,1.0,0.0,"[[0.06666666666666667, -2e-05, 0.06666666666666667, 0.0, -1e-05, 0.0], [0.0, -2e-05, -1e-05, -2e-05, 0.0, 0.0], [0.06666666666666667, -1e-05, 0.13333333333333333, 0.2, 0.06666666666666667, 0.0], [0.06666666666666667, -1e-05, 0.13333333333333333, -2e-05, 0.06666666666666667, 0.0], [0.0, -1e-05, 0.0, 0.0, 0.0, 0.06666666666666667], [0.0, -2e-05, 0.06666666666666667, 0.0, -2e-05, 0.0]]"
0,6_hard_pruned,1,100,100,shutter,blocking,False,True,2,square,2,True,11,103.0,21,0,0.0,0.0,"[[0.13333333333333333, -2e-05, 0.13333333333333333, -1e-05, -1e-05, 0.06666666666666667], [0.0, -2e-05, -1e-05, -2e-05, 0.0, 0.2], [0.0, -1e-05, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.0], [-2e-05, -1e-05, 0.06666666666666667, -2e-05, 0.0, 0.0], [0.0, -1e-05, 0.06666666666666667, 0.06666666666666667, 0.0, 0.0], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.06666666666666667]]"
0,6_hard_full,2,100,100,shutter,blocking,False,True,2,square,2,True,5,112.0,16,0,1.0,0.0,"[[0.0, -2e-05, 0.13333333333333333, 0.06666666666666667, -1e-05, 0.0], [0.0, -2e-05, -1e-05, -2e-05, 0.0, 0.0], [0.13333333333333333, -1e-05, 0.06666666666666667, 0.06666666666666667, 0.0, 0.0], [0.0, -1e-05, 0.2, -2e-05, 0.0, 0.0], [0.0, -1e-05, 0.13333333333333333, 0.0, 0.06666666666666667, 0.06666666666666667], [0.0, -2e-05, 0.06666666666666667, 0.0, -2e-05, 0.0]]"
0,6_hard_pruned,2,100,100,shutter,blocking,False,True,2,square,2,True,6,109.0,3,1,0.0,0.0,"[[0.06666666666666667, -2e-05, 0.06666666666666667, -1e-05, -1e-05, 0.0], [0.06666666666666667, -2e-05, -1e-05, -2e-05, 0.0, 0.0], [0.06666666666666667, -1e-05, 0.06666666666666667, 0.2, 0.06666666666666667, 0.0], [-2e-05, -1e-05, 0.13333333333333333, -2e-05, 0.0, 0.0], [0.0, -1e-05, 0.2, 0.0, 0.06666666666666667, 0.0], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
1,6_hard_full,0,100,100,shutter,blocking,False,True,2,square,2,True,16,100.0,21,0,0.08333333333333333,0.0,"[[0.0, -2e-05, 0.0, 0.0, -1e-05, 0.05], [0.0, -2e-05, -1e-05, -2e-05, 0.1, 0.1], [0.0, -1e-05, 0.05, 0.05, 0.15, 0.0], [0.0, -1e-05, 0.05, -2e-05, 0.0, 0.0], [0.15, -1e-05, 0.0, 0.05, 0.0, 0.05], [0.1, -2e-05, 0.05, 0.0, -2e-05, 0.05]]"
1,6_hard_pruned,0,100,100,shutter,blocking,False,True,2,square,2,True,15,104.0,28,0,0.0,0.0,"[[0.05, -2e-05, 0.1, -1e-05, -1e-05, 0.0], [0.05, -2e-05, -1e-05, -2e-05, 0.05, 0.0], [0.1, -1e-05, 0.05, 0.0, 0.05, 0.05], [-2e-05, -1e-05, 0.0, -2e-05, 0.05, 0.05], [0.0, -1e-05, 0.05, 0.1, 0.0, 0.05], [0.0, -2e-05, 0.15, 0.05, -2e-05, 0.0]]"
1,6_hard_full,1,100,100,shutter,blocking,False,True,2,square,2,True,8,109.0,28,0,0.5,0.0,"[[0.05, -2e-05, 0.05, 0.1, -1e-05, 0.05], [0.0, -2e-05, -1e-05, -2e-05, 0.05, 0.05], [0.05, -1e-05, 0.0, 0.05, 0.05, 0.0], [0.05, -1e-05, 0.05, -2e-05, 0.1, 0.05], [0.05, -1e-05, 0.05, 0.05, 0.05, 0.05], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
1,6_hard_pruned,1,100,100,shutter,blocking,False,True,2,square,2,True,8,108.0,15,0,0.0,0.0,"[[0.0, -2e-05, 0.05, -1e-05, -1e-05, 0.0], [0.0, -2e-05, -1e-05, -2e-05, 0.0, 0.05], [0.15, -1e-05, 0.05, 0.05, 0.2, 0.15], [-2e-05, -1e-05, 0.05, -2e-05, 0.1, 0.0], [0.0, -1e-05, 0.0, 0.05, 0.0, 0.05], [0.0, -2e-05, 0.0, 0.05, -2e-05, 0.0]]"
