iteration,board,shutter_size,max_moves,max_heuristic_comp,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,numberOfHeuristicComp,answer,correct,o_misses,x_misses,exploredNodes
0,6_hard_full,0,100,100,shutter,blocking,False,True,2,square,2,True,18,102.0,4,1,0.16666666666666666,0.0,"[[0.05, -2e-05, 0.15, 0.05, -1e-05, 0.05], [0.05, -2e-05, -1e-05, -2e-05, 0.0, 0.05], [0.1, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -1e-05, 0.1, -2e-05, 0.0, 0.0], [0.05, -1e-05, 0.05, 0.05, 0.0, 0.05], [0.05, -2e-05, 0.0, 0.05, -2e-05, 0.1]]"
0,6_hard_pruned,0,100,100,shutter,blocking,False,True,2,square,2,True,18,105.0,15,0,0.0,0.5,"[[0.0, -2e-05, 0.06896551724137931, -1e-05, -1e-05, 0.06896551724137931], [0.0, -2e-05, -1e-05, -2e-05, 0.0, 0.034482758620689655], [0.10344827586206896, -1e-05, 0.034482758620689655, 0.06896551724137931, 0.0, 0.034482758620689655], [-2e-05, -1e-05, 0.0, -2e-05, 0.06896551724137931, 0.0], [0.0, -1e-05, 0.06896551724137931, 0.034482758620689655, 0.06896551724137931, 0.13793103448275862], [0.0, -2e-05, 0.0, 0.1724137931034483, -2e-05, 0.034482758620689655]]"
0,6_hard_full,1,100,100,shutter,blocking,False,True,2,square,2,True,6,105.0,27,0,0.5,0.0,"[[0.0, -2e-05, 0.13333333333333333, 0.0, -1e-05, 0.0], [0.06666666666666667, -2e-05, -1e-05, -2e-05, 0.0, 0.0], [0.0, -1e-05, 0.06666666666666667, 0.13333333333333333, 0.0, 0.0], [0.0, -1e-05, 0.13333333333333333, -2e-05, 0.06666666666666667, 0.0], [0.13333333333333333, -1e-05, 0.06666666666666667, 0.06666666666666667, 0.0, 0.0], [0.0, -2e-05, 0.0, 0.06666666666666667, -2e-05, 0.06666666666666667]]"
0,6_hard_pruned,1,100,100,shutter,blocking,False,True,2,square,2,True,6,106.0,16,0,1.0,0.0,"[[0.0, -2e-05, 0.13333333333333333, -1e-05, -1e-05, 0.13333333333333333], [0.0, -2e-05, -1e-05, -2e-05, 0.13333333333333333, 0.0], [0.0, -1e-05, 0.2, 0.06666666666666667, 0.06666666666666667, 0.0], [-2e-05, -1e-05, 0.06666666666666667, -2e-05, 0.06666666666666667, 0.0], [0.0, -1e-05, 0.0, 0.06666666666666667, 0.0, 0.0], [0.06666666666666667, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
0,6_hard_full,2,100,100,shutter,blocking,False,True,2,square,2,True,6,103.0,16,0,1.0,0.0,"[[0.06666666666666667, -2e-05, 0.0, 0.06666666666666667, -1e-05, 0.06666666666666667], [0.06666666666666667, -2e-05, -1e-05, -2e-05, 0.0, 0.0], [0.06666666666666667, -1e-05, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.0], [0.0, -1e-05, 0.0, -2e-05, 0.0, 0.06666666666666667], [0.0, -1e-05, 0.06666666666666667, 0.0, 0.06666666666666667, 0.0], [0.0, -2e-05, 0.0, 0.06666666666666667, -2e-05, 0.13333333333333333]]"
0,6_hard_pruned,2,100,100,shutter,blocking,False,True,2,square,2,True,5,101.0,27,0,1.0,0.0,"[[0.06666666666666667, -2e-05, 0.2, -1e-05, -1e-05, 0.0], [0.06666666666666667, -2e-05, -1e-05, -2e-05, 0.0, 0.06666666666666667], [0.0, -1e-05, 0.06666666666666667, 0.0, 0.0, 0.06666666666666667], [-2e-05, -1e-05, 0.0, -2e-05, 0.06666666666666667, 0.0], [0.06666666666666667, -1e-05, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667], [0.0, -2e-05, 0.06666666666666667, 0.0, -2e-05, 0.0]]"
1,6_hard_full,0,100,100,shutter,blocking,False,True,2,square,2,True,15,100.0,27,0,0.6,0.0,"[[0.0, -2e-05, 0.08, 0.0, -1e-05, 0.04], [0.0, -2e-05, -1e-05, -2e-05, 0.08, 0.04], [0.04, -1e-05, 0.0, 0.08, 0.04, 0.12], [0.04, -1e-05, 0.08, -2e-05, 0.0, 0.04], [0.08, -1e-05, 0.08, 0.0, 0.04, 0.04], [0.04, -2e-05, 0.0, 0.0, -2e-05, 0.04]]"
1,6_hard_pruned,0,100,100,shutter,blocking,False,True,2,square,2,True,21,106.0,30,0,0.4444444444444444,0.0,"[[0.0, -2e-05, 0.13043478260869565, -1e-05, -1e-05, 0.043478260869565216], [0.043478260869565216, -2e-05, -1e-05, -2e-05, 0.0, 0.043478260869565216], [0.043478260869565216, -1e-05, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216], [-2e-05, -1e-05, 0.08695652173913043, -2e-05, 0.043478260869565216, 0.08695652173913043], [0.0, -1e-05, 0.13043478260869565, 0.08695652173913043, 0.0, 0.043478260869565216], [0.0, -2e-05, 0.0, 0.043478260869565216, -2e-05, 0.0]]"
1,6_hard_full,1,100,100,shutter,blocking,False,True,2,square,2,True,9,109.0,36,0,0.5,0.0,"[[0.0, -2e-05, 0.0, 0.1, -1e-05, 0.0], [0.05, -2e-05, -1e-05, -2e-05, 0.1, 0.0], [0.0, -1e-05, 0.1, 0.05, 0.1, 0.0], [0.0, -1e-05, 0.1, -2e-05, 0.05, 0.0], [0.05, -1e-05, 0.05, 0.05, 0.0, 0.0], [0.05, -2e-05, 0.05, 0.05, -2e-05, 0.05]]"
1,6_hard_pruned,1,100,100,shutter,blocking,False,True,2,square,2,True,9,102.0,3,1,0.3333333333333333,0.0,"[[0.0, -2e-05, 0.06666666666666667, -1e-05, -1e-05, 0.0], [0.0, -2e-05, -1e-05, -2e-05, 0.0, 0.0], [0.06666666666666667, -1e-05, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, 0.0], [-2e-05, -1e-05, 0.06666666666666667, -2e-05, 0.0, 0.06666666666666667], [0.06666666666666667, -1e-05, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667, 0.0], [0.0, -2e-05, 0.0, 0.06666666666666667, -2e-05, 0.06666666666666667]]"
