iteration,board,shutter_size,max_moves,max_heuristic_comp,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,numberOfHeuristicComp,answer,correct,o_misses,x_misses,exploredNodes
0,10_hard_full,0,100000,1000,shutter,blocking,False,True,2,square,2,True,120,1011.0,25,1,0.0,0.0,"[[0.1111111111111111, 0.10101010101010101, 0.15151515151515152, -2e-05, 0.1111111111111111, 0.050505050505050504, 0.010101010101010102, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.010101010101010102, 0.010101010101010102, -1e-05, -1e-05, 0.010101010101010102, -2e-05, 0.0], [0.010101010101010102, 0.0, -2e-05, -1e-05, -2e-05, 0.030303030303030304, 0.010101010101010102, 0.0, 0.0, 0.0], [0.030303030303030304, -1e-05, -1e-05, 0.04040404040404041, 0.030303030303030304, 0.050505050505050504, 0.04040404040404041, 0.030303030303030304, 0.010101010101010102, 0.0], [0.0, -1e-05, -1e-05, 0.020202020202020204, -2e-05, 0.010101010101010102, 0.0, 0.020202020202020204, 0.010101010101010102, 0.0], [0.0, 0.0, -1e-05, 0.020202020202020204, -2e-05, 0.0, 0.0, 0.020202020202020204, 0.0, 0.0], [0.0, 0.010101010101010102, -1e-05, 0.0, 0.010101010101010102, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.030303030303030304, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
0,10_hard_pruned,0,100000,1000,shutter,blocking,False,True,2,square,2,True,59,550.0,24,1,0.0,0.0,"[[0.08695652173913043, 0.08695652173913043, 0.10869565217391304, -2e-05, 0.08695652173913043, 0.043478260869565216, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.021739130434782608, -1e-05, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.06521739130434782, 0.0, 0.0, 0.0, 0.0], [0.06521739130434782, -1e-05, -1e-05, 0.08695652173913043, 0.06521739130434782, 0.06521739130434782, 0.08695652173913043, 0.021739130434782608, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.021739130434782608, -2e-05, 0.021739130434782608, 0.0, 0.0, 0.0, 0.0], [-2e-05, 0.0, -1e-05, 0.021739130434782608, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.021739130434782608, -1e-05, 0.0, 0.021739130434782608, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.0, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
0,10_hard_full,1,100000,1000,shutter,blocking,False,True,2,square,2,True,35,1033.0,25,1,0.0,0.0,"[[0.05405405405405406, 0.05405405405405406, 0.10810810810810811, -2e-05, 0.05405405405405406, 0.05405405405405406, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.02702702702702703, 0.02702702702702703, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.08108108108108109, 0.0, 0.0, 0.0, 0.0], [0.05405405405405406, -1e-05, -1e-05, 0.05405405405405406, 0.10810810810810811, 0.08108108108108109, 0.08108108108108109, 0.0, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.05405405405405406, -2e-05, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.02702702702702703, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.02702702702702703, -1e-05, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.0, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
0,10_hard_pruned,1,100000,1000,shutter,blocking,False,True,2,square,2,True,42,1015.0,24,1,0.0,0.0,"[[0.08108108108108109, 0.08108108108108109, 0.13513513513513514, -2e-05, 0.08108108108108109, 0.08108108108108109, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.02702702702702703, -1e-05, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.08108108108108109, 0.0, 0.0, 0.0, 0.0], [0.05405405405405406, -1e-05, -1e-05, 0.05405405405405406, 0.08108108108108109, 0.05405405405405406, 0.08108108108108109, 0.0, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.02702702702702703, -2e-05, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0], [-2e-05, 0.0, -1e-05, 0.02702702702702703, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.0, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
0,10_hard_full,2,100000,1000,shutter,blocking,False,True,2,square,2,True,24,1027.0,25,1,0.0,0.0,"[[0.03225806451612903, 0.03225806451612903, 0.06451612903225806, -2e-05, 0.03225806451612903, 0.03225806451612903, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.03225806451612903, 0.03225806451612903, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.0967741935483871, 0.0, 0.0, 0.0, 0.0], [0.06451612903225806, -1e-05, -1e-05, 0.0967741935483871, 0.12903225806451613, 0.06451612903225806, 0.0967741935483871, 0.0, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.06451612903225806, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.06451612903225806, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.06451612903225806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.0, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
0,10_hard_pruned,2,100000,1000,shutter,blocking,False,True,2,square,2,True,25,1003.0,24,1,0.0,0.0,"[[0.037037037037037035, 0.037037037037037035, 0.07407407407407407, -2e-05, 0.037037037037037035, 0.037037037037037035, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.037037037037037035, -1e-05, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0], [0.07407407407407407, -1e-05, -1e-05, 0.07407407407407407, 0.1111111111111111, 0.07407407407407407, 0.1111111111111111, 0.0, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.037037037037037035, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [-2e-05, 0.07407407407407407, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.037037037037037035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.037037037037037035, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
1,10_hard_full,0,100000,1000,shutter,blocking,False,True,2,square,2,True,111,1016.0,25,1,0.0,0.0,"[[0.08333333333333333, 0.08333333333333333, 0.17857142857142858, -2e-05, 0.08333333333333333, 0.03571428571428571, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.011904761904761904, 0.011904761904761904, 0.0], [0.0, -2e-05, -2e-05, 0.011904761904761904, 0.011904761904761904, -1e-05, -1e-05, 0.011904761904761904, -2e-05, 0.0], [0.011904761904761904, 0.0, -2e-05, -1e-05, -2e-05, 0.047619047619047616, 0.011904761904761904, 0.011904761904761904, 0.0, 0.0], [0.023809523809523808, -1e-05, -1e-05, 0.03571428571428571, 0.023809523809523808, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.011904761904761904, 0.0], [0.0, -1e-05, -1e-05, 0.023809523809523808, -2e-05, 0.011904761904761904, 0.0, 0.03571428571428571, 0.011904761904761904, 0.0], [0.0, 0.0, -1e-05, 0.023809523809523808, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.011904761904761904, 0.011904761904761904, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.023809523809523808, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
1,10_hard_pruned,0,100000,1000,shutter,blocking,False,True,2,square,2,True,66,574.0,24,1,0.0,0.0,"[[0.061224489795918366, 0.061224489795918366, 0.08163265306122448, -2e-05, 0.061224489795918366, 0.04081632653061224, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.02040816326530612, -1e-05, -1e-05, -1e-05, 0.0, -2e-05, 0.02040816326530612], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.04081632653061224, 0.0, 0.0, 0.0, 0.0], [0.04081632653061224, -1e-05, -1e-05, 0.10204081632653061, 0.04081632653061224, 0.04081632653061224, 0.061224489795918366, 0.02040816326530612, 0.0, 0.0], [0.02040816326530612, -1e-05, -1e-05, 0.04081632653061224, -2e-05, 0.02040816326530612, 0.0, 0.0, 0.0, 0.0], [-2e-05, 0.02040816326530612, -1e-05, 0.02040816326530612, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.02040816326530612, -1e-05, 0.0, 0.02040816326530612, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.02040816326530612, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.04081632653061224, 0.04081632653061224, 0.02040816326530612, 0.02040816326530612, 0.0]]"
1,10_hard_full,1,100000,1000,shutter,blocking,False,True,2,square,2,True,38,1028.0,25,1,0.0,0.0,"[[0.07142857142857142, 0.07142857142857142, 0.11904761904761904, -2e-05, 0.07142857142857142, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.023809523809523808, 0.023809523809523808, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0], [0.047619047619047616, -1e-05, -1e-05, 0.047619047619047616, 0.09523809523809523, 0.07142857142857142, 0.07142857142857142, 0.0, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.047619047619047616, -2e-05, 0.023809523809523808, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.023809523809523808, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.047619047619047616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.0, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
1,10_hard_pruned,1,100000,1000,shutter,blocking,False,True,2,square,2,True,41,1008.0,24,1,0.0,0.0,"[[0.08108108108108109, 0.08108108108108109, 0.13513513513513514, -2e-05, 0.08108108108108109, 0.08108108108108109, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.02702702702702703, -1e-05, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.08108108108108109, 0.0, 0.0, 0.0, 0.0], [0.05405405405405406, -1e-05, -1e-05, 0.05405405405405406, 0.08108108108108109, 0.05405405405405406, 0.08108108108108109, 0.02702702702702703, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.02702702702702703, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [-2e-05, 0.0, -1e-05, 0.02702702702702703, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.0, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
1,10_hard_full,2,100000,1000,shutter,blocking,False,True,2,square,2,True,25,1026.0,25,1,0.0,0.0,"[[0.05714285714285714, 0.05714285714285714, 0.05714285714285714, -2e-05, 0.05714285714285714, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.02857142857142857, 0.02857142857142857, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.08571428571428572, 0.0, 0.0, 0.0, 0.0], [0.05714285714285714, -1e-05, -1e-05, 0.08571428571428572, 0.11428571428571428, 0.05714285714285714, 0.08571428571428572, 0.0, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.05714285714285714, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.05714285714285714, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.0, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
1,10_hard_pruned,2,100000,1000,shutter,blocking,False,True,2,square,2,True,25,1013.0,24,1,0.0,0.0,"[[0.037037037037037035, 0.037037037037037035, 0.07407407407407407, -2e-05, 0.037037037037037035, 0.037037037037037035, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.037037037037037035, -1e-05, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0], [0.07407407407407407, -1e-05, -1e-05, 0.07407407407407407, 0.1111111111111111, 0.07407407407407407, 0.1111111111111111, 0.0, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.037037037037037035, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [-2e-05, 0.07407407407407407, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.037037037037037035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.037037037037037035, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
2,10_hard_full,0,100000,1000,shutter,blocking,False,True,2,square,2,True,114,1003.0,25,1,0.0,0.0,"[[0.07865168539325842, 0.07865168539325842, 0.14606741573033707, -2e-05, 0.07865168539325842, 0.033707865168539325, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.011235955056179775, 0.011235955056179775, -1e-05, -1e-05, 0.011235955056179775, -2e-05, 0.011235955056179775], [0.011235955056179775, 0.0, -2e-05, -1e-05, -2e-05, 0.033707865168539325, 0.011235955056179775, 0.0, 0.0, 0.0], [0.033707865168539325, -1e-05, -1e-05, 0.06741573033707865, 0.033707865168539325, 0.056179775280898875, 0.0449438202247191, 0.033707865168539325, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.033707865168539325, -2e-05, 0.011235955056179775, 0.0, 0.02247191011235955, 0.011235955056179775, 0.0], [0.0, 0.0, -1e-05, 0.02247191011235955, -2e-05, 0.0, 0.0, 0.02247191011235955, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.011235955056179775, 0.011235955056179775, 0.0, 0.0, 0.011235955056179775, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.011235955056179775, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.011235955056179775, 0.011235955056179775, 0.0, 0.011235955056179775, -1e-05, 0.011235955056179775, 0.0, 0.0, 0.0, 0.0]]"
2,10_hard_pruned,0,100000,1000,shutter,blocking,False,True,2,square,2,True,52,559.0,24,1,0.0,0.0,"[[0.05405405405405406, 0.05405405405405406, 0.10810810810810811, -2e-05, 0.05405405405405406, 0.05405405405405406, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.02702702702702703, 0.0], [0.0, -2e-05, -2e-05, 0.02702702702702703, -1e-05, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.05405405405405406, 0.0, 0.0, 0.0, 0.0], [0.05405405405405406, -1e-05, -1e-05, 0.05405405405405406, 0.05405405405405406, 0.05405405405405406, 0.08108108108108109, 0.05405405405405406, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.02702702702702703, -2e-05, 0.02702702702702703, 0.0, 0.02702702702702703, 0.0, 0.0], [-2e-05, 0.0, -1e-05, 0.02702702702702703, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.02702702702702703, 0.02702702702702703, 0.02702702702702703, 0.0, 0.02702702702702703, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.0, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
2,10_hard_full,1,100000,1000,shutter,blocking,False,True,2,square,2,True,37,1043.0,25,1,0.0,0.0,"[[0.05405405405405406, 0.05405405405405406, 0.10810810810810811, -2e-05, 0.05405405405405406, 0.05405405405405406, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.02702702702702703, 0.02702702702702703, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.08108108108108109, 0.0, 0.0, 0.0, 0.0], [0.05405405405405406, -1e-05, -1e-05, 0.05405405405405406, 0.10810810810810811, 0.08108108108108109, 0.08108108108108109, 0.0, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.05405405405405406, -2e-05, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.02702702702702703, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.05405405405405406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.0, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
2,10_hard_pruned,1,100000,1000,shutter,blocking,False,True,2,square,2,True,42,1042.0,24,1,0.0,0.0,"[[0.08108108108108109, 0.08108108108108109, 0.13513513513513514, -2e-05, 0.08108108108108109, 0.08108108108108109, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.02702702702702703, -1e-05, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.08108108108108109, 0.0, 0.0, 0.0, 0.0], [0.05405405405405406, -1e-05, -1e-05, 0.05405405405405406, 0.08108108108108109, 0.05405405405405406, 0.08108108108108109, 0.0, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.02702702702702703, -2e-05, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0], [-2e-05, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.02702702702702703, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.0, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
2,10_hard_full,2,100000,1000,shutter,blocking,False,True,2,square,2,True,24,1027.0,25,1,0.0,0.0,"[[0.03225806451612903, 0.03225806451612903, 0.06451612903225806, -2e-05, 0.03225806451612903, 0.03225806451612903, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.03225806451612903, 0.03225806451612903, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.0967741935483871, 0.0, 0.0, 0.0, 0.0], [0.06451612903225806, -1e-05, -1e-05, 0.0967741935483871, 0.12903225806451613, 0.06451612903225806, 0.0967741935483871, 0.0, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.06451612903225806, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.06451612903225806, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.06451612903225806, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.0, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
2,10_hard_pruned,2,100000,1000,shutter,blocking,False,True,2,square,2,True,25,1013.0,24,1,0.0,0.0,"[[0.037037037037037035, 0.037037037037037035, 0.07407407407407407, -2e-05, 0.037037037037037035, 0.037037037037037035, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.037037037037037035, -1e-05, -1e-05, -1e-05, 0.0, -2e-05, 0.0], [0.0, 0.0, -2e-05, -1e-05, -2e-05, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0], [0.07407407407407407, -1e-05, -1e-05, 0.07407407407407407, 0.1111111111111111, 0.07407407407407407, 0.1111111111111111, 0.0, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.037037037037037035, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [-2e-05, 0.07407407407407407, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.037037037037037035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -2e-05, 0.037037037037037035, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
3,10_hard_full,0,100000,1000,shutter,blocking,False,True,2,square,2,True,113,1002.0,25,1,0.0,0.0,"[[0.10869565217391304, 0.10869565217391304, 0.11956521739130435, -2e-05, 0.10869565217391304, 0.05434782608695652, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.010869565217391304, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.010869565217391304, 0.010869565217391304, -1e-05, -1e-05, 0.010869565217391304, -2e-05, 0.0], [0.010869565217391304, 0.0, -2e-05, -1e-05, -2e-05, 0.021739130434782608, 0.021739130434782608, 0.0, 0.0, 0.0], [0.03260869565217391, -1e-05, -1e-05, 0.05434782608695652, 0.03260869565217391, 0.043478260869565216, 0.03260869565217391, 0.03260869565217391, 0.0, 0.0], [0.0, -1e-05, -1e-05, 0.021739130434782608, -2e-05, 0.010869565217391304, 0.010869565217391304, 0.021739130434782608, 0.010869565217391304, 0.0], [0.0, 0.0, -1e-05, 0.021739130434782608, -2e-05, 0.0, 0.0, 0.0, 0.010869565217391304, 0.010869565217391304], [0.0, 0.0, -1e-05, 0.010869565217391304, 0.010869565217391304, 0.0, 0.0, 0.0, 0.010869565217391304, 0.0], [0.0, 0.0, -2e-05, 0.021739130434782608, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0]]"
