iteration,board,shutter_size,max_moves,max_heuristic_comp,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,numberOfHeuristicComp,answer,correct,o_misses,x_misses,exploredNodes
0,10_easy_full,0,50,50000,shutter,blocking,False,True,2,square,2,True,50,439.0,50,1,0.0,0.0,"[[0.046511627906976744, 0.046511627906976744, 0.046511627906976744, 0.06976744186046512, -1e-05, 0.0, -2e-05, 0.06976744186046512, 0.0, 0.023255813953488372], [0.0, 0.0, 0.0, 0.023255813953488372, -2e-05, -1e-05, -1e-05, -1e-05, 0.023255813953488372, 0.023255813953488372], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.046511627906976744, 0.046511627906976744], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.023255813953488372, 0.023255813953488372], [-1e-05, 0.023255813953488372, 0.023255813953488372, 0.0, 0.023255813953488372, 0.023255813953488372, 0.0, 0.023255813953488372, 0.06976744186046512, 0.06976744186046512], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.06976744186046512, 0.0, 0.0, 0.023255813953488372, 0.046511627906976744], [-2e-05, -2e-05, 0.0, 0.023255813953488372, 0.0, 0.023255813953488372, -1e-05, 0.0, 0.0, 0.023255813953488372], [0.0, 0.0, 0.0, 0.0, 0.0, 0.023255813953488372, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
0,10_easy_pruned,0,50,50000,shutter,blocking,False,True,2,square,2,True,23,262.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.05555555555555555, 0.0, -1e-05, -2e-05, -2e-05, 0.05555555555555555, 0.0, 0.05555555555555555], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.05555555555555555], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.05555555555555555], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05555555555555555, 0.16666666666666666], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.1111111111111111], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.05555555555555555, 0.0, 0.05555555555555555], [0.0, 0.0, 0.0, 0.05555555555555555, 0.0, 0.05555555555555555, -1e-05, 0.0, 0.0, 0.0], [0.05555555555555555, 0.0, 0.0, 0.0, 0.0, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
0,10_easy_full,1,50,50000,shutter,blocking,False,True,2,square,2,True,50,1432.0,50,1,0.0,0.0,"[[0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, -1e-05, 0.0, -2e-05, 0.020833333333333332, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.020833333333333332, 0.0625], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.041666666666666664], [0.0, 0.0, 0.020833333333333332, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.020833333333333332], [-1e-05, 0.0, 0.0, 0.0, 0.08333333333333333, 0.0, 0.0, 0.0, 0.020833333333333332, 0.08333333333333333], [-1e-05, -1e-05, 0.0, 0.0, 0.020833333333333332, 0.08333333333333333, 0.0, 0.0, 0.0, 0.041666666666666664], [-2e-05, -2e-05, 0.0, 0.0, 0.020833333333333332, 0.041666666666666664, -1e-05, 0.0, 0.0, 0.041666666666666664], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.020833333333333332, 0.0, 0.020833333333333332], [0.020833333333333332, 0.0, 0.0, 0.0, 0.041666666666666664, -2e-05, -2e-05, -2e-05, 0.041666666666666664, 0.0]]"
0,10_easy_pruned,1,50,50000,shutter,blocking,False,True,2,square,2,True,21,661.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.0625], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.0625], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0625, -2e-05, -2e-05, 0.0, 0.0625, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.125, 0.1875], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0625], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
0,10_easy_full,2,50,50000,shutter,blocking,False,True,2,square,2,True,50,1592.0,50,1,0.0,0.0,"[[0.125, 0.1, 0.1, 0.1, -1e-05, 0.0, -2e-05, 0.075, 0.0, 0.025], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.025], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.05], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.025], [-1e-05, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.05], [-1e-05, -1e-05, 0.0, 0.0, 0.025, 0.075, 0.0, 0.0, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.025], [0.0, 0.0, 0.0, 0.025, 0.0, 0.025, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.025, 0.0, 0.025, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
0,10_easy_pruned,2,50,50000,shutter,blocking,False,True,2,square,2,True,23,874.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.05555555555555555], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.05555555555555555, 0.05555555555555555], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.05555555555555555, 0.16666666666666666], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.05555555555555555, 0.1111111111111111, 0.16666666666666666], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.05555555555555555], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
1,10_easy_full,0,50,50000,shutter,blocking,False,True,2,square,2,True,50,425.0,50,1,0.0,0.0,"[[0.03773584905660377, 0.05660377358490566, 0.03773584905660377, 0.07547169811320754, -1e-05, 0.03773584905660377, -2e-05, 0.018867924528301886, 0.0, 0.07547169811320754], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.018867924528301886, 0.07547169811320754], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.09433962264150944], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.018867924528301886, -2e-05, -2e-05, 0.018867924528301886, 0.0, 0.018867924528301886], [-1e-05, 0.0, 0.0, 0.0, 0.018867924528301886, 0.0, 0.018867924528301886, 0.0, 0.03773584905660377, 0.05660377358490566], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.07547169811320754, 0.018867924528301886, 0.0, 0.0, 0.05660377358490566], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.018867924528301886, -1e-05, 0.018867924528301886, 0.0, 0.05660377358490566], [0.0, 0.0, 0.0, 0.0, 0.0, 0.018867924528301886, -1e-05, 0.0, 0.018867924528301886, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
1,10_easy_pruned,0,50,50000,shutter,blocking,False,True,2,square,2,True,22,248.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.058823529411764705, 0.0, 0.11764705882352941], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.058823529411764705], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.058823529411764705], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.058823529411764705, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.058823529411764705, 0.0, 0.0, 0.0, 0.0, 0.11764705882352941], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.11764705882352941, 0.0, 0.058823529411764705, 0.0, 0.058823529411764705], [-2e-05, -2e-05, 0.0, 0.058823529411764705, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.058823529411764705], [0.0, 0.0, 0.0, 0.058823529411764705, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.058823529411764705, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
1,10_easy_full,1,50,50000,shutter,blocking,False,True,2,square,2,True,50,1295.0,50,1,0.0,0.0,"[[0.10638297872340426, 0.10638297872340426, 0.10638297872340426, 0.10638297872340426, -1e-05, 0.02127659574468085, -2e-05, 0.0851063829787234, 0.0, 0.02127659574468085], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.0425531914893617], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.02127659574468085], [0.0, 0.0, 0.02127659574468085, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.02127659574468085], [-1e-05, 0.0, 0.0, 0.0, 0.06382978723404255, 0.0, 0.0, 0.0, 0.0425531914893617, 0.06382978723404255], [-1e-05, -1e-05, 0.0, 0.0, 0.02127659574468085, 0.06382978723404255, 0.0, 0.0, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.02127659574468085, 0.02127659574468085, -1e-05, 0.0, 0.0, 0.02127659574468085], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, -2e-05, -2e-05, 0.02127659574468085, 0.0]]"
1,10_easy_pruned,1,50,50000,shutter,blocking,False,True,2,square,2,True,23,696.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.05555555555555555], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.05555555555555555, 0.05555555555555555], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.05555555555555555, 0.16666666666666666], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.05555555555555555, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.1111111111111111, 0.05555555555555555, 0.0, 0.0, 0.0, 0.16666666666666666], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.05555555555555555, -1e-05, 0.0, 0.0, 0.05555555555555555], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
