board,max_moves,noise_sig,shutter_size,numberOfHeuristicComp,correct
10_easy_full,30,0.5,0.0,342.106,0.286
10_easy_full,30,0.5,0.5,730.462,0.258
10_easy_full,30,0.5,1.0,873.16,0.286
10_easy_full,30,0.5,2.0,1155.954,0.228
10_easy_full,30,1.0,0.0,341.9,0.204
10_easy_full,30,1.0,0.5,715.64,0.244
10_easy_full,30,1.0,1.0,864.732,0.262
10_easy_full,30,1.0,2.0,1142.09,0.238
10_easy_full,30,1.5,0.0,338.55,0.208
10_easy_full,30,1.5,0.5,716.892,0.192
10_easy_full,30,1.5,1.0,861.28,0.23
10_easy_full,30,1.5,2.0,1133.108,0.254
10_easy_full,50,0.5,0.0,524.444,0.228
10_easy_full,50,0.5,0.5,1143.686,0.26
10_easy_full,50,0.5,1.0,1390.918,0.232
10_easy_full,50,0.5,2.0,1835.894,0.26
10_easy_full,50,1.0,0.0,523.112,0.206
10_easy_full,50,1.0,0.5,1131.926,0.224
10_easy_full,50,1.0,1.0,1367.57,0.25
10_easy_full,50,1.0,2.0,1808.744,0.204
10_easy_full,50,1.5,0.0,520.586,0.168
10_easy_full,50,1.5,0.5,1120.866,0.188
10_easy_full,50,1.5,1.0,1366.852,0.216
10_easy_full,50,1.5,2.0,1803.806,0.19
10_easy_full,100,0.5,0.0,837.604,0.218
10_easy_full,100,0.5,1.0,2254.816,0.25
10_easy_full,100,0.5,2.0,2895.124,0.228
10_easy_full,100,1.0,0.0,841.214,0.216
10_easy_full,100,1.0,1.0,2168.308,0.202
10_easy_full,100,1.0,2.0,2897.106,0.218
10_easy_full,100,1.5,0.0,814.99,0.168
10_easy_full,100,1.5,1.0,2152.432,0.184
10_easy_full,100,1.5,2.0,2872.54,0.164
10_easy_pruned,30,0.5,0.0,313.618,0.446
10_easy_pruned,30,0.5,0.5,664.004,0.43
10_easy_pruned,30,0.5,1.0,789.374,0.468
10_easy_pruned,30,0.5,2.0,1014.166,0.518
10_easy_pruned,30,1.0,0.0,310.362,0.396
10_easy_pruned,30,1.0,0.5,657.938,0.446
10_easy_pruned,30,1.0,1.0,778.646,0.41
10_easy_pruned,30,1.0,2.0,1027.524,0.424
10_easy_pruned,30,1.5,0.0,310.604,0.362
10_easy_pruned,30,1.5,0.5,639.79,0.42
10_easy_pruned,30,1.5,1.0,767.514,0.412
10_easy_pruned,30,1.5,2.0,1001.038,0.394
10_easy_pruned,50,0.5,0.0,366.354,0.406
10_easy_pruned,50,0.5,0.5,799.756,0.424
10_easy_pruned,50,0.5,1.0,981.87,0.45
10_easy_pruned,50,0.5,2.0,1262.578,0.44
10_easy_pruned,50,1.0,0.0,366.516,0.414
10_easy_pruned,50,1.0,0.5,784.856,0.416
10_easy_pruned,50,1.0,1.0,946.436,0.446
10_easy_pruned,50,1.0,2.0,1216.904,0.408
10_easy_pruned,50,1.5,0.0,359.744,0.362
10_easy_pruned,50,1.5,0.5,776.368,0.414
10_easy_pruned,50,1.5,1.0,919.752,0.366
10_easy_pruned,50,1.5,2.0,1249.316,0.36
10_easy_pruned,100,0.5,0.0,373.096,0.44
10_easy_pruned,100,0.5,1.0,964.612,0.478
10_easy_pruned,100,0.5,2.0,1312.518,0.472
10_easy_pruned,100,1.0,0.0,369.972,0.414
10_easy_pruned,100,1.0,1.0,1014.794,0.432
10_easy_pruned,100,1.0,2.0,1268.28,0.4
10_easy_pruned,100,1.5,0.0,380.336,0.388
10_easy_pruned,100,1.5,1.0,996.744,0.414
10_easy_pruned,100,1.5,2.0,1261.224,0.39
10_hard_full,30,0.5,0.0,355.824,0.256
10_hard_full,30,0.5,0.5,714.604,0.198
10_hard_full,30,0.5,1.0,870.032,0.194
10_hard_full,30,0.5,2.0,1263.912,0.18
10_hard_full,30,1.0,0.0,355.904,0.198
10_hard_full,30,1.0,0.5,709.288,0.16
10_hard_full,30,1.0,1.0,857.75,0.194
10_hard_full,30,1.0,2.0,1250.656,0.19
10_hard_full,30,1.5,0.0,349.994,0.174
10_hard_full,30,1.5,0.5,699.888,0.146
10_hard_full,30,1.5,1.0,856.254,0.16
10_hard_full,30,1.5,2.0,1251.616,0.168
10_hard_full,50,0.5,0.0,539.132,0.21
10_hard_full,50,0.5,0.5,1128.092,0.214
10_hard_full,50,0.5,1.0,1378.138,0.162
10_hard_full,50,0.5,2.0,2051.61,0.184
10_hard_full,50,1.0,0.0,534.378,0.194
10_hard_full,50,1.0,0.5,1127.772,0.204
10_hard_full,50,1.0,1.0,1375.626,0.182
10_hard_full,50,1.0,2.0,2040.666,0.204
10_hard_full,50,1.5,0.0,531.898,0.168
10_hard_full,50,1.5,0.5,1104.886,0.148
10_hard_full,50,1.5,1.0,1374.28,0.164
10_hard_full,50,1.5,2.0,2021.154,0.134
10_hard_full,100,0.5,0.0,965.916,0.214
10_hard_full,100,0.5,1.0,2505.026,0.148
10_hard_full,100,0.5,2.0,3831.684,0.18
10_hard_full,100,1.0,0.0,948.038,0.178
10_hard_full,100,1.0,1.0,2542.802,0.158
10_hard_full,100,1.0,2.0,3896.624,0.142
10_hard_full,100,1.5,0.0,955.726,0.128
10_hard_full,100,1.5,1.0,2513.254,0.142
10_hard_full,100,1.5,2.0,3823.2,0.14
10_hard_pruned,30,0.5,0.0,359.646,0.128
10_hard_pruned,30,0.5,0.5,725.72,0.128
10_hard_pruned,30,0.5,1.0,894.524,0.134
10_hard_pruned,30,0.5,2.0,1305.736,0.136
10_hard_pruned,30,1.0,0.0,358.646,0.084
10_hard_pruned,30,1.0,0.5,717.982,0.096
10_hard_pruned,30,1.0,1.0,892.056,0.112
10_hard_pruned,30,1.0,2.0,1305.778,0.132
