userid,board_name,board_size,board_type,condition,sizeType,solved,action,time,time_rel,player,score_move,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,delta_score_direction,position,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,click,1.51192E+12,31896,1,5.457121599,4,15.25,12.08333333,25,,0,2_2,31.789,0,,1,1,TRUE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,click,1.51192E+12,38903,2,10000,0,10000,21.67,24,,0,2_3,7.007,7.007,click,2,2,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,click,1.51192E+12,42025,1,-10000,0,-10000,-10000,23,-10005.45712,-1,4_3,3.122,3.122,click,3,3,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,click,1.51192E+12,55344,2,1.582743764,6,10000,21.67,22,-9998.417256,-1,0_2,13.319,13.319,click,4,4,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,undo,1.51192E+12,66971,,-10000,,,,,-10005.45712,-1,0_2,11.627,11.627,click,,4,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,undo,1.51192E+12,68133,,-10000,,,,,-10005.45712,-1,4_3,1.162,12.789,undo,,3,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,undo,1.51192E+12,70160,,,,,,,-10005.45712,-1,2_3,2.027,14.816,undo,,2,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,undo,1.51192E+12,72631,,,,,,,-10005.45712,-1,2_2,2.471,17.287,undo,,1,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,click,1.51192E+12,73415,1,8.430386905,2,15.25,12.08333333,25,,0,2_3,0.784,18.071,undo,5,1,TRUE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,click,1.51192E+12,82451,2,10000,0,10000,21.67,24,,0,2_2,9.036,9.036,click,6,2,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,undo,1.51192E+12,91160,,8.430386905,,,,,,0,2_2,8.709,8.709,click,,2,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,undo,1.51192E+12,91877,,8.430386905,,,,,,0,2_3,0.717,9.426,undo,,1,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,click,1.51192E+12,100546,1,1.377847222,10,15.25,12.08333333,25,,0,0_2,8.669,18.095,undo,7,1,TRUE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,click,1.51192E+12,101794,2,10000,0,10000,10000,24,,0,2_2,1.248,1.248,click,8,2,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,reset,1.51192E+12,108521,,1.377847222,,,,,,0,,6.727,6.727,click,,2,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,click,1.51192E+12,118977,1,1.377847222,10,15.25,12.08333333,25,,0,0_2,10.456,17.183,reset,9,1,TRUE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,click,1.51192E+12,126274,2,10000,0,10000,10000,24,,0,2_2,7.297,7.297,click,10,2,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,reset,1.51192E+12,132856,,1.377847222,,,,,,0,,6.582,6.582,click,,2,,1.51192E+12
