board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,answer,numberOfNodes,correct,exploredNodes
10_easy_full,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,393,50,1,"[[0.004, 0.008, 0.008, 0.008, -1e-05, 0.02, -2e-05, 0.0, 0.008, 0.02], [0.004, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.02, 0.02], [0.0, 0.004, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.012, 0.02], [0.0, 0.004, 0.028, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.004, 0.004, -1e-05, 0.0, -2e-05, -2e-05, 0.004, 0.008, 0.02], [-1e-05, 0.004, 0.004, 0.004, 0.04, 0.0, 0.004, 0.004, 0.012, 0.028], [-1e-05, -1e-05, 0.02, 0.02, 0.02, 0.028, 0.004, 0.008, 0.004, 0.008], [-2e-05, -2e-05, 0.024, 0.004, 0.004, 0.004, -1e-05, 0.004, 0.004, 0.008], [0.0, 0.0, 0.004, 0.024, 0.004, 0.008, -1e-05, 0.036, 0.004, 0.004], [0.0, 0.0, 0.0, 0.4, 0.02, -2e-05, -2e-05, -2e-05, 0.004, 0.0]]"
10_easy_pruned,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,66,20,1,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.047619047619047616], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.023809523809523808, 0.023809523809523808], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.047619047619047616], [0.0, 0.0, 0.023809523809523808, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.047619047619047616, 0.0, 0.0, 0.0, 0.023809523809523808, 0.07142857142857142], [-1e-05, -1e-05, 0.023809523809523808, 0.023809523809523808, 0.023809523809523808, 0.023809523809523808, 0.0, 0.023809523809523808, 0.0, 0.023809523809523808], [-2e-05, -2e-05, 0.023809523809523808, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.023809523809523808], [0.0, 0.0, 0.0, 0.023809523809523808, 0.0, 0.023809523809523808, -1e-05, 0.023809523809523808, 0.0, 0.0], [0.0, 0.0, 0.0, 0.40476190476190477, 0.023809523809523808, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
10_hard_full,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,633,25,1,"[[0.0024691358024691358, 0.0024691358024691358, 0.009876543209876543, -2e-05, 0.0024691358024691358, 0.0024691358024691358, 0.0049382716049382715, 0.0024691358024691358, 0.0049382716049382715, 0.0024691358024691358], [0.4024691358024691, 0.0049382716049382715, 0.0049382716049382715, -1e-05, 0.0049382716049382715, -2e-05, 0.0049382716049382715, 0.0049382716049382715, 0.0024691358024691358, 0.0024691358024691358], [0.0024691358024691358, -2e-05, -2e-05, 0.009876543209876543, 0.012345679012345678, -1e-05, -1e-05, 0.014814814814814815, -2e-05, 0.0024691358024691358], [0.012345679012345678, 0.009876543209876543, -2e-05, -1e-05, -2e-05, 0.012345679012345678, 0.0049382716049382715, 0.0024691358024691358, 0.0024691358024691358, 0.0024691358024691358], [0.01728395061728395, -1e-05, -1e-05, 0.04938271604938271, 0.022222222222222223, 0.05185185185185185, 0.009876543209876543, 0.0049382716049382715, 0.0024691358024691358, 0.0024691358024691358], [0.012345679012345678, -1e-05, -1e-05, 0.01728395061728395, -2e-05, 0.0049382716049382715, 0.0049382716049382715, 0.009876543209876543, 0.0049382716049382715, 0.0024691358024691358], [0.0049382716049382715, 0.012345679012345678, -1e-05, 0.012345679012345678, -2e-05, 0.0049382716049382715, 0.0049382716049382715, 0.0024691358024691358, 0.0049382716049382715, 0.0049382716049382715], [0.0049382716049382715, 0.009876543209876543, -1e-05, 0.009876543209876543, 0.019753086419753086, 0.0049382716049382715, 0.0049382716049382715, 0.0049382716049382715, 0.0024691358024691358, 0.0024691358024691358], [0.0049382716049382715, 0.009876543209876543, -2e-05, 0.027160493827160494, 0.009876543209876543, -2e-05, -2e-05, 0.0024691358024691358, 0.007407407407407408, 0.0024691358024691358], [0.0049382716049382715, 0.0049382716049382715, 0.0049382716049382715, 0.0049382716049382715, -1e-05, 0.009876543209876543, 0.0049382716049382715, 0.0049382716049382715, 0.0049382716049382715, 0.0024691358024691358]]"
10_hard_pruned,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,326,24,1,"[[0.0, 0.0, 0.014285714285714285, -2e-05, 0.0, 0.0, 0.004761904761904762, 0.0, 0.004761904761904762, 0.0], [0.4142857142857143, 0.004761904761904762, 0.004761904761904762, -1e-05, 0.004761904761904762, -2e-05, 0.004761904761904762, 0.004761904761904762, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.009523809523809525, -1e-05, -1e-05, -1e-05, 0.014285714285714285, -2e-05, 0.0], [0.014285714285714285, 0.014285714285714285, -2e-05, -1e-05, -2e-05, 0.014285714285714285, 0.004761904761904762, 0.0, 0.0, 0.0], [0.023809523809523808, -1e-05, -1e-05, 0.0380952380952381, 0.03333333333333333, 0.05238095238095238, 0.014285714285714285, 0.004761904761904762, 0.0, 0.0], [0.014285714285714285, -1e-05, -1e-05, 0.01904761904761905, -2e-05, 0.004761904761904762, 0.004761904761904762, 0.014285714285714285, 0.004761904761904762, 0.0], [-2e-05, 0.014285714285714285, -1e-05, 0.014285714285714285, -2e-05, 0.004761904761904762, 0.004761904761904762, 0.0, 0.004761904761904762, 0.004761904761904762], [0.004761904761904762, 0.014285714285714285, -1e-05, 0.014285714285714285, 0.01904761904761905, 0.004761904761904762, 0.004761904761904762, 0.004761904761904762, 0.0, 0.0], [0.004761904761904762, 0.014285714285714285, -2e-05, 0.0380952380952381, 0.014285714285714285, -2e-05, -2e-05, 0.0, 0.004761904761904762, 0.0], [0.004761904761904762, 0.004761904761904762, 0.004761904761904762, 0.004761904761904762, -1e-05, 0.014285714285714285, 0.004761904761904762, 0.004761904761904762, 0.004761904761904762, 0.0]]"
10_medium_full,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,4052,33,1,"[[0.0, 0.0, 0.001568627450980392, 0.00196078431372549, 0.001176470588235294, 0.000784313725490196, 0.00196078431372549, 0.000784313725490196, 0.0, 0.0], [0.0, 0.0, 0.03294117647058824, 0.25882352941176473, 0.0, 0.003137254901960784, 0.0, 0.001176470588235294, 0.0, 0.0], [0.00196078431372549, 0.00196078431372549, -1e-05, 0.020784313725490194, 0.0058823529411764705, -2e-05, 0.0, 0.000784313725490196, 0.0, 0.0], [0.0203921568627451, 0.08235294117647059, 0.03137254901960784, -1e-05, -1e-05, 0.06274509803921569, 0.0027450980392156863, 0.002352941176470588, 0.000392156862745098, 0.0], [0.001176470588235294, 0.034509803921568626, 0.02235294117647059, 0.025098039215686273, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.001568627450980392], [0.0, 0.005098039215686275, 0.06431372549019608, 0.04, 0.004313725490196078, -1e-05, -2e-05, -2e-05, 0.00196078431372549, 0.0], [0.0035294117647058825, 0.00392156862745098, 0.015294117647058824, -1e-05, 0.013333333333333334, -2e-05, 0.001568627450980392, 0.00196078431372549, 0.0, 0.0], [0.00392156862745098, 0.022745098039215685, 0.025098039215686273, 0.044313725490196076, -1e-05, -1e-05, 0.029019607843137254, 0.02823529411764706, 0.024705882352941175, 0.001568627450980392], [0.0, 0.0027450980392156863, 0.003137254901960784, 0.0035294117647058825, 0.00392156862745098, -1e-05, 0.01215686274509804, 0.002352941176470588, 0.003137254901960784, 0.001568627450980392], [0.001568627450980392, 0.001568627450980392, 0.0, 0.001176470588235294, 0.0027450980392156863, 0.0, -2e-05, 0.001176470588235294, 0.0, 0.001568627450980392]]"
10_medium_pruned,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,70,53,1,"[[0.0, 0.0, 0.023809523809523808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.047619047619047616, 0.30952380952380953, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.023809523809523808, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.07142857142857142, 0.07142857142857142, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.07142857142857142, 0.047619047619047616, 0.023809523809523808, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.0, 0.07142857142857142, 0.023809523809523808, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.07142857142857142, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.023809523809523808, 0.023809523809523808, 0.023809523809523808, -1e-05, -1e-05, 0.023809523809523808, 0.023809523809523808, 0.023809523809523808, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
6_easy_full,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,117,12,1,"[[0.014492753623188406, -1e-05, 0.043478260869565216, -2e-05, 0.043478260869565216, 0.07246376811594203], [0.014492753623188406, -2e-05, -1e-05, -1e-05, 0.043478260869565216, 0.057971014492753624], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.07246376811594203], [-2e-05, 0.2898550724637681, -1e-05, -1e-05, -2e-05, 0.07246376811594203], [-1e-05, 0.043478260869565216, -2e-05, -2e-05, 0.028985507246376812, 0.07246376811594203], [0.014492753623188406, 0.014492753623188406, 0.043478260869565216, 0.014492753623188406, 0.014492753623188406, 0.028985507246376812]]"
6_easy_pruned,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,24,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.07142857142857142, 0.14285714285714285], [0.0, -2e-05, -1e-05, -1e-05, 0.07142857142857142, 0.07142857142857142], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.14285714285714285], [-2e-05, 0.2857142857142857, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.14285714285714285], [0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142]]"
6_hard_full,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,358,4,1,"[[0.3438914027149321, -2e-05, 0.03167420814479638, 0.027149321266968326, -1e-05, 0.013574660633484163], [0.01809954751131222, -2e-05, -1e-05, -2e-05, 0.02262443438914027, 0.013574660633484163], [0.04072398190045249, -1e-05, 0.049773755656108594, 0.04072398190045249, 0.03167420814479638, 0.013574660633484163], [0.004524886877828055, -1e-05, 0.01809954751131222, -2e-05, 0.01809954751131222, 0.02262443438914027], [0.027149321266968326, -1e-05, 0.06787330316742081, 0.058823529411764705, 0.03619909502262444, 0.01809954751131222], [0.01809954751131222, -2e-05, 0.027149321266968326, 0.027149321266968326, -2e-05, 0.00904977375565611]]"
6_hard_pruned,paths_non-linear_square_interaction,paths,False,True,2,square,2,False,225,3,1,"[[0.3617021276595745, -2e-05, 0.02127659574468085, -1e-05, -1e-05, 0.014184397163120567], [0.02127659574468085, -2e-05, -1e-05, -2e-05, 0.028368794326241134, 0.014184397163120567], [0.0425531914893617, -1e-05, 0.0425531914893617, 0.04964539007092199, 0.03546099290780142, 0.014184397163120567], [-2e-05, -1e-05, 0.02127659574468085, -2e-05, 0.02127659574468085, 0.028368794326241134], [0.028368794326241134, -1e-05, 0.06382978723404255, 0.04964539007092199, 0.03546099290780142, 0.02127659574468085], [0.02127659574468085, -2e-05, 0.028368794326241134, 0.028368794326241134, -2e-05, 0.0070921985815602835]]"
