board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,answer,numberOfNodes,correct,exploredNodes
10_easy_full,paths_linear_square_interaction,paths,False,True,1,square,2,False,605,50,1,"[[0.002785515320334262, 0.005571030640668524, 0.005571030640668524, 0.005571030640668524, -1e-05, 0.03064066852367688, -2e-05, 0.0, 0.005571030640668524, 0.013927576601671309], [0.002785515320334262, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.04456824512534819, 0.0947075208913649], [0.0, 0.002785515320334262, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.013927576601671309, 0.013927576601671309], [0.0, 0.002785515320334262, 0.019498607242339833, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.002785515320334262, 0.002785515320334262, -1e-05, 0.005571030640668524, -2e-05, -2e-05, 0.002785515320334262, 0.005571030640668524, 0.03064066852367688], [-1e-05, 0.002785515320334262, 0.002785515320334262, 0.002785515320334262, 0.036211699164345405, 0.0, 0.002785515320334262, 0.002785515320334262, 0.013927576601671309, 0.019498607242339833], [-1e-05, -1e-05, 0.019498607242339833, 0.019498607242339833, 0.03064066852367688, 0.036211699164345405, 0.002785515320334262, 0.011142061281337047, 0.002785515320334262, 0.005571030640668524], [-2e-05, -2e-05, 0.036211699164345405, 0.002785515320334262, 0.002785515320334262, 0.002785515320334262, -1e-05, 0.002785515320334262, 0.002785515320334262, 0.005571030640668524], [0.0, 0.0, 0.002785515320334262, 0.036211699164345405, 0.002785515320334262, 0.008356545961002786, -1e-05, 0.04735376044568245, 0.002785515320334262, 0.002785515320334262], [0.0, 0.0, 0.0, 0.28133704735376047, 0.03064066852367688, -2e-05, -2e-05, -2e-05, 0.002785515320334262, 0.0]]"
10_easy_pruned,paths_linear_square_interaction,paths,False,True,1,square,2,False,119,20,1,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.028169014084507043], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.056338028169014086, 0.056338028169014086], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.028169014084507043], [0.0, 0.0, 0.014084507042253521, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.014084507042253521, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.04225352112676056, 0.0, 0.0, 0.0, 0.028169014084507043, 0.04225352112676056], [-1e-05, -1e-05, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.09859154929577464, 0.0, 0.028169014084507043, 0.0, 0.014084507042253521], [-2e-05, -2e-05, 0.028169014084507043, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.014084507042253521], [0.0, 0.0, 0.0, 0.028169014084507043, 0.0, 0.014084507042253521, -1e-05, 0.1267605633802817, 0.0, 0.0], [0.0, 0.0, 0.0, 0.23943661971830985, 0.056338028169014086, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
10_hard_full,paths_linear_square_interaction,paths,False,True,1,square,2,False,1873,25,1,"[[0.0009107468123861566, 0.0009107468123861566, 0.007285974499089253, -2e-05, 0.0009107468123861566, 0.0009107468123861566, 0.0018214936247723133, 0.0009107468123861566, 0.0018214936247723133, 0.0009107468123861566], [0.2540983606557377, 0.0018214936247723133, 0.0018214936247723133, -1e-05, 0.0018214936247723133, -2e-05, 0.0018214936247723133, 0.0018214936247723133, 0.0009107468123861566, 0.0009107468123861566], [0.0009107468123861566, -2e-05, -2e-05, 0.09107468123861566, 0.009107468123861567, -1e-05, -1e-05, 0.09016393442622951, -2e-05, 0.0009107468123861566], [0.010018214936247723, 0.007285974499089253, -2e-05, -1e-05, -2e-05, 0.011839708561020037, 0.0018214936247723133, 0.01366120218579235, 0.0009107468123861566, 0.0009107468123861566], [0.12021857923497267, -1e-05, -1e-05, 0.07194899817850638, 0.017304189435336976, 0.0610200364298725, 0.010018214936247723, 0.0018214936247723133, 0.0009107468123861566, 0.0009107468123861566], [0.00819672131147541, -1e-05, -1e-05, 0.017304189435336976, -2e-05, 0.00273224043715847, 0.0018214936247723133, 0.009107468123861567, 0.0018214936247723133, 0.0009107468123861566], [0.0018214936247723133, 0.012750455373406194, -1e-05, 0.012750455373406194, -2e-05, 0.0018214936247723133, 0.0018214936247723133, 0.0009107468123861566, 0.0018214936247723133, 0.0018214936247723133], [0.0018214936247723133, 0.009107468123861567, -1e-05, 0.010018214936247723, 0.017304189435336976, 0.00273224043715847, 0.0018214936247723133, 0.0018214936247723133, 0.0009107468123861566, 0.0009107468123861566], [0.0018214936247723133, 0.01092896174863388, -2e-05, 0.020036429872495445, 0.01092896174863388, -2e-05, -2e-05, 0.0018214936247723133, 0.0018214936247723133, 0.0009107468123861566], [0.0018214936247723133, 0.0018214936247723133, 0.0018214936247723133, 0.0018214936247723133, -1e-05, 0.010018214936247723, 0.0018214936247723133, 0.0018214936247723133, 0.0018214936247723133, 0.0009107468123861566]]"
10_hard_pruned,paths_linear_square_interaction,paths,False,True,1,square,2,False,1104,24,1,"[[0.0, 0.0, 0.0106544901065449, -2e-05, 0.0, 0.0, 0.0015220700152207, 0.0, 0.0015220700152207, 0.0], [0.1917808219178082, 0.0015220700152207, 0.0015220700152207, -1e-05, 0.0015220700152207, -2e-05, 0.0015220700152207, 0.0015220700152207, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.1324200913242009, -1e-05, -1e-05, -1e-05, 0.1324200913242009, -2e-05, 0.0], [0.0106544901065449, 0.0106544901065449, -2e-05, -1e-05, -2e-05, 0.0167427701674277, 0.0015220700152207, 0.0213089802130898, 0.0, 0.0], [0.0898021308980213, -1e-05, -1e-05, 0.0593607305936073, 0.0258751902587519, 0.0532724505327245, 0.0121765601217656, 0.0015220700152207, 0.0, 0.0], [0.0106544901065449, -1e-05, -1e-05, 0.0197869101978691, -2e-05, 0.0030441400304414, 0.0015220700152207, 0.0106544901065449, 0.0015220700152207, 0.0], [-2e-05, 0.015220700152207, -1e-05, 0.015220700152207, -2e-05, 0.0015220700152207, 0.0015220700152207, 0.0, 0.0015220700152207, 0.0015220700152207], [0.0015220700152207, 0.0121765601217656, -1e-05, 0.015220700152207, 0.015220700152207, 0.0015220700152207, 0.0015220700152207, 0.0015220700152207, 0.0, 0.0], [0.0015220700152207, 0.0136986301369863, -2e-05, 0.0289193302891933, 0.015220700152207, -2e-05, -2e-05, 0.0015220700152207, 0.0, 0.0], [0.0015220700152207, 0.0015220700152207, 0.0015220700152207, 0.0015220700152207, -1e-05, 0.015220700152207, 0.0015220700152207, 0.0015220700152207, 0.0015220700152207, 0.0]]"
10_medium_full,paths_linear_square_interaction,paths,False,True,1,square,2,False,18099,43,1,"[[0.0, 0.0, 0.0003376382206465772, 0.0005064573309698658, 0.0003376382206465772, 0.0001688191103232886, 0.0004220477758082215, 0.0003376382206465772, 0.0, 0.0], [0.0, 0.0, 0.0007596859964547987, 0.010297965729720604, 0.0, 0.0005908668861315101, 0.0695534734531949, 0.0003376382206465772, 0.0, 0.0], [0.0004220477758082215, 0.0004220477758082215, -1e-05, 0.005824259306153457, 0.0011817337722630202, -2e-05, 0.0002532286654849329, 0.0004220477758082215, 0.0, 0.0], [0.005824259306153457, 0.006161897526800034, 0.009116231957457584, -1e-05, -1e-05, 0.0066683548577699, 0.0064995357474466105, 0.00607748797163839, 0.0001688191103232886, 0.0], [0.0003376382206465772, 0.011479699501983624, 0.0025322866548493288, 0.366168650291213, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0003376382206465772], [0.0, 0.0011817337722630202, 0.013589938381024732, 0.012661433274246644, 0.0011817337722630202, -1e-05, -2e-05, -2e-05, 0.0004220477758082215, 0.0], [0.0005908668861315101, 0.0009285051067780873, 0.003376382206465772, -1e-05, 0.01882333080104668, -2e-05, 0.0005064573309698658, 0.0004220477758082215, 0.0, 0.0], [0.0009285051067780873, 0.006246307081961678, 0.007512450409386343, 0.3677724318392842, -1e-05, -1e-05, 0.008947412847134295, 0.008103317295517852, 0.00725922174390141, 0.0003376382206465772], [0.0, 0.0005908668861315101, 0.0006752764412931544, 0.000844095551616443, 0.000844095551616443, -1e-05, 0.018401283025238458, 0.0005064573309698658, 0.000844095551616443, 0.0005064573309698658], [0.0003376382206465772, 0.0003376382206465772, 0.0, 0.0003376382206465772, 0.0005908668861315101, 0.0, -2e-05, 0.0003376382206465772, 0.0, 0.0005064573309698658]]"
10_medium_pruned,paths_linear_square_interaction,paths,False,True,1,square,2,False,81,53,1,"[[0.0, 0.0, 0.020833333333333332, 0.0, 0.0, 0.020833333333333332, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.08333333333333333, 0.2708333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.020833333333333332, 0.020833333333333332, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0625, 0.0625, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0625, 0.041666666666666664, 0.020833333333333332, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.0, 0.10416666666666667, 0.020833333333333332, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.0625, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, -1e-05, -1e-05, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
6_easy_full,paths_linear_square_interaction,paths,False,True,1,square,2,False,123,12,1,"[[0.013888888888888888, -1e-05, 0.06944444444444445, -2e-05, 0.041666666666666664, 0.06944444444444445], [0.013888888888888888, -2e-05, -1e-05, -1e-05, 0.06944444444444445, 0.06944444444444445], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.09722222222222222], [-2e-05, 0.2777777777777778, -1e-05, -1e-05, -2e-05, 0.06944444444444445], [-1e-05, 0.027777777777777776, -2e-05, -2e-05, 0.013888888888888888, 0.06944444444444445], [0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.027777777777777776]]"
6_easy_pruned,paths_linear_square_interaction,paths,False,True,1,square,2,False,24,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.07142857142857142, 0.14285714285714285], [0.0, -2e-05, -1e-05, -1e-05, 0.07142857142857142, 0.07142857142857142], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.14285714285714285], [-2e-05, 0.2857142857142857, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.14285714285714285], [0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142]]"
6_hard_full,paths_linear_square_interaction,paths,False,True,1,square,2,False,518,4,1,"[[0.2571428571428571, -2e-05, 0.031746031746031744, 0.02857142857142857, -1e-05, 0.009523809523809525], [0.012698412698412698, -2e-05, -1e-05, -2e-05, 0.015873015873015872, 0.009523809523809525], [0.08888888888888889, -1e-05, 0.12063492063492064, 0.044444444444444446, 0.047619047619047616, 0.009523809523809525], [0.0031746031746031746, -1e-05, 0.01904761904761905, -2e-05, 0.01904761904761905, 0.015873015873015872], [0.01904761904761905, -1e-05, 0.06349206349206349, 0.05396825396825397, 0.047619047619047616, 0.012698412698412698], [0.012698412698412698, -2e-05, 0.022222222222222223, 0.02857142857142857, -2e-05, 0.006349206349206349]]"
6_hard_pruned,paths_linear_square_interaction,paths,False,True,1,square,2,False,252,3,1,"[[0.33548387096774196, -2e-05, 0.025806451612903226, -1e-05, -1e-05, 0.012903225806451613], [0.01935483870967742, -2e-05, -1e-05, -2e-05, 0.025806451612903226, 0.012903225806451613], [0.03870967741935484, -1e-05, 0.05161290322580645, 0.04516129032258064, 0.03870967741935484, 0.012903225806451613], [-2e-05, -1e-05, 0.025806451612903226, -2e-05, 0.025806451612903226, 0.025806451612903226], [0.025806451612903226, -1e-05, 0.07741935483870968, 0.04516129032258064, 0.04516129032258064, 0.01935483870967742], [0.01935483870967742, -2e-05, 0.025806451612903226, 0.03870967741935484, -2e-05, 0.0064516129032258064]]"
