Average of correct,Column Labels,,,,,,,,,,
Row Labels,10_easy_full,10_easy_pruned,10_hard_full,10_hard_pruned,10_medium_full,10_medium_pruned,6_easy_full,6_easy_pruned,6_hard_full,6_hard_pruned,Grand Total
density,0,0,0,0,0,0,0,0,0,0,0
paths_linear_full_layers_opp,1,1,0,0,0,1,0,0,0,0,0.3
paths_linear_full_opp,1,1,0,0,0,1,0,0,0,0,0.3
paths_linear_square_layers_opp,0,0,0,0,0,0,1,1,0,0,0.2
paths_linear_square_opp,0,0,0,0,0,0,1,1,0,0,0.2
paths_non-linear_full_interaction_opp,1,1,1,1,0,1,0,0,0,1,0.6
paths_non-linear_full_layers_interaction_opp,1,1,1,1,0,1,0,0,0,1,0.6
paths_non-linear_full_layers_opp,1,1,1,1,0,1,0,0,1,1,0.7
paths_non-linear_full_opp,1,1,1,1,0,1,0,0,1,1,0.7
paths_non-linear_square_interaction_opp,0,1,0,0,0,1,1,1,0,0,0.4
paths_non-linear_square_layers_interaction_opp,0,1,0,0,0,1,1,1,0,0,0.4
paths_non-linear_square_layers_opp,0,1,0,0,0,1,0,1,0,0,0.3
paths_non-linear_square_opp,0,1,0,0,0,1,0,1,0,0,0.3
Grand Total,0.461538462,0.769230769,0.307692308,0.307692308,0,0.769230769,0.307692308,0.461538462,0.153846154,0.307692308,0.384615385
