board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_linear_square,paths,False,False,1,square,2,False,35,50,1,"[[0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, -1e-05, 0.011363636363636364, -2e-05, 0.0, 0.011363636363636364, 0.022727272727272728], [0.011363636363636364, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.045454545454545456, 0.045454545454545456], [0.0, 0.011363636363636364, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.011363636363636364, 0.022727272727272728], [0.0, 0.011363636363636364, 0.045454545454545456, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.011363636363636364, 0.011363636363636364, -1e-05, 0.011363636363636364, -2e-05, -2e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [-1e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.045454545454545456, 0.0, 0.011363636363636364, 0.011363636363636364, 0.022727272727272728, 0.022727272727272728], [-1e-05, -1e-05, 0.022727272727272728, 0.022727272727272728, 0.022727272727272728, 0.03409090909090909, 0.011363636363636364, 0.022727272727272728, 0.011363636363636364, 0.022727272727272728], [-2e-05, -2e-05, 0.022727272727272728, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, -1e-05, 0.011363636363636364, 0.011363636363636364, 0.022727272727272728], [0.0, 0.0, 0.011363636363636364, 0.022727272727272728, 0.011363636363636364, 0.022727272727272728, -1e-05, 0.07954545454545454, 0.011363636363636364, 0.011363636363636364], [0.0, 0.0, 0.0, 0.011363636363636364, 0.022727272727272728, -2e-05, -2e-05, -2e-05, 0.011363636363636364, 0.0]]"
10_easy_pruned,paths_linear_square,paths,False,False,1,square,2,False,35,95,0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.02702702702702703], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.08108108108108109, 0.08108108108108109], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.02702702702702703], [0.0, 0.0, 0.08108108108108109, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.02702702702702703, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.08108108108108109, 0.0, 0.0, 0.0, 0.02702702702702703, 0.02702702702702703], [-1e-05, -1e-05, 0.02702702702702703, 0.02702702702702703, 0.02702702702702703, 0.08108108108108109, 0.0, 0.02702702702702703, 0.0, 0.02702702702702703], [-2e-05, -2e-05, 0.02702702702702703, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.02702702702702703], [0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.02702702702702703, -1e-05, 0.16216216216216217, 0.0, 0.0], [0.0, 0.0, 0.0, 0.02702702702702703, 0.02702702702702703, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
10_hard_full,paths_linear_square,paths,False,False,1,square,2,False,35,56,0,"[[0.01020408163265306, 0.01020408163265306, 0.01020408163265306, -2e-05, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306], [0.01020408163265306, 0.01020408163265306, 0.01020408163265306, -1e-05, 0.01020408163265306, -2e-05, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306], [0.01020408163265306, -2e-05, -2e-05, 0.01020408163265306, 0.01020408163265306, -1e-05, -1e-05, 0.01020408163265306, -2e-05, 0.01020408163265306], [0.01020408163265306, 0.01020408163265306, -2e-05, -1e-05, -2e-05, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306], [0.02040816326530612, -1e-05, -1e-05, 0.09183673469387756, 0.01020408163265306, 0.08163265306122448, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306], [0.01020408163265306, -1e-05, -1e-05, 0.030612244897959183, -2e-05, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306], [0.01020408163265306, 0.01020408163265306, -1e-05, 0.01020408163265306, -2e-05, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306], [0.01020408163265306, 0.01020408163265306, -1e-05, 0.02040816326530612, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306], [0.01020408163265306, 0.01020408163265306, -2e-05, 0.01020408163265306, 0.02040816326530612, -2e-05, -2e-05, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306], [0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, -1e-05, 0.02040816326530612, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306]]"
10_hard_pruned,paths_linear_square,paths,False,False,1,square,2,False,35,56,0,"[[0.0, 0.0, 0.0136986301369863, -2e-05, 0.0, 0.0, 0.0136986301369863, 0.0, 0.0136986301369863, 0.0], [0.0136986301369863, 0.0136986301369863, 0.0136986301369863, -1e-05, 0.0136986301369863, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.0136986301369863, -1e-05, -1e-05, -1e-05, 0.0136986301369863, -2e-05, 0.0], [0.0136986301369863, 0.0136986301369863, -2e-05, -1e-05, -2e-05, 0.0684931506849315, 0.0136986301369863, 0.0, 0.0, 0.0], [0.0136986301369863, -1e-05, -1e-05, 0.0821917808219178, 0.0136986301369863, 0.0821917808219178, 0.0410958904109589, 0.0136986301369863, 0.0, 0.0], [0.0136986301369863, -1e-05, -1e-05, 0.0273972602739726, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0410958904109589, 0.0136986301369863, 0.0], [-2e-05, 0.0136986301369863, -1e-05, 0.0136986301369863, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, -1e-05, 0.0273972602739726, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0, 0.0], [0.0136986301369863, 0.0136986301369863, -2e-05, 0.0136986301369863, 0.0273972602739726, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, -1e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0]]"
10_medium_full,paths_linear_square,paths,False,False,1,square,2,False,35,54,0,"[[0.0, 0.0, 0.010309278350515464, 0.010309278350515464, 0.010309278350515464, 0.0, 0.010309278350515464, 0.010309278350515464, 0.0, 0.0], [0.0, 0.0, 0.010309278350515464, 0.020618556701030927, 0.0, 0.010309278350515464, 0.05154639175257732, 0.010309278350515464, 0.0, 0.0], [0.010309278350515464, 0.010309278350515464, -1e-05, 0.030927835051546393, 0.010309278350515464, -2e-05, 0.0, 0.010309278350515464, 0.0, 0.0], [0.020618556701030927, 0.020618556701030927, 0.020618556701030927, -1e-05, -1e-05, 0.020618556701030927, 0.020618556701030927, 0.020618556701030927, 0.010309278350515464, 0.0], [0.010309278350515464, 0.020618556701030927, 0.030927835051546393, 0.030927835051546393, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.010309278350515464], [0.0, 0.030927835051546393, 0.020618556701030927, 0.010309278350515464, 0.030927835051546393, -1e-05, -2e-05, -2e-05, 0.010309278350515464, 0.0], [0.010309278350515464, 0.010309278350515464, 0.010309278350515464, -1e-05, 0.020618556701030927, -2e-05, 0.010309278350515464, 0.010309278350515464, 0.0, 0.0], [0.010309278350515464, 0.020618556701030927, 0.020618556701030927, 0.05154639175257732, -1e-05, -1e-05, 0.020618556701030927, 0.020618556701030927, 0.020618556701030927, 0.010309278350515464], [0.0, 0.010309278350515464, 0.010309278350515464, 0.020618556701030927, 0.010309278350515464, -1e-05, 0.020618556701030927, 0.010309278350515464, 0.010309278350515464, 0.010309278350515464], [0.010309278350515464, 0.010309278350515464, 0.0, 0.020618556701030927, 0.010309278350515464, 0.0, -2e-05, 0.020618556701030927, 0.0, 0.010309278350515464]]"
10_medium_pruned,paths_linear_square,paths,False,False,1,square,2,False,35,53,1,"[[0.0, 0.0, 0.05714285714285714, 0.0, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.08571428571428572, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.02857142857142857, 0.02857142857142857, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.08571428571428572, 0.08571428571428572, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.05714285714285714, 0.05714285714285714, 0.02857142857142857, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.0, 0.08571428571428572, 0.02857142857142857, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.14285714285714285, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, -1e-05, -1e-05, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
6_easy_full,paths_linear_square,paths,False,False,1,square,2,False,35,26,0,"[[0.02857142857142857, -1e-05, 0.08571428571428572, -2e-05, 0.05714285714285714, 0.08571428571428572], [0.02857142857142857, -2e-05, -1e-05, -1e-05, 0.05714285714285714, 0.05714285714285714], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.08571428571428572], [-2e-05, 0.11428571428571428, -1e-05, -1e-05, -2e-05, 0.08571428571428572], [-1e-05, 0.02857142857142857, -2e-05, -2e-05, 0.02857142857142857, 0.08571428571428572], [0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857]]"
6_easy_pruned,paths_linear_square,paths,False,False,1,square,2,False,24,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.07142857142857142, 0.14285714285714285], [0.0, -2e-05, -1e-05, -1e-05, 0.07142857142857142, 0.07142857142857142], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.14285714285714285], [-2e-05, 0.2857142857142857, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.14285714285714285], [0.0, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142]]"
6_hard_full,paths_linear_square,paths,False,False,1,square,2,False,35,34,0,"[[0.14285714285714285, -2e-05, 0.047619047619047616, 0.047619047619047616, -1e-05, 0.023809523809523808], [0.023809523809523808, -2e-05, -1e-05, -2e-05, 0.023809523809523808, 0.023809523809523808], [0.07142857142857142, -1e-05, 0.07142857142857142, 0.023809523809523808, 0.023809523809523808, 0.023809523809523808], [0.023809523809523808, -1e-05, 0.023809523809523808, -2e-05, 0.023809523809523808, 0.023809523809523808], [0.023809523809523808, -1e-05, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.023809523809523808], [0.023809523809523808, -2e-05, 0.023809523809523808, 0.047619047619047616, -2e-05, 0.023809523809523808]]"
6_hard_pruned,paths_linear_square,paths,False,False,1,square,2,False,35,15,0,"[[0.10869565217391304, -2e-05, 0.06521739130434782, -1e-05, -1e-05, 0.043478260869565216], [0.021739130434782608, -2e-05, -1e-05, -2e-05, 0.021739130434782608, 0.021739130434782608], [0.06521739130434782, -1e-05, 0.06521739130434782, 0.043478260869565216, 0.021739130434782608, 0.021739130434782608], [-2e-05, -1e-05, 0.021739130434782608, -2e-05, 0.021739130434782608, 0.021739130434782608], [0.043478260869565216, -1e-05, 0.13043478260869565, 0.043478260869565216, 0.06521739130434782, 0.021739130434782608], [0.021739130434782608, -2e-05, 0.043478260869565216, 0.043478260869565216, -2e-05, 0.021739130434782608]]"
