board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_linear_square,paths,False,False,1,square,2,True,50,95,0,"[[0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, -1e-05, 0.05319148936170213, -2e-05, 0.0, 0.010638297872340425, 0.010638297872340425], [0.02127659574468085, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.06382978723404255, 0.06382978723404255], [0.0, 0.02127659574468085, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.010638297872340425, 0.010638297872340425], [0.0, 0.010638297872340425, 0.031914893617021274, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.010638297872340425, 0.010638297872340425, -1e-05, 0.0, -2e-05, -2e-05, 0.010638297872340425, 0.010638297872340425, 0.05319148936170213], [-1e-05, 0.02127659574468085, 0.02127659574468085, 0.02127659574468085, 0.010638297872340425, 0.0, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425], [-1e-05, -1e-05, 0.031914893617021274, 0.031914893617021274, 0.02127659574468085, 0.031914893617021274, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425], [-2e-05, -2e-05, 0.031914893617021274, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, -1e-05, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425], [0.0, 0.0, 0.010638297872340425, 0.031914893617021274, 0.010638297872340425, 0.010638297872340425, -1e-05, 0.05319148936170213, 0.010638297872340425, 0.010638297872340425], [0.0, 0.0, 0.0, 0.0, 0.02127659574468085, -2e-05, -2e-05, -2e-05, 0.02127659574468085, 0.0]]"
10_easy_pruned,paths_linear_square,paths,False,False,1,square,2,True,50,73,0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.02564102564102564], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.1282051282051282, 0.1282051282051282], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.02564102564102564], [0.0, 0.0, 0.05128205128205128, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.07692307692307693, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.02564102564102564, 0.0, 0.0, 0.0, 0.05128205128205128, 0.02564102564102564], [-1e-05, -1e-05, 0.05128205128205128, 0.05128205128205128, 0.02564102564102564, 0.05128205128205128, 0.0, 0.02564102564102564, 0.0, 0.02564102564102564], [-2e-05, -2e-05, 0.02564102564102564, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.02564102564102564], [0.0, 0.0, 0.0, 0.02564102564102564, 0.0, 0.05128205128205128, -1e-05, 0.07692307692307693, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02564102564102564, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
10_hard_full,paths_linear_square,paths,False,False,1,square,2,True,50,56,0,"[[0.009523809523809525, 0.009523809523809525, 0.009523809523809525, -2e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.0380952380952381, 0.009523809523809525, 0.009523809523809525, -1e-05, 0.009523809523809525, -2e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, -2e-05, -2e-05, 0.009523809523809525, 0.009523809523809525, -1e-05, -1e-05, 0.009523809523809525, -2e-05, 0.009523809523809525], [0.009523809523809525, 0.009523809523809525, -2e-05, -1e-05, -2e-05, 0.02857142857142857, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, -1e-05, -1e-05, 0.09523809523809523, 0.009523809523809525, 0.08571428571428572, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, -1e-05, -1e-05, 0.02857142857142857, -2e-05, 0.01904761904761905, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, 0.009523809523809525, -1e-05, 0.009523809523809525, -2e-05, 0.009523809523809525, 0.02857142857142857, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, 0.009523809523809525, -1e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, 0.009523809523809525, -2e-05, 0.01904761904761905, 0.009523809523809525, -2e-05, -2e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, -1e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525]]"
10_hard_pruned,paths_linear_square,paths,False,False,1,square,2,True,50,66,0,"[[0.0, 0.0, 0.013513513513513514, -2e-05, 0.0, 0.0, 0.013513513513513514, 0.0, 0.013513513513513514, 0.0], [0.02702702702702703, 0.013513513513513514, 0.013513513513513514, -1e-05, 0.013513513513513514, -2e-05, 0.013513513513513514, 0.013513513513513514, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.06756756756756757, -1e-05, -1e-05, -1e-05, 0.08108108108108109, -2e-05, 0.0], [0.04054054054054054, 0.013513513513513514, -2e-05, -1e-05, -2e-05, 0.013513513513513514, 0.013513513513513514, 0.0, 0.0, 0.0], [0.013513513513513514, -1e-05, -1e-05, 0.04054054054054054, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.0, 0.0], [0.013513513513513514, -1e-05, -1e-05, 0.02702702702702703, -2e-05, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.0], [-2e-05, 0.013513513513513514, -1e-05, 0.04054054054054054, -2e-05, 0.013513513513513514, 0.013513513513513514, 0.0, 0.013513513513513514, 0.013513513513513514], [0.013513513513513514, 0.013513513513513514, -1e-05, 0.013513513513513514, 0.06756756756756757, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.0, 0.0], [0.013513513513513514, 0.013513513513513514, -2e-05, 0.013513513513513514, 0.02702702702702703, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, -1e-05, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.0]]"
10_medium_full,paths_linear_square,paths,False,False,1,square,2,True,50,44,0,"[[0.0, 0.0, 0.009615384615384616, 0.019230769230769232, 0.009615384615384616, 0.0, 0.009615384615384616, 0.009615384615384616, 0.0, 0.0], [0.0, 0.0, 0.009615384615384616, 0.019230769230769232, 0.0, 0.009615384615384616, 0.0, 0.009615384615384616, 0.0, 0.0], [0.009615384615384616, 0.009615384615384616, -1e-05, 0.019230769230769232, 0.009615384615384616, -2e-05, 0.0, 0.009615384615384616, 0.0, 0.0], [0.019230769230769232, 0.028846153846153848, 0.028846153846153848, -1e-05, -1e-05, 0.019230769230769232, 0.028846153846153848, 0.028846153846153848, 0.009615384615384616, 0.0], [0.009615384615384616, 0.04807692307692308, 0.019230769230769232, 0.009615384615384616, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.009615384615384616], [0.0, 0.009615384615384616, 0.057692307692307696, 0.009615384615384616, 0.009615384615384616, -1e-05, -2e-05, -2e-05, 0.009615384615384616, 0.0], [0.009615384615384616, 0.019230769230769232, 0.009615384615384616, -1e-05, 0.009615384615384616, -2e-05, 0.009615384615384616, 0.009615384615384616, 0.0, 0.0], [0.019230769230769232, 0.019230769230769232, 0.028846153846153848, 0.038461538461538464, -1e-05, -1e-05, 0.019230769230769232, 0.07692307692307693, 0.0673076923076923, 0.009615384615384616], [0.0, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, -1e-05, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616, 0.009615384615384616], [0.009615384615384616, 0.009615384615384616, 0.0, 0.009615384615384616, 0.009615384615384616, 0.0, -2e-05, 0.009615384615384616, 0.0, 0.009615384615384616]]"
10_medium_pruned,paths_linear_square,paths,False,False,1,square,2,True,50,53,1,"[[0.0, 0.0, 0.06976744186046512, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.09302325581395349, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.023255813953488372, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.11627906976744186, 0.11627906976744186, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.06976744186046512, 0.06976744186046512, 0.06976744186046512, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.0, 0.09302325581395349, 0.023255813953488372, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.09302325581395349, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.023255813953488372, 0.023255813953488372, 0.046511627906976744, -1e-05, -1e-05, 0.023255813953488372, 0.023255813953488372, 0.023255813953488372, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
6_easy_full,paths_linear_square,paths,False,False,1,square,2,True,50,12,1,"[[0.02564102564102564, -1e-05, 0.07692307692307693, -2e-05, 0.05128205128205128, 0.07692307692307693], [0.02564102564102564, -2e-05, -1e-05, -1e-05, 0.1282051282051282, 0.1282051282051282], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.07692307692307693], [-2e-05, 0.02564102564102564, -1e-05, -1e-05, -2e-05, 0.07692307692307693], [-1e-05, 0.05128205128205128, -2e-05, -2e-05, 0.02564102564102564, 0.07692307692307693], [0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564]]"
6_easy_pruned,paths_linear_square,paths,False,False,1,square,2,True,30,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.06666666666666667, 0.13333333333333333], [0.0, -2e-05, -1e-05, -1e-05, 0.06666666666666667, 0.06666666666666667], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.13333333333333333], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.2], [0.0, 0.0, 0.2, 0.0, 0.0, 0.13333333333333333]]"
6_hard_full,paths_linear_square,paths,False,False,1,square,2,True,50,34,0,"[[0.11764705882352941, -2e-05, 0.0196078431372549, 0.0392156862745098, -1e-05, 0.0196078431372549], [0.0196078431372549, -2e-05, -1e-05, -2e-05, 0.0196078431372549, 0.0196078431372549], [0.0784313725490196, -1e-05, 0.11764705882352941, 0.0196078431372549, 0.0392156862745098, 0.0196078431372549], [0.0196078431372549, -1e-05, 0.0392156862745098, -2e-05, 0.058823529411764705, 0.0196078431372549], [0.0196078431372549, -1e-05, 0.0392156862745098, 0.0392156862745098, 0.09803921568627451, 0.0196078431372549], [0.0196078431372549, -2e-05, 0.0392156862745098, 0.0392156862745098, -2e-05, 0.0196078431372549]]"
6_hard_pruned,paths_linear_square,paths,False,False,1,square,2,True,50,34,0,"[[0.1276595744680851, -2e-05, 0.02127659574468085, -1e-05, -1e-05, 0.0425531914893617], [0.0425531914893617, -2e-05, -1e-05, -2e-05, 0.0425531914893617, 0.02127659574468085], [0.0851063829787234, -1e-05, 0.0851063829787234, 0.02127659574468085, 0.06382978723404255, 0.02127659574468085], [-2e-05, -1e-05, 0.06382978723404255, -2e-05, 0.0425531914893617, 0.02127659574468085], [0.02127659574468085, -1e-05, 0.0425531914893617, 0.06382978723404255, 0.06382978723404255, 0.02127659574468085], [0.02127659574468085, -2e-05, 0.02127659574468085, 0.02127659574468085, -2e-05, 0.02127659574468085]]"
