board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,answer,numberOfNodes,correct,exploredNodes
10_easy_full,paths_linear_square,paths,False,False,1,square,2,False,50,95,0,"[[0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, -1e-05, 0.08695652173913043, -2e-05, 0.0, 0.008695652173913044, 0.034782608695652174], [0.008695652173913044, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0782608695652174, 0.06956521739130435], [0.0, 0.008695652173913044, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.008695652173913044, 0.034782608695652174], [0.0, 0.008695652173913044, 0.043478260869565216, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.008695652173913044, 0.008695652173913044, -1e-05, 0.0, -2e-05, -2e-05, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044], [-1e-05, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.02608695652173913, 0.0, 0.008695652173913044, 0.008695652173913044, 0.02608695652173913, 0.034782608695652174], [-1e-05, -1e-05, 0.017391304347826087, 0.017391304347826087, 0.017391304347826087, 0.02608695652173913, 0.008695652173913044, 0.034782608695652174, 0.008695652173913044, 0.034782608695652174], [-2e-05, -2e-05, 0.017391304347826087, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, -1e-05, 0.008695652173913044, 0.008695652173913044, 0.02608695652173913], [0.0, 0.0, 0.008695652173913044, 0.017391304347826087, 0.008695652173913044, 0.02608695652173913, -1e-05, 0.043478260869565216, 0.008695652173913044, 0.008695652173913044], [0.0, 0.0, 0.0, 0.0, 0.017391304347826087, -2e-05, -2e-05, -2e-05, 0.008695652173913044, 0.0]]"
10_easy_pruned,paths_linear_square,paths,False,False,1,square,2,False,50,95,0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.013888888888888888], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.027777777777777776, 0.027777777777777776], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.013888888888888888], [0.0, 0.0, 0.6527777777777778, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.013888888888888888, 0.013888888888888888], [-1e-05, -1e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.0, 0.013888888888888888, 0.0, 0.013888888888888888], [-2e-05, -2e-05, 0.013888888888888888, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.013888888888888888], [0.0, 0.0, 0.0, 0.013888888888888888, 0.0, 0.013888888888888888, -1e-05, 0.05555555555555555, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.013888888888888888, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
10_hard_full,paths_linear_square,paths,False,False,1,square,2,False,50,56,0,"[[0.004273504273504274, 0.004273504273504274, 0.008547008547008548, -2e-05, 0.004273504273504274, 0.004273504273504274, 0.008547008547008548, 0.004273504273504274, 0.021367521367521368, 0.004273504273504274], [0.008547008547008548, 0.008547008547008548, 0.008547008547008548, -1e-05, 0.008547008547008548, -2e-05, 0.008547008547008548, 0.02564102564102564, 0.004273504273504274, 0.004273504273504274], [0.004273504273504274, -2e-05, -2e-05, 0.03418803418803419, 0.03418803418803419, -1e-05, -1e-05, 0.01282051282051282, -2e-05, 0.004273504273504274], [0.01282051282051282, 0.021367521367521368, -2e-05, -1e-05, -2e-05, 0.029914529914529916, 0.008547008547008548, 0.004273504273504274, 0.004273504273504274, 0.004273504273504274], [0.0811965811965812, -1e-05, -1e-05, 0.008547008547008548, 0.004273504273504274, 0.0641025641025641, 0.021367521367521368, 0.017094017094017096, 0.008547008547008548, 0.004273504273504274], [0.01282051282051282, -1e-05, -1e-05, 0.05982905982905983, -2e-05, 0.008547008547008548, 0.008547008547008548, 0.008547008547008548, 0.008547008547008548, 0.004273504273504274], [0.038461538461538464, 0.017094017094017096, -1e-05, 0.017094017094017096, -2e-05, 0.004273504273504274, 0.008547008547008548, 0.004273504273504274, 0.004273504273504274, 0.008547008547008548], [0.008547008547008548, 0.021367521367521368, -1e-05, 0.017094017094017096, 0.01282051282051282, 0.008547008547008548, 0.008547008547008548, 0.008547008547008548, 0.004273504273504274, 0.004273504273504274], [0.02564102564102564, 0.021367521367521368, -2e-05, 0.01282051282051282, 0.01282051282051282, -2e-05, -2e-05, 0.004273504273504274, 0.008547008547008548, 0.004273504273504274], [0.008547008547008548, 0.008547008547008548, 0.008547008547008548, 0.008547008547008548, -1e-05, 0.01282051282051282, 0.008547008547008548, 0.008547008547008548, 0.008547008547008548, 0.004273504273504274]]"
10_hard_pruned,paths_linear_square,paths,False,False,1,square,2,False,50,56,0,"[[0.0, 0.0, 0.014492753623188406, -2e-05, 0.0, 0.0, 0.007246376811594203, 0.0, 0.014492753623188406, 0.0], [0.007246376811594203, 0.007246376811594203, 0.007246376811594203, -1e-05, 0.007246376811594203, -2e-05, 0.007246376811594203, 0.014492753623188406, 0.0, 0.0], [0.0, -2e-05, -2e-05, 0.036231884057971016, -1e-05, -1e-05, -1e-05, 0.028985507246376812, -2e-05, 0.0], [0.014492753623188406, 0.014492753623188406, -2e-05, -1e-05, -2e-05, 0.028985507246376812, 0.007246376811594203, 0.0, 0.0, 0.0], [0.30434782608695654, -1e-05, -1e-05, 0.014492753623188406, 0.007246376811594203, 0.06521739130434782, 0.021739130434782608, 0.007246376811594203, 0.0, 0.0], [0.014492753623188406, -1e-05, -1e-05, 0.036231884057971016, -2e-05, 0.014492753623188406, 0.007246376811594203, 0.014492753623188406, 0.007246376811594203, 0.0], [-2e-05, 0.014492753623188406, -1e-05, 0.014492753623188406, -2e-05, 0.007246376811594203, 0.014492753623188406, 0.0, 0.007246376811594203, 0.007246376811594203], [0.007246376811594203, 0.014492753623188406, -1e-05, 0.014492753623188406, 0.014492753623188406, 0.007246376811594203, 0.007246376811594203, 0.014492753623188406, 0.0, 0.0], [0.014492753623188406, 0.014492753623188406, -2e-05, 0.014492753623188406, 0.014492753623188406, -2e-05, -2e-05, 0.0, 0.0, 0.0], [0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, -1e-05, 0.014492753623188406, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.0]]"
10_medium_full,paths_linear_square,paths,False,False,1,square,2,False,50,54,0,"[[0.0, 0.0, 0.007633587786259542, 0.007633587786259542, 0.007633587786259542, 0.0, 0.007633587786259542, 0.007633587786259542, 0.0, 0.0], [0.0, 0.0, 0.007633587786259542, 0.015267175572519083, 0.0, 0.007633587786259542, 0.0, 0.007633587786259542, 0.0, 0.0], [0.007633587786259542, 0.007633587786259542, -1e-05, 0.022900763358778626, 0.007633587786259542, -2e-05, 0.0, 0.007633587786259542, 0.0, 0.0], [0.015267175572519083, 0.015267175572519083, 0.015267175572519083, -1e-05, -1e-05, 0.015267175572519083, 0.015267175572519083, 0.015267175572519083, 0.007633587786259542, 0.0], [0.007633587786259542, 0.022900763358778626, 0.015267175572519083, 0.03816793893129771, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.007633587786259542], [0.0, 0.015267175572519083, 0.030534351145038167, 0.007633587786259542, 0.015267175572519083, -1e-05, -2e-05, -2e-05, 0.007633587786259542, 0.0], [0.007633587786259542, 0.007633587786259542, 0.007633587786259542, -1e-05, 0.015267175572519083, -2e-05, 0.007633587786259542, 0.007633587786259542, 0.0, 0.0], [0.007633587786259542, 0.022900763358778626, 0.2748091603053435, 0.015267175572519083, -1e-05, -1e-05, 0.030534351145038167, 0.022900763358778626, 0.015267175572519083, 0.007633587786259542], [0.0, 0.007633587786259542, 0.007633587786259542, 0.022900763358778626, 0.007633587786259542, -1e-05, 0.015267175572519083, 0.007633587786259542, 0.007633587786259542, 0.007633587786259542], [0.007633587786259542, 0.007633587786259542, 0.0, 0.022900763358778626, 0.007633587786259542, 0.0, -2e-05, 0.015267175572519083, 0.0, 0.007633587786259542]]"
10_medium_pruned,paths_linear_square,paths,False,False,1,square,2,False,50,63,0,"[[0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.013888888888888888, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.027777777777777776, 0.027777777777777776, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.041666666666666664, 0.013888888888888888, 0.013888888888888888, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.0, 0.027777777777777776, 0.013888888888888888, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.041666666666666664, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, -1e-05, -1e-05, 0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
6_easy_full,paths_linear_square,paths,False,False,1,square,2,False,50,26,0,"[[0.015873015873015872, -1e-05, 0.031746031746031744, -2e-05, 0.015873015873015872, 0.015873015873015872], [0.015873015873015872, -2e-05, -1e-05, -1e-05, 0.2857142857142857, 0.30158730158730157], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.015873015873015872], [-2e-05, 0.015873015873015872, -1e-05, -1e-05, -2e-05, 0.14285714285714285], [-1e-05, 0.015873015873015872, -2e-05, -2e-05, 0.015873015873015872, 0.015873015873015872], [0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872]]"
6_easy_pruned,paths_linear_square,paths,False,False,1,square,2,False,50,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.32653061224489793], [0.0, -2e-05, -1e-05, -1e-05, 0.3673469387755102, 0.08163265306122448], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.08163265306122448], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.08163265306122448], [0.0, 0.0, 0.0, 0.0, 0.0, 0.061224489795918366]]"
6_hard_full,paths_linear_square,paths,False,False,1,square,2,False,50,34,0,"[[0.028169014084507043, -2e-05, 0.028169014084507043, 0.028169014084507043, -1e-05, 0.028169014084507043], [0.028169014084507043, -2e-05, -1e-05, -2e-05, 0.323943661971831, 0.028169014084507043], [0.028169014084507043, -1e-05, 0.014084507042253521, 0.014084507042253521, 0.028169014084507043, 0.028169014084507043], [0.028169014084507043, -1e-05, 0.04225352112676056, -2e-05, 0.028169014084507043, 0.028169014084507043], [0.028169014084507043, -1e-05, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043], [0.04225352112676056, -2e-05, 0.028169014084507043, 0.028169014084507043, -2e-05, 0.028169014084507043]]"
6_hard_pruned,paths_linear_square,paths,False,False,1,square,2,False,50,34,0,"[[0.014492753623188406, -2e-05, 0.028985507246376812, -1e-05, -1e-05, 0.028985507246376812], [0.028985507246376812, -2e-05, -1e-05, -2e-05, 0.4492753623188406, 0.014492753623188406], [0.028985507246376812, -1e-05, 0.014492753623188406, 0.014492753623188406, 0.028985507246376812, 0.014492753623188406], [-2e-05, -1e-05, 0.043478260869565216, -2e-05, 0.028985507246376812, 0.014492753623188406], [0.028985507246376812, -1e-05, 0.028985507246376812, 0.028985507246376812, 0.028985507246376812, 0.028985507246376812], [0.043478260869565216, -2e-05, 0.014492753623188406, 0.028985507246376812, -2e-05, 0.014492753623188406]]"
