board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,block_linear,block,FALSE,FALSE,1,square,2,TRUE,50,56,0,"[[0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, -1e-05, 0.0273972602739726, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, -2e-05, -1e-05, -1e-05, -1e-05, 0.0319634703196347, 0.0319634703196347], [0.0136986301369863, 0.0136986301369863, 0.0136986301369863, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, 0.0136986301369863, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0136986301369863, 0.0136986301369863, -1e-05, 0.0136986301369863, -2e-05, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0273972602739726], [-1e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0045662100456621, 0.0045662100456621, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [-1e-05, -1e-05, 0.0273972602739726, 0.0273972602739726, 0.0091324200913242, 0.0091324200913242, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [-2e-05, -2e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, -1e-05, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, -1e-05, 0.0182648401826484, 0.0136986301369863, 0.0136986301369863], [0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, 0.0136986301369863, -2e-05, -2e-05, -2e-05, 0.0136986301369863, 0.0136986301369863]]"
10_easy_pruned,block_linear,block,FALSE,FALSE,1,square,2,TRUE,50,56,0,"[[0.013422818791946308, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, -1e-05, -2e-05, -2e-05, 0.013422818791946308, 0.013422818791946308, 0.020134228187919462], [0.020134228187919462, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, -2e-05, -1e-05, -1e-05, -1e-05, 0.040268456375838924, 0.040268456375838924], [0.013422818791946308, 0.020134228187919462, 0.013422818791946308, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.013422818791946308, 0.020134228187919462], [0.013422818791946308, 0.013422818791946308, 0.020134228187919462, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.013422818791946308, 0.013422818791946308, -1e-05, 0.013422818791946308, -2e-05, -2e-05, 0.013422818791946308, 0.013422818791946308, -1e-05], [-1e-05, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, 0.006711409395973154, 0.006711409395973154, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, 0.020134228187919462], [-1e-05, -1e-05, 0.020134228187919462, 0.020134228187919462, 0.013422818791946308, 0.020134228187919462, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308], [-2e-05, -2e-05, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, -1e-05, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308], [0.013422818791946308, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, -1e-05, 0.026845637583892617, 0.013422818791946308, 0.013422818791946308], [0.013422818791946308, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, -2e-05, -2e-05, -2e-05, 0.013422818791946308, 0.013422818791946308]]"
10_hard_full,block_linear,block,FALSE,FALSE,1,square,2,TRUE,50,66,0,"[[0.011627906976744186, 0.011627906976744186, 0.015503875968992248, -2e-05, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186, 0.015503875968992248, 0.011627906976744186], [0.011627906976744186, 0.011627906976744186, 0.011627906976744186, -1e-05, 0.011627906976744186, -2e-05, 0.011627906976744186, 0.015503875968992248, 0.011627906976744186, 0.011627906976744186], [0.011627906976744186, -2e-05, -2e-05, 0.015503875968992248, 0.01937984496124031, -1e-05, -1e-05, 0.011627906976744186, -2e-05, 0.011627906976744186], [0.011627906976744186, 0.011627906976744186, -2e-05, -1e-05, -2e-05, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186], [0.031007751937984496, -1e-05, -1e-05, 0.046511627906976744, 0.003875968992248062, 0.023255813953488372, 0.007751937984496124, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186], [0.011627906976744186, -1e-05, -1e-05, 0.023255813953488372, -2e-05, 0.003875968992248062, 0.011627906976744186, 0.015503875968992248, 0.011627906976744186, 0.011627906976744186], [0.01937984496124031, 0.011627906976744186, -1e-05, 0.011627906976744186, -2e-05, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186], [0.011627906976744186, 0.015503875968992248, -1e-05, 0.01937984496124031, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186], [0.015503875968992248, 0.011627906976744186, -2e-05, 0.003875968992248062, 0.007751937984496124, -2e-05, -2e-05, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186], [0.011627906976744186, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186, -1e-05, 0.01937984496124031, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186, 0.011627906976744186]]"
10_hard_pruned,block_linear,block,FALSE,FALSE,1,square,2,TRUE,50,66,0,"[[0.011299435028248588, 0.011299435028248588, 0.01694915254237288, -2e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.011299435028248588, -1e-05, 0.011299435028248588, -2e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, -2e-05, -2e-05, 0.01694915254237288, -1e-05, -1e-05, -1e-05, 0.01694915254237288, -2e-05, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, -2e-05, -1e-05, -2e-05, 0.02824858757062147, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.022598870056497175, -1e-05, -1e-05, 0.03954802259887006, 0.03389830508474576, 0.022598870056497175, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.01694915254237288, -1e-05, -1e-05, 0.022598870056497175, -2e-05, 0.005649717514124294, 0.011299435028248588, 0.02824858757062147, 0.011299435028248588, 0.011299435028248588], [-2e-05, 0.01694915254237288, -1e-05, 0.011299435028248588, -2e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, -1e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, -2e-05, 0.01694915254237288, 0.01694915254237288, -2e-05, -2e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, -1e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588]]"
10_medium_full,block_linear,block,FALSE,FALSE,1,square,2,TRUE,50,36,0,"[[0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.01568627450980392, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.0196078431372549, 0.011764705882352941, 0.011764705882352941, 0.01568627450980392, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, -1e-05, 0.011764705882352941, 0.0196078431372549, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.0196078431372549, -1e-05, -1e-05, 0.00784313725490196, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.00392156862745098, 0.00784313725490196, 0.011764705882352941, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.011764705882352941], [0.011764705882352941, 0.01568627450980392, 0.00392156862745098, 0.011764705882352941, 0.011764705882352941, -1e-05, -2e-05, -2e-05, 0.011764705882352941, 0.011764705882352941], [0.01568627450980392, 0.011764705882352941, 0.023529411764705882, -1e-05, 0.011764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.01568627450980392, 0.011764705882352941, -1e-05, -1e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.01568627450980392, 0.011764705882352941, 0.011764705882352941, -1e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941]]"
10_medium_pruned,block_linear,block,FALSE,FALSE,1,square,2,TRUE,50,53,1,"[[0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429], [0.011428571428571429, 0.011428571428571429, 0.03428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429], [0.011428571428571429, 0.011428571428571429, -1e-05, 0.011428571428571429, 0.011428571428571429, -2e-05, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429], [0.022857142857142857, 0.022857142857142857, -1e-05, -1e-05, -1e-05, -2e-05, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429], [0.011428571428571429, 0.005714285714285714, 0.03428571428571429, 0.011428571428571429, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.011428571428571429], [0.011428571428571429, 0.011428571428571429, 0.005714285714285714, 0.011428571428571429, 0.011428571428571429, -1e-05, -2e-05, -2e-05, 0.011428571428571429, 0.011428571428571429], [0.011428571428571429, 0.011428571428571429, 0.04, -1e-05, 0.011428571428571429, -2e-05, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429], [0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, -1e-05, -1e-05, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429], [0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, -1e-05, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429], [0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, -2e-05, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429]]"
6_easy_full,block_linear,block,FALSE,FALSE,1,square,2,TRUE,50,24,1,"[[0.05084745762711865, -1e-05, 0.01694915254237288, -2e-05, 0.05084745762711865, 0.05084745762711865], [0.05084745762711865, -2e-05, -1e-05, -1e-05, 0.03389830508474576, 0.03389830508474576], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1016949152542373], [-2e-05, 0.0847457627118644, -1e-05, -1e-05, -2e-05, 0.01694915254237288], [-1e-05, 0.05084745762711865, -2e-05, -2e-05, 0.05084745762711865, 0.0847457627118644], [0.05084745762711865, 0.05084745762711865, 0.05084745762711865, 0.05084745762711865, 0.05084745762711865, 0.06779661016949153]]"
6_easy_pruned,block_linear,block,FALSE,FALSE,1,square,2,TRUE,50,12,1,"[[0.05714285714285714, -1e-05, -2e-05, -2e-05, 0.05714285714285714, 0.05714285714285714], [0.05714285714285714, -2e-05, -1e-05, -1e-05, 0.02857142857142857, 0.02857142857142857], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.11428571428571428], [-2e-05, 0.05714285714285714, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.05714285714285714, -2e-05, -2e-05, 0.05714285714285714, 0.08571428571428572], [0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714]]"
6_hard_full,block_linear,block,FALSE,FALSE,1,square,2,TRUE,50,17,0,"[[0.08, -2e-05, 0.04, 0.06, -1e-05, 0.02], [0.02, -2e-05, -1e-05, -2e-05, 0.02, 0.02], [0.04, -1e-05, 0.08, 0.06, 0.06, 0.02], [0.02, -1e-05, 0.04, -2e-05, 0.02, 0.02], [0.02, -1e-05, 0.08, 0.04, 0.06, 0.02], [0.02, -2e-05, 0.06, 0.06, -2e-05, 0.02]]"
6_hard_pruned,block_linear,block,FALSE,FALSE,1,square,2,TRUE,50,17,0,"[[0.029850746268656716, -2e-05, 0.07462686567164178, -1e-05, -1e-05, 0.05970149253731343], [0.029850746268656716, -2e-05, -1e-05, -2e-05, 0.029850746268656716, 0.029850746268656716], [0.04477611940298507, -1e-05, 0.014925373134328358, 0.07462686567164178, 0.014925373134328358, 0.029850746268656716], [-2e-05, -1e-05, 0.014925373134328358, -2e-05, 0.04477611940298507, 0.029850746268656716], [0.07462686567164178, -1e-05, 0.029850746268656716, 0.07462686567164178, 0.1044776119402985, 0.04477611940298507], [0.029850746268656716, -2e-05, 0.029850746268656716, 0.05970149253731343, -2e-05, 0.029850746268656716]]"
