board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,density,density,False,False,1,square,2,True,50,56,0,"[[0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, -1e-05, 0.014925373134328358, -2e-05, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358], [0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, -2e-05, -1e-05, -1e-05, -1e-05, 0.014925373134328358, 0.014925373134328358], [0.014925373134328358, 0.014925373134328358, 0.014925373134328358, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.007462686567164179, 0.014925373134328358], [0.014925373134328358, 0.014925373134328358, 0.014925373134328358, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.014925373134328358, 0.014925373134328358, -1e-05, 0.007462686567164179, -2e-05, -2e-05, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358], [-1e-05, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.007462686567164179, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358], [-1e-05, -1e-05, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358], [-2e-05, -2e-05, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, -1e-05, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358], [0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, -1e-05, 0.022388059701492536, 0.014925373134328358, 0.014925373134328358], [0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, 0.014925373134328358, -2e-05, -2e-05, -2e-05, 0.014925373134328358, 0.014925373134328358]]"
10_easy_pruned,density,density,False,False,1,square,2,True,50,56,0,"[[0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, -1e-05, -2e-05, -2e-05, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094], [0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.007194244604316547, -2e-05, -1e-05, -1e-05, -1e-05, 0.014388489208633094, 0.014388489208633094], [0.014388489208633094, 0.014388489208633094, 0.014388489208633094, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.014388489208633094, 0.014388489208633094], [0.014388489208633094, 0.014388489208633094, 0.014388489208633094, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.014388489208633094, 0.014388489208633094, -1e-05, 0.007194244604316547, -2e-05, -2e-05, 0.014388489208633094, 0.014388489208633094, -1e-05], [-1e-05, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.07913669064748201, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094], [-1e-05, -1e-05, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094], [-2e-05, -2e-05, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, -1e-05, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094], [0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, -1e-05, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094], [0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, 0.014388489208633094, -2e-05, -2e-05, -2e-05, 0.014388489208633094, 0.014388489208633094]]"
10_hard_full,density,density,False,False,1,square,2,True,50,66,0,"[[0.013029315960912053, 0.013029315960912053, 0.013029315960912053, -2e-05, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053], [0.013029315960912053, 0.013029315960912053, 0.006514657980456026, -1e-05, 0.009771986970684038, -2e-05, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053], [0.013029315960912053, -2e-05, -2e-05, 0.003257328990228013, 0.02280130293159609, -1e-05, -1e-05, 0.013029315960912053, -2e-05, 0.013029315960912053], [0.013029315960912053, 0.013029315960912053, -2e-05, -1e-05, -2e-05, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053], [0.016286644951140065, -1e-05, -1e-05, 0.003257328990228013, 0.03257328990228013, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053], [0.013029315960912053, -1e-05, -1e-05, 0.006514657980456026, -2e-05, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053], [0.013029315960912053, 0.009771986970684038, -1e-05, 0.013029315960912053, -2e-05, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053], [0.013029315960912053, 0.013029315960912053, -1e-05, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053], [0.013029315960912053, 0.016286644951140065, -2e-05, 0.013029315960912053, 0.013029315960912053, -2e-05, -2e-05, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053], [0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, -1e-05, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053, 0.013029315960912053]]"
10_hard_pruned,density,density,False,False,1,square,2,True,50,66,0,"[[0.013636363636363636, 0.013636363636363636, 0.013636363636363636, -2e-05, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636], [0.013636363636363636, 0.013636363636363636, 0.00909090909090909, -1e-05, 0.013636363636363636, -2e-05, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636], [0.013636363636363636, -2e-05, -2e-05, 0.004545454545454545, -1e-05, -1e-05, -1e-05, 0.013636363636363636, -2e-05, 0.013636363636363636], [0.013636363636363636, 0.013636363636363636, -2e-05, -1e-05, -2e-05, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636], [0.01818181818181818, -1e-05, -1e-05, 0.004545454545454545, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636], [0.013636363636363636, -1e-05, -1e-05, 0.00909090909090909, -2e-05, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636], [-2e-05, 0.013636363636363636, -1e-05, 0.013636363636363636, -2e-05, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636], [0.013636363636363636, 0.013636363636363636, -1e-05, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636], [0.013636363636363636, 0.013636363636363636, -2e-05, 0.013636363636363636, 0.013636363636363636, -2e-05, -2e-05, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636], [0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, -1e-05, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636, 0.013636363636363636]]"
10_medium_full,density,density,False,False,1,square,2,True,50,36,0,"[[0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125], [0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125], [0.0125, 0.0125, -1e-05, 0.0125, 0.0125, -2e-05, 0.0125, 0.0125, 0.0125, 0.0125], [0.0125, 0.0125, 0.0125, -1e-05, -1e-05, 0.004166666666666667, 0.008333333333333333, 0.0125, 0.0125, 0.0125], [0.0125, 0.0125, 0.0125, 0.0125, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0125], [0.0125, 0.0125, 0.0125, 0.0125, 0.008333333333333333, -1e-05, -2e-05, -2e-05, 0.0125, 0.0125], [0.0125, 0.0125, 0.0125, -1e-05, 0.004166666666666667, -2e-05, 0.0125, 0.0125, 0.0125, 0.0125], [0.0125, 0.0125, 0.0125, 0.0125, -1e-05, -1e-05, 0.0125, 0.0125, 0.0125, 0.0125], [0.0125, 0.0125, 0.0125, 0.0125, 0.0125, -1e-05, 0.0125, 0.0125, 0.0125, 0.0125], [0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, -2e-05, 0.0125, 0.0125, 0.0125]]"
10_medium_pruned,density,density,False,False,1,square,2,True,50,27,0,"[[0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259], [0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259], [0.012578616352201259, 0.012578616352201259, -1e-05, 0.012578616352201259, 0.012578616352201259, -2e-05, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259], [0.012578616352201259, 0.012578616352201259, -1e-05, -1e-05, -1e-05, -2e-05, 0.006289308176100629, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259], [0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.006289308176100629, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.012578616352201259], [0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, -1e-05, -2e-05, -2e-05, 0.012578616352201259, 0.012578616352201259], [0.012578616352201259, 0.012578616352201259, 0.012578616352201259, -1e-05, 0.012578616352201259, -2e-05, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259], [0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.018867924528301886, -1e-05, -1e-05, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259], [0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, -1e-05, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259], [0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, -2e-05, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259]]"
6_easy_full,density,density,False,False,1,square,2,True,50,24,1,"[[0.05357142857142857, -1e-05, 0.017857142857142856, -2e-05, 0.05357142857142857, 0.05357142857142857], [0.05357142857142857, -2e-05, -1e-05, -1e-05, 0.05357142857142857, 0.05357142857142857], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.07142857142857142], [-2e-05, 0.03571428571428571, -1e-05, -1e-05, -2e-05, 0.017857142857142856], [-1e-05, 0.07142857142857142, -2e-05, -2e-05, 0.08928571428571429, 0.05357142857142857], [0.05357142857142857, 0.05357142857142857, 0.05357142857142857, 0.05357142857142857, 0.05357142857142857, 0.05357142857142857]]"
6_easy_pruned,density,density,False,False,1,square,2,True,50,33,0,"[[0.05555555555555555, -1e-05, -2e-05, -2e-05, 0.05555555555555555, 0.05555555555555555], [0.05555555555555555, -2e-05, -1e-05, -1e-05, 0.05555555555555555, 0.05555555555555555], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.05555555555555555], [-2e-05, 0.027777777777777776, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.1111111111111111, -2e-05, -2e-05, 0.08333333333333333, 0.05555555555555555], [0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555]]"
6_hard_full,density,density,False,False,1,square,2,True,50,16,0,"[[0.04854368932038835, -2e-05, 0.009708737864077669, 0.038834951456310676, -1e-05, 0.038834951456310676], [0.038834951456310676, -2e-05, -1e-05, -2e-05, 0.038834951456310676, 0.038834951456310676], [0.038834951456310676, -1e-05, 0.009708737864077669, 0.04854368932038835, 0.08737864077669903, 0.038834951456310676], [0.019417475728155338, -1e-05, 0.02912621359223301, -2e-05, 0.038834951456310676, 0.038834951456310676], [0.038834951456310676, -1e-05, 0.02912621359223301, 0.08737864077669903, 0.038834951456310676, 0.038834951456310676], [0.038834951456310676, -2e-05, 0.038834951456310676, 0.04854368932038835, -2e-05, 0.038834951456310676]]"
6_hard_pruned,density,density,False,False,1,square,2,True,50,17,0,"[[0.04411764705882353, -2e-05, 0.029411764705882353, -1e-05, -1e-05, 0.029411764705882353], [0.04411764705882353, -2e-05, -1e-05, -2e-05, 0.07352941176470588, 0.04411764705882353], [0.04411764705882353, -1e-05, 0.014705882352941176, 0.04411764705882353, 0.07352941176470588, 0.04411764705882353], [-2e-05, -1e-05, 0.014705882352941176, -2e-05, 0.04411764705882353, 0.04411764705882353], [0.04411764705882353, -1e-05, 0.04411764705882353, 0.058823529411764705, 0.04411764705882353, 0.04411764705882353], [0.04411764705882353, -2e-05, 0.04411764705882353, 0.04411764705882353, -2e-05, 0.04411764705882353]]"
