board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,block_non-linear_interaction,block,False,True,2,square,2,True,50,50,1,"[[0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, -1e-05, 0.0049261083743842365, -2e-05, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709], [0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, -2e-05, -1e-05, -1e-05, -1e-05, 0.009852216748768473, 0.009852216748768473], [0.014778325123152709, 0.014778325123152709, 0.014778325123152709, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.014778325123152709, 0.014778325123152709], [0.014778325123152709, 0.014778325123152709, 0.014778325123152709, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.014778325123152709, 0.014778325123152709, -1e-05, 0.014778325123152709, -2e-05, -2e-05, 0.014778325123152709, 0.014778325123152709, 0.0049261083743842365], [-1e-05, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.024630541871921183, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.019704433497536946], [-1e-05, -1e-05, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.019704433497536946], [-2e-05, -2e-05, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, -1e-05, 0.014778325123152709, 0.014778325123152709, 0.019704433497536946], [0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, -1e-05, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709], [0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, -2e-05, -2e-05, -2e-05, 0.014778325123152709, 0.014778325123152709]]"
10_easy_pruned,block_non-linear_interaction,block,False,True,2,square,2,True,50,20,1,"[[0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, -1e-05, -2e-05, -2e-05, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815], [0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, -2e-05, -1e-05, -1e-05, -1e-05, 0.007407407407407408, 0.007407407407407408], [0.014814814814814815, 0.014814814814814815, 0.014814814814814815, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.014814814814814815, 0.014814814814814815], [0.014814814814814815, 0.014814814814814815, 0.014814814814814815, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.014814814814814815, 0.014814814814814815, -1e-05, 0.014814814814814815, -2e-05, -2e-05, 0.014814814814814815, 0.014814814814814815, -1e-05], [-1e-05, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.02962962962962963, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.022222222222222223], [-1e-05, -1e-05, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.022222222222222223], [-2e-05, -2e-05, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, -1e-05, 0.014814814814814815, 0.014814814814814815, 0.022222222222222223], [0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, -1e-05, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815], [0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, -2e-05, -2e-05, -2e-05, 0.014814814814814815, 0.014814814814814815]]"
10_hard_full,block_non-linear_interaction,block,False,True,2,square,2,True,50,25,1,"[[0.012944983818770227, 0.012944983818770227, 0.012944983818770227, -2e-05, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227], [0.019417475728155338, 0.012944983818770227, 0.012944983818770227, -1e-05, 0.012944983818770227, -2e-05, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227], [0.012944983818770227, -2e-05, -2e-05, 0.009708737864077669, 0.003236245954692557, -1e-05, -1e-05, 0.006472491909385114, -2e-05, 0.012944983818770227], [0.012944983818770227, 0.012944983818770227, -2e-05, -1e-05, -2e-05, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227], [0.019417475728155338, -1e-05, -1e-05, 0.022653721682847898, 0.016181229773462782, 0.019417475728155338, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227], [0.012944983818770227, -1e-05, -1e-05, 0.009708737864077669, -2e-05, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227], [0.003236245954692557, 0.012944983818770227, -1e-05, 0.012944983818770227, -2e-05, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227], [0.012944983818770227, 0.012944983818770227, -1e-05, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227], [0.012944983818770227, 0.012944983818770227, -2e-05, 0.012944983818770227, 0.016181229773462782, -2e-05, -2e-05, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227], [0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, -1e-05, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227, 0.012944983818770227]]"
10_hard_pruned,block_non-linear_interaction,block,False,True,2,square,2,True,50,24,1,"[[0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -2e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [0.01809954751131222, 0.013574660633484163, 0.013574660633484163, -1e-05, 0.013574660633484163, -2e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [0.013574660633484163, -2e-05, -2e-05, 0.004524886877828055, -1e-05, -1e-05, -1e-05, 0.004524886877828055, -2e-05, 0.013574660633484163], [0.013574660633484163, 0.013574660633484163, -2e-05, -1e-05, -2e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [0.013574660633484163, -1e-05, -1e-05, 0.00904977375565611, 0.013574660633484163, 0.01809954751131222, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [0.013574660633484163, -1e-05, -1e-05, 0.00904977375565611, -2e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [-2e-05, 0.013574660633484163, -1e-05, 0.013574660633484163, -2e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [0.013574660633484163, 0.013574660633484163, -1e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [0.013574660633484163, 0.013574660633484163, -2e-05, 0.013574660633484163, 0.013574660633484163, -2e-05, -2e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163], [0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, -1e-05, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163, 0.013574660633484163]]"
10_medium_full,block_non-linear_interaction,block,False,True,2,square,2,True,50,74,0,"[[0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407], [0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407], [0.010050251256281407, 0.010050251256281407, -1e-05, 0.02512562814070352, 0.010050251256281407, -2e-05, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407], [0.010050251256281407, 0.03015075376884422, 0.04522613065326633, -1e-05, -1e-05, 0.010050251256281407, 0.02512562814070352, 0.02512562814070352, 0.010050251256281407, 0.010050251256281407], [0.010050251256281407, 0.005025125628140704, 0.010050251256281407, 0.01507537688442211, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.010050251256281407], [0.010050251256281407, 0.010050251256281407, 0.005025125628140704, 0.035175879396984924, 0.010050251256281407, -1e-05, -2e-05, -2e-05, 0.010050251256281407, 0.010050251256281407], [0.010050251256281407, 0.03015075376884422, 0.010050251256281407, -1e-05, 0.010050251256281407, -2e-05, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407], [0.03015075376884422, 0.010050251256281407, 0.010050251256281407, 0.02512562814070352, -1e-05, -1e-05, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407], [0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, -1e-05, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407], [0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, -2e-05, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407]]"
10_medium_pruned,block_non-linear_interaction,block,False,True,2,square,2,True,50,53,1,"[[0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, 0.024242424242424242, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, -1e-05, 0.012121212121212121, 0.012121212121212121, -2e-05, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, -1e-05, -1e-05, -1e-05, -2e-05, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.006060606060606061, 0.024242424242424242, 0.012121212121212121, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, 0.006060606060606061, 0.012121212121212121, 0.012121212121212121, -1e-05, -2e-05, -2e-05, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, 0.030303030303030304, -1e-05, 0.012121212121212121, -2e-05, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, -1e-05, -1e-05, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, -1e-05, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, -2e-05, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121]]"
6_easy_full,block_non-linear_interaction,block,False,True,2,square,2,True,50,24,1,"[[0.045454545454545456, -1e-05, 0.015151515151515152, -2e-05, 0.045454545454545456, 0.21212121212121213], [0.045454545454545456, -2e-05, -1e-05, -1e-05, 0.030303030303030304, 0.030303030303030304], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.06060606060606061], [-2e-05, 0.045454545454545456, -1e-05, -1e-05, -2e-05, 0.015151515151515152], [-1e-05, 0.045454545454545456, -2e-05, -2e-05, 0.045454545454545456, 0.07575757575757576], [0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.06060606060606061]]"
6_easy_pruned,block_non-linear_interaction,block,False,True,2,square,2,True,50,12,1,"[[0.045454545454545456, -1e-05, -2e-05, -2e-05, 0.045454545454545456, 0.29545454545454547], [0.045454545454545456, -2e-05, -1e-05, -1e-05, 0.022727272727272728, 0.022727272727272728], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.045454545454545456], [-2e-05, 0.045454545454545456, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.045454545454545456, -2e-05, -2e-05, 0.045454545454545456, 0.06818181818181818], [0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456]]"
6_hard_full,block_non-linear_interaction,block,False,True,2,square,2,True,50,4,1,"[[0.058823529411764705, -2e-05, 0.029411764705882353, 0.00980392156862745, -1e-05, 0.0196078431372549], [0.0392156862745098, -2e-05, -1e-05, -2e-05, 0.049019607843137254, 0.0392156862745098], [0.0392156862745098, -1e-05, 0.029411764705882353, 0.11764705882352941, 0.049019607843137254, 0.0392156862745098], [0.00980392156862745, -1e-05, 0.029411764705882353, -2e-05, 0.0392156862745098, 0.0392156862745098], [0.0392156862745098, -1e-05, 0.0392156862745098, 0.0392156862745098, 0.049019607843137254, 0.0392156862745098], [0.0392156862745098, -2e-05, 0.0392156862745098, 0.0392156862745098, -2e-05, 0.0392156862745098]]"
6_hard_pruned,block_non-linear_interaction,block,False,True,2,square,2,True,50,3,1,"[[0.05194805194805195, -2e-05, 0.012987012987012988, -1e-05, -1e-05, 0.012987012987012988], [0.03896103896103896, -2e-05, -1e-05, -2e-05, 0.05194805194805195, 0.03896103896103896], [0.03896103896103896, -1e-05, 0.025974025974025976, 0.18181818181818182, 0.05194805194805195, 0.03896103896103896], [-2e-05, -1e-05, 0.025974025974025976, -2e-05, 0.03896103896103896, 0.03896103896103896], [0.03896103896103896, -1e-05, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896], [0.03896103896103896, -2e-05, 0.03896103896103896, 0.03896103896103896, -2e-05, 0.03896103896103896]]"
