board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_non-linear_blockInfinity,block,False,True,2,square,2,True,444,50,1,"[[0.010309278350515464, 0.010309278350515464, 0.010309278350515464, 0.010309278350515464, -1e-05, 0.003436426116838488, -2e-05, 0.010309278350515464, 0.013745704467353952, 0.010309278350515464], [0.010309278350515464, 0.010309278350515464, 0.010309278350515464, 0.010309278350515464, -2e-05, -1e-05, -1e-05, -1e-05, 0.013745704467353952, 0.013745704467353952], [0.010309278350515464, 0.010309278350515464, 0.010309278350515464, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.013745704467353952, 0.013745704467353952], [0.010309278350515464, 0.010309278350515464, 0.013745704467353952, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.010309278350515464, 0.010309278350515464, -1e-05, 0.010309278350515464, -2e-05, -2e-05, 0.010309278350515464, 0.013745704467353952, 0.003436426116838488], [-1e-05, 0.010309278350515464, 0.010309278350515464, 0.010309278350515464, 0.020618556701030927, 0.010309278350515464, 0.010309278350515464, 0.010309278350515464, 0.013745704467353952, 0.01718213058419244], [-1e-05, -1e-05, 0.013745704467353952, 0.013745704467353952, 0.013745704467353952, 0.013745704467353952, 0.010309278350515464, 0.013745704467353952, 0.010309278350515464, 0.01718213058419244], [-2e-05, -2e-05, 0.01718213058419244, 0.010309278350515464, 0.010309278350515464, 0.010309278350515464, -1e-05, 0.010309278350515464, 0.010309278350515464, 0.01718213058419244], [0.010309278350515464, 0.010309278350515464, 0.010309278350515464, 0.01718213058419244, 0.010309278350515464, 0.013745704467353952, -1e-05, 0.013745704467353952, 0.010309278350515464, 0.010309278350515464], [0.010309278350515464, 0.010309278350515464, 0.010309278350515464, 0.21993127147766323, 0.01718213058419244, -2e-05, -2e-05, -2e-05, 0.010309278350515464, 0.010309278350515464]]"
10_easy_pruned,paths_non-linear_blockInfinity,block,False,True,2,square,2,True,198,20,1,"[[0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -1e-05, -2e-05, -2e-05, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405], [0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -2e-05, -1e-05, -1e-05, -1e-05, 0.007518796992481203, 0.007518796992481203], [0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.015037593984962405, 0.015037593984962405], [0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.015037593984962405, 0.015037593984962405, -1e-05, 0.015037593984962405, -2e-05, -2e-05, 0.015037593984962405, 0.015037593984962405, -1e-05], [-1e-05, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.022556390977443608], [-1e-05, -1e-05, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.022556390977443608], [-2e-05, -2e-05, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -1e-05, 0.015037593984962405, 0.015037593984962405, 0.022556390977443608], [0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -1e-05, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405], [0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -2e-05, -2e-05, -2e-05, 0.015037593984962405, 0.015037593984962405]]"
10_hard_full,paths_non-linear_blockInfinity,block,False,True,2,square,2,True,2139,25,1,"[[0.004319654427645789, 0.004319654427645789, 0.004319654427645789, -2e-05, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789], [0.08999280057595392, 0.004319654427645789, 0.004319654427645789, -1e-05, 0.004319654427645789, -2e-05, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789], [0.004319654427645789, -2e-05, -2e-05, 0.01079913606911447, 0.0007199424046076314, -1e-05, -1e-05, 0.01079913606911447, -2e-05, 0.004319654427645789], [0.005759539236861051, 0.005039596832253419, -2e-05, -1e-05, -2e-05, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789], [0.06479481641468683, -1e-05, -1e-05, 0.21310295176385888, 0.013678905687544997, 0.21958243340532757, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789], [0.01079913606911447, -1e-05, -1e-05, 0.009359251259899209, -2e-05, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789], [0.0007199424046076314, 0.01079913606911447, -1e-05, 0.005759539236861051, -2e-05, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789], [0.004319654427645789, 0.005039596832253419, -1e-05, 0.05399568034557235, 0.005039596832253419, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789], [0.004319654427645789, 0.005039596832253419, -2e-05, 0.011519078473722102, 0.004319654427645789, -2e-05, -2e-05, 0.005039596832253419, 0.005039596832253419, 0.004319654427645789], [0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, -1e-05, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789, 0.004319654427645789]]"
10_hard_pruned,paths_non-linear_blockInfinity,block,False,True,2,square,2,True,397,24,1,"[[0.012, 0.012, 0.012, -2e-05, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012], [0.1, 0.012, 0.012, -1e-05, 0.012, -2e-05, 0.012, 0.012, 0.012, 0.012], [0.012, -2e-05, -2e-05, 0.004, -1e-05, -1e-05, -1e-05, 0.004, -2e-05, 0.012], [0.012, 0.012, -2e-05, -1e-05, -2e-05, 0.012, 0.012, 0.012, 0.012, 0.012], [0.016, -1e-05, -1e-05, 0.012, 0.016, 0.02, 0.012, 0.012, 0.012, 0.012], [0.012, -1e-05, -1e-05, 0.008, -2e-05, 0.012, 0.012, 0.012, 0.012, 0.012], [-2e-05, 0.012, -1e-05, 0.012, -2e-05, 0.012, 0.012, 0.012, 0.012, 0.012], [0.012, 0.012, -1e-05, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012], [0.012, 0.012, -2e-05, 0.028, 0.012, -2e-05, -2e-05, 0.012, 0.012, 0.012], [0.012, 0.012, 0.012, 0.012, -1e-05, 0.012, 0.012, 0.012, 0.012, 0.012]]"
10_medium_full,paths_non-linear_blockInfinity,block,False,True,2,square,2,True,38147,33,1,"[[0.00692681667598847, 0.00696984038205051, 0.007959385621477435, 0.008432646388159876, 0.00701286408811255, 0.00692681667598847, 0.008002409327539475, 0.00696984038205051, 0.00692681667598847, 0.00692681667598847], [0.00692681667598847, 0.00696984038205051, 0.012562922170115733, 0.024179322806866584, 0.00692681667598847, 0.011917566579185131, 0.00692681667598847, 0.00696984038205051, 0.00692681667598847, 0.00692681667598847], [0.00692681667598847, 0.00696984038205051, -1e-05, 0.03218173213440606, 0.012304779933743492, -2e-05, 0.00692681667598847, 0.00696984038205051, 0.00692681667598847, 0.00692681667598847], [0.013509443703480617, 0.03054683130404853, 0.02590027104934819, -1e-05, -1e-05, 0.022071161209826613, 0.040227165168007575, 0.024781654691735145, 0.00692681667598847, 0.00692681667598847], [0.00701286408811255, 0.027104934819085318, 0.027406100761519597, 0.0366131738587962, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0072710063244847915], [0.00688379296992643, 0.0138106096459149, 0.03015961794949017, 0.008389622682097836, 0.012304779933743492, -1e-05, -2e-05, -2e-05, 0.007400077442670912, 0.00692681667598847], [0.008604741212408036, 0.01910252549154584, 0.008948930860904359, -1e-05, 0.03558060491330723, -2e-05, 0.00701286408811255, 0.007400077442670912, 0.00688379296992643, 0.00692681667598847], [0.01871531213698748, 0.013681538527728779, 0.014628060061093663, 0.011272210988254528, -1e-05, -1e-05, 0.012519898464053693, 0.028696811943380803, 0.024437465043238824, 0.00692681667598847], [0.00692681667598847, 0.007314030030546832, 0.007443101148732952, 0.00714193520629867, 0.0072710063244847915, -1e-05, 0.027750290410015917, 0.00692681667598847, 0.00718495891236071, 0.00696984038205051], [0.007227982618422751, 0.00714193520629867, 0.00709891150023663, 0.00709891150023663, 0.007572172266919072, 0.00692681667598847, -2e-05, 0.008002409327539475, 0.00692681667598847, 0.00714193520629867]]"
10_medium_pruned,paths_non-linear_blockInfinity,block,False,True,2,square,2,True,249,53,1,"[[0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.029411764705882353, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, -1e-05, 0.011764705882352941, 0.011764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.01764705882352941, 0.01764705882352941, -1e-05, -1e-05, -1e-05, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.0058823529411764705, 0.029411764705882353, 0.011764705882352941, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.0058823529411764705, 0.011764705882352941, 0.011764705882352941, -1e-05, -2e-05, -2e-05, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.03529411764705882, -1e-05, 0.011764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, -1e-05, -1e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, -1e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941]]"
6_easy_full,paths_non-linear_blockInfinity,block,False,True,2,square,2,True,114,24,1,"[[0.039473684210526314, -1e-05, 0.013157894736842105, -2e-05, 0.039473684210526314, 0.039473684210526314], [0.039473684210526314, -2e-05, -1e-05, -1e-05, 0.02631578947368421, 0.02631578947368421], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.10526315789473684], [-2e-05, 0.19736842105263158, -1e-05, -1e-05, -2e-05, 0.013157894736842105], [-1e-05, 0.05263157894736842, -2e-05, -2e-05, 0.039473684210526314, 0.09210526315789473], [0.039473684210526314, 0.039473684210526314, 0.039473684210526314, 0.039473684210526314, 0.039473684210526314, 0.07894736842105263]]"
6_easy_pruned,paths_non-linear_blockInfinity,block,False,True,2,square,2,True,51,12,1,"[[0.05714285714285714, -1e-05, -2e-05, -2e-05, 0.05714285714285714, 0.05714285714285714], [0.05714285714285714, -2e-05, -1e-05, -1e-05, 0.02857142857142857, 0.02857142857142857], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.11428571428571428], [-2e-05, 0.05714285714285714, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.05714285714285714, -2e-05, -2e-05, 0.05714285714285714, 0.08571428571428572], [0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714]]"
6_hard_full,paths_non-linear_blockInfinity,block,False,True,2,square,2,True,444,4,1,"[[0.19572953736654805, -2e-05, 0.017793594306049824, 0.0035587188612099642, -1e-05, 0.017793594306049824], [0.028469750889679714, -2e-05, -1e-05, -2e-05, 0.046263345195729534, 0.028469750889679714], [0.028469750889679714, -1e-05, 0.021352313167259787, 0.03202846975088968, 0.046263345195729534, 0.028469750889679714], [0.0035587188612099642, -1e-05, 0.014234875444839857, -2e-05, 0.03202846975088968, 0.046263345195729534], [0.03202846975088968, -1e-05, 0.09252669039145907, 0.05338078291814947, 0.06761565836298933, 0.028469750889679714], [0.028469750889679714, -2e-05, 0.0498220640569395, 0.028469750889679714, -2e-05, 0.028469750889679714]]"
6_hard_pruned,paths_non-linear_blockInfinity,block,False,True,2,square,2,True,127,3,1,"[[0.19047619047619047, -2e-05, 0.011904761904761904, -1e-05, -1e-05, 0.011904761904761904], [0.03571428571428571, -2e-05, -1e-05, -2e-05, 0.05952380952380952, 0.03571428571428571], [0.03571428571428571, -1e-05, 0.03571428571428571, 0.03571428571428571, 0.047619047619047616, 0.03571428571428571], [-2e-05, -1e-05, 0.023809523809523808, -2e-05, 0.03571428571428571, 0.03571428571428571], [0.03571428571428571, -1e-05, 0.05952380952380952, 0.047619047619047616, 0.03571428571428571, 0.03571428571428571], [0.03571428571428571, -2e-05, 0.047619047619047616, 0.03571428571428571, -2e-05, 0.03571428571428571]]"
