board_size,condition,board_type,actionsSolution,solutionCorrect,solutionAndValidationCorrect,timeMinutes,PercentCorrect,solutionAndValidationCorrectPercent,board,type,timePerMoveMinutes,timePerMove,size
6,truncated,medium,15,1,1,3.692116667,100,100,6 MC,MC,0.246141111,14.76846666,6
10,full,CV,12,0,0,2.133516667,0,0,10 DC,DC,0.177793056,10.66758336,10
6,full,medium,19,1,1,1.7695,100,100,6 MC,MC,0.093131579,5.58789474,6
10,full,medium,43,1,0,6.24675,100,0,10 MC,MC,0.145273256,8.71639536,10
6,truncated,medium,5,1,1,1.957916667,100,100,6 MC,MC,0.391583333,23.49499998,6
10,truncated,CV,21,1,1,2.438883333,100,100,10 DC,DC,0.116137302,6.96823812,10
6,full,medium,21,1,1,2.879216667,100,100,6 MC,MC,0.137105556,8.22633336,6
10,truncated,medium,58,1,1,5.6076,100,100,10 MC,MC,0.096682759,5.80096554,10
10,full,hard,25,1,1,4.3583,100,100,10 HC,HC,0.174332,10.45992,10
10,truncated,CV,22,1,1,2.755583333,100,100,10 DC,DC,0.125253788,7.51522728,10
10,full,medium,27,1,0,4.1896,100,0,10 MC,MC,0.15517037,9.3102222,10
10,full,medium,26,0,0,3.763416667,0,0,10 MC,MC,0.144746795,8.6848077,10
10,truncated,CV,17,1,1,2.0063,100,100,10 DC,DC,0.118017647,7.08105882,10
6,full,medium,28,1,0,3.027166667,100,0,6 MC,MC,0.108113095,6.4867857,6
6,full,hard,96,0,0,10.01368333,0,0,6 HC,HC,0.104309201,6.25855206,6
10,full,medium,8,0,0,0.431733333,0,0,10 MC,MC,0.053966667,3.23800002,10
10,full,medium,56,0,0,6.845566667,0,0,10 MC,MC,0.122242262,7.33453572,10
10,truncated,medium,31,0,0,2.647083333,0,0,10 MC,MC,0.085389785,5.1233871,10
10,truncated,CV,41,1,1,6.385066667,100,100,10 DC,DC,0.155733333,9.34399998,10
6,full,medium,11,1,1,1.814866667,100,100,6 MC,MC,0.164987879,9.89927274,6
6,full,hard,17,1,1,1.7741,100,100,6 HC,HC,0.104358824,6.26152944,6
6,truncated,medium,8,1,1,2.745316667,100,100,6 MC,MC,0.343164583,20.58987498,6
10,full,CV,55,1,0,5.270566667,100,0,10 DC,DC,0.095828485,5.7497091,10
10,full,CV,2,0,0,0.448683333,0,0,10 DC,DC,0.224341667,13.46050002,10
10,full,hard,2,0,0,1.01,0,0,10 HC,HC,0.505,30.3,10
6,truncated,medium,40,0,0,6.207866667,0,0,6 MC,MC,0.155196667,9.31180002,6
10,truncated,medium,27,0,0,3.328216667,0,0,10 MC,MC,0.123267284,7.39603704,10
6,full,medium,11,1,1,2.275333333,100,100,6 MC,MC,0.206848485,12.4109091,6
10,truncated,hard,5,1,0,1.717233333,100,0,10 HC,HC,0.343446667,20.60680002,10
6,full,hard,57,0,0,9.61445,0,0,6 HC,HC,0.168674561,10.12047366,6
10,full,medium,18,0,0,3.47875,0,0,10 MC,MC,0.193263889,11.59583334,10
6,truncated,medium,24,1,1,3.563733333,100,100,6 MC,MC,0.148488889,8.90933334,6
10,full,medium,15,0,0,2.290883333,0,0,10 MC,MC,0.152725556,9.16353336,10
10,full,CV,40,0,0,3.525683333,0,0,10 DC,DC,0.088142083,5.28852498,10
6,truncated,hard,17,0,0,0.82055,0,0,6 HC,HC,0.048267647,2.89605882,6
6,full,hard,49,1,1,3.18755,100,100,6 HC,HC,0.065052041,3.90312246,6
6,truncated,hard,9,0,0,2.528833333,0,0,6 HC,HC,0.280981481,16.85888886,6
6,truncated,hard,33,0,0,9.1994,0,0,6 HC,HC,0.278769697,16.72618182,6
10,full,hard,24,1,1,4.027866667,100,100,10 HC,HC,0.167827778,10.06966668,10
10,full,hard,3,0,0,0.779183333,0,0,10 HC,HC,0.259727778,15.58366668,10
6,full,hard,26,0,0,5.161133333,0,0,6 HC,HC,0.198505128,11.91030768,6
6,full,medium,44,1,1,3.957583333,100,100,6 MC,MC,0.089945076,5.39670456,6
6,full,hard,16,0,0,2.681383333,0,0,6 HC,HC,0.167586458,10.05518748,6
10,full,CV,2,0,0,0.659833333,0,0,10 DC,DC,0.329916667,19.79500002,10
10,full,hard,35,1,0,3.0183,100,0,10 HC,HC,0.086237143,5.17422858,10
10,full,medium,28,0,0,4.3189,0,0,10 MC,MC,0.154246429,9.25478574,10
6,truncated,medium,2,1,1,1.405633333,100,100,6 MC,MC,0.702816667,42.16900002,6
10,full,CV,25,0,0,2.821866667,0,0,10 DC,DC,0.112874667,6.77248002,10
6,full,hard,16,1,0,3.31055,100,0,6 HC,HC,0.206909375,12.4145625,6
6,truncated,hard,2,0,0,1.037733333,0,0,6 HC,HC,0.518866667,31.13200002,6
10,full,hard,27,0,0,2.0956,0,0,10 HC,HC,0.077614815,4.6568889,10
6,truncated,medium,6,1,0,0.880466667,100,0,6 MC,MC,0.146744445,8.8046667,6
10,full,hard,3,0,0,0.23455,0,0,10 HC,HC,0.078183333,4.69099998,10
6,truncated,medium,36,1,0,2.797833333,100,0,6 MC,MC,0.077717593,4.66305558,6
10,full,medium,13,1,1,1.411633333,100,100,10 MC,MC,0.108587179,6.51523074,10
10,full,CV,13,0,0,0.754083333,0,0,10 DC,DC,0.05800641,3.4803846,10
10,full,hard,21,0,0,2.961483333,0,0,10 HC,HC,0.141023016,8.46138096,10
10,full,medium,172,0,0,10.03778333,0,0,10 MC,MC,0.058359205,3.5015523,10
10,truncated,hard,6,1,1,1.5414,100,100,10 HC,HC,0.2569,15.414,10
6,full,hard,13,1,0,4.455216667,100,0,6 HC,HC,0.342708974,20.56253844,6
10,truncated,hard,31,0,0,6.402,0,0,10 HC,HC,0.206516129,12.39096774,10
10,full,CV,12,0,0,2.68045,0,0,10 DC,DC,0.223370833,13.40224998,10
6,full,hard,34,0,0,3.618333333,0,0,6 HC,HC,0.106421569,6.38529414,6
6,truncated,medium,102,1,1,9.91375,100,100,6 MC,MC,0.097193627,5.83161762,6
10,full,CV,12,0,0,1.874916667,0,0,10 DC,DC,0.156243056,9.37458336,10
6,truncated,medium,42,0,0,5.837416667,0,0,6 MC,MC,0.138986111,8.33916666,6
6,full,hard,5,0,0,0.890016667,0,0,6 HC,HC,0.178003333,10.68019998,6
6,truncated,hard,19,1,0,2.642933333,100,0,6 HC,HC,0.139101754,8.34610524,6
10,full,CV,19,1,0,2.783533333,100,0,10 DC,DC,0.146501754,8.79010524,10
6,truncated,medium,21,1,1,2.670933333,100,100,6 MC,MC,0.127187302,7.63123812,6
6,truncated,medium,8,1,0,2.554766667,100,0,6 MC,MC,0.319345833,19.16074998,6
6,full,medium,53,1,1,5.135333333,100,100,6 MC,MC,0.096893082,5.81358492,6
