boardSize,boardType,condition,userid,entropyNormalized,solution,size_type,solutionAndValidationCorrect
6,hard,full,17e120dd,0.889486366,solvedCorrect,6_hard,0
6,hard,full,18dac9ef,0.5,wrong,6_hard,0
6,hard,full,20bfd7bd,0.715338279,wrong,6_hard,0
6,hard,full,22dac859,1.133526038,wrong,6_hard,0
6,hard,full,26dbf6e9,0.758344034,validatedCorrect,6_hard,1
6,hard,full,32ebf2e8,1.039042523,validatedCorrect,6_hard,1
6,hard,full,38ebbf94,0.989063619,wrong,6_hard,0
6,hard,full,3df11bae,0.899195776,solvedCorrect,6_hard,0
6,hard,full,44a4fa14,0.5,wrong,6_hard,0
6,hard,full,5edbbf73,0.770492525,wrong,6_hard,0
6,hard,full,67eac875,1.17937653,wrong,6_hard,0
6,hard,full,69bad0fe,1.067827914,wrong,6_hard,0
6,hard,full,6bf51f66,0.683938116,wrong,6_hard,0
6,hard,full,70da8cfb,0.939920937,validatedCorrect,6_hard,1
6,hard,full,87b50908,0.9253367,solvedCorrect,6_hard,0
6,hard,full,8fc76287,1.026122767,validatedCorrect,6_hard,1
6,hard,full,8fcbec83,1.089809356,wrong,6_hard,0
6,hard,full,91cfd7fb,0.903285525,validatedCorrect,6_hard,1
6,hard,full,92b722f3,0.958846331,wrong,6_hard,0
6,hard,full,94d6ef33,0.989974976,wrong,6_hard,0
6,hard,full,9adbc2df,0.841303097,solvedCorrect,6_hard,0
6,hard,full,9dc50a3d,1.246397893,wrong,6_hard,0
6,hard,full,a2f6ba1d,0.341303097,solvedCorrect,6_hard,0
6,hard,full,b0d518a1,1.149108181,wrong,6_hard,0
6,hard,full,b7a4fe27,0.682606194,wrong,6_hard,0
6,hard,full,bae515f2,0.771979655,wrong,6_hard,0
6,hard,full,bcdfd2df,1.195598665,wrong,6_hard,0
6,hard,full,bed50a1d,0.827729377,validatedCorrect,6_hard,1
6,hard,full,c7a67aab,1.02236042,wrong,6_hard,0
6,hard,full,c8a4fa50,1.074405818,wrong,6_hard,0
6,hard,full,cceac8ca,0.812591327,wrong,6_hard,0
6,hard,full,dbe71b15,0.79462334,wrong,6_hard,0
6,hard,full,dcc4f10e,0.773042478,wrong,6_hard,0
6,hard,full,dfcbf407,0.778312096,wrong,6_hard,0
6,hard,full,dfe6bee3,0.978135053,solvedCorrect,6_hard,0
6,hard,full,eec7360c,0.586900293,wrong,6_hard,0
6,hard,full,efebc5bb,0.682606194,solvedCorrect,6_hard,0
6,hard,full,f1ebd0b7,0,wrong,6_hard,0
6,hard,full,f3dbeb7e,0.942152857,wrong,6_hard,0
6,hard,full,f6fbf6b1,1.240794806,wrong,6_hard,0
6,hard,pruned,16d516ad,0.620607156,wrong,6_hard,0
6,hard,pruned,1dac01e7,0.697319042,wrong,6_hard,0
6,hard,pruned,25cfdeaf,0.856625827,wrong,6_hard,0
6,hard,pruned,2afbbf79,1.068777036,wrong,6_hard,0
6,hard,pruned,2ff50f64,0.513296406,wrong,6_hard,0
6,hard,pruned,30e4feac,0.897260595,wrong,6_hard,0
6,hard,pruned,49c72e9b,0.513296406,wrong,6_hard,0
6,hard,pruned,4bca7fc9,0.620607156,wrong,6_hard,0
6,hard,pruned,5adff9a5,0.928878895,wrong,6_hard,0
6,hard,pruned,5dbfe29c,0.73213192,wrong,6_hard,0
6,hard,pruned,65afea1f,0.620607156,wrong,6_hard,0
6,hard,pruned,6bb10472,0.620607156,validatedCorrect,6_hard,1
6,hard,pruned,6dd103e2,1.011243608,wrong,6_hard,0
6,hard,pruned,74e11ee8,0,validatedCorrect,6_hard,1
6,hard,pruned,7dd704e0,1.189050442,validatedCorrect,6_hard,1
6,hard,pruned,81c11c9f,0.863675713,validatedCorrect,6_hard,1
6,hard,pruned,92a74a76,0.99494859,wrong,6_hard,0
6,hard,pruned,a0f4f1bf,1.058732578,solvedCorrect,6_hard,0
6,hard,pruned,a2ebe618,0.497755793,wrong,6_hard,0
6,hard,pruned,aafbd6ab,0.77798151,wrong,6_hard,0
6,hard,pruned,b0e1157c,0.770230131,wrong,6_hard,0
6,hard,pruned,b9e512db,0.933319392,wrong,6_hard,0
6,hard,pruned,c7fffe38,0.99583172,wrong,6_hard,0
6,hard,pruned,d4fac87b,0.792508765,wrong,6_hard,0
6,hard,pruned,daefd33a,0.513296406,wrong,6_hard,0
6,hard,pruned,e0a737b6,0.513296406,wrong,6_hard,0
6,hard,pruned,e1e500d7,0.620607156,validatedCorrect,6_hard,1
6,hard,pruned,e9dbbf8a,0.863675713,solvedCorrect,6_hard,0
6,hard,pruned,eba732b3,0,validatedCorrect,6_hard,1
6,hard,pruned,f8bbc519,0,wrong,6_hard,0
6,hard,pruned,fcaffad4,1.194996373,wrong,6_hard,0
10,hard,full,13f4ff5a,0.710126639,wrong,10_hard,0
10,hard,full,1cdbeb89,0,wrong,10_hard,0
10,hard,full,1df6940e,0.50582942,validatedCorrect,10_hard,1
10,hard,full,1ff4f828,0.619165803,wrong,10_hard,0
10,hard,full,21abc061,0.735029694,wrong,10_hard,0
10,hard,full,23dbc11c,0.665400836,wrong,10_hard,0
10,hard,full,26dbf473,0,wrong,10_hard,0
10,hard,full,28e67c08,0.50582942,validatedCorrect,10_hard,1
10,hard,full,2fb4f99a,0.552026401,validatedCorrect,10_hard,1
10,hard,full,34b12db9,0.623428063,solvedCorrect,10_hard,0
10,hard,full,65f68460,0.508828864,validatedCorrect,10_hard,1
10,hard,full,75ffd9e8,0.767116431,wrong,10_hard,0
10,hard,full,7cf6845b,0.807269253,wrong,10_hard,0
10,hard,full,84dbf4f9,0.598392809,validatedCorrect,10_hard,1
10,hard,full,87cfed83,0,solvedCorrect,10_hard,0
10,hard,full,8bc69c49,0.971389716,wrong,10_hard,0
10,hard,full,92e6f512,0.50582942,validatedCorrect,10_hard,1
