userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,5,25,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.58973674,-1.647971953,-1.758043501
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,10,25,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.601962776,-1.668450399,-1.859178507
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,20,25,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.631508314,-1.705980254,-2.010715219
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,40,25,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.646731408,-1.77033628,-2.083065038
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,80,25,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.646731408,-1.870654557,-2.164358731
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,160,25,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.646731408,-2.010175891,-2.284244516
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,5,50,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.58973674,-1.580521819,-1.675725638
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,10,50,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.601962776,-1.59320611,-1.767930986
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,20,50,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.653173286,-1.617212491,-1.919715833
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,40,50,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.750080395,-1.660588395,-2.13475615
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,80,50,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.773496331,-1.733374678,-2.230800341
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,160,50,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.773496331,-1.843699954,-2.313314234
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,5,100,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.58973674,-1.540875328,-1.625428143
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,10,100,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.601962776,-1.548077771,-1.703750853
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,20,100,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.653173286,-1.562031948,-1.833402433
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,40,100,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.753301043,-1.588301353,-2.028960199
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,80,100,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.899633778,-1.63534218,-2.296174783
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,160,100,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.941598712,-1.713233908,-2.412102526
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,5,200,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.58973674,-1.519130986,-1.597113646
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,10,200,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.601962776,-1.522994313,-1.666340335
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,20,200,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.653173286,-1.530589179,-1.780099629
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,40,200,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.753301043,-1.545278691,-1.950711698
