,userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
4,17e120dd,6_hard_full,6,hard,full,interaction,0.05,25,-2.738862558,-2.366398704,-2.300116751,-2.151284265,-2.180494398,-2.490432673,-2.502870594
5,18dac9ef,6_hard_full,6,hard,full,density,0.05,25,-2.556612588,-3.315791524,-3.041204824,-3.119803452,-2.990403615,-3.01453828,-2.885296183
6,20bfd7bd,6_hard_full,6,hard,full,non-linear,0.05,25,-2.007316939,-1.979308097,-1.870179763,-1.905915955,-1.915789116,-1.939016247,-1.985557534
7,22dac859,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.251284176,-3.151747885,-3.161692937,-3.064537536,-3.081492458,-2.523722589,-2.498289505
14,26dbf6e9,6_hard_full,6,hard,full,interaction,0.05,25,-2.52472738,-1.932400945,-1.754489453,-1.432452321,-1.434212365,-1.48056985,-1.442158134
16,32ebf2e8,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.841290148,-2.031602777,-1.93984096,-1.925230159,-1.915165756,-1.824209143,-1.79995316
19,38ebbf94,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.70674786,-2.012825208,-1.901055552,-1.954917427,-1.900290263,-1.816439838,-1.726920097
23,3df11bae,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.792072139,-2.091105909,-1.953393505,-1.822705058,-1.782599778,-1.70142091,-1.661342385
26,44a4fa14,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.727175374,-2.529065486,-2.418038045,-2.263704723,-2.327509455,-1.874377089,-1.934125386
38,5edbbf73,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.768053131,-2.490205215,-2.379455863,-2.156102774,-2.185300401,-2.103115837,-2.116837271
43,67eac875,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.113884278,-2.742648289,-2.786405821,-2.810979308,-2.796003224,-2.507816966,-2.482748221
45,69bad0fe,6_hard_full,6,hard,full,blocking,0.05,25,-2.873975697,-2.119653125,-1.996305863,-1.842478333,-1.822729196,-2.340712141,-2.340127626
46,6bf51f66,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.704910976,-2.579650661,-2.486265425,-2.128864157,-2.181178989,-2.097843171,-2.137891836
48,70da8cfb,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.679231119,-2.164690108,-2.051847941,-1.849861317,-1.860259147,-1.744737751,-1.780462553
55,87b50908,6_hard_full,6,hard,full,interaction,0.05,25,-2.718904866,-2.169851142,-2.072038455,-1.778597092,-1.807644771,-1.953015315,-1.983367813
61,8fc76287,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.813586267,-2.227131878,-2.113570865,-1.885305454,-1.868134652,-1.8158221,-1.78431415
62,8fcbec83,6_hard_full,6,hard,full,density,0.05,25,-2.896843089,-3.594393,-3.609932211,-3.774266199,-3.796634887,-3.419944016,-3.442025717
65,91cfd7fb,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.705415465,-2.29587611,-2.146952675,-1.890192438,-1.86934816,-1.82094296,-1.798578058
66,92b722f3,6_hard_full,6,hard,full,blocking,0.05,25,-2.933183782,-2.57948445,-2.53461793,-2.45892693,-2.453607322,-2.640542469,-2.627080967
67,94d6ef33,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.876937586,-2.480767126,-2.388962914,-2.146875264,-2.154742622,-2.010154224,-2.012048576
70,9adbc2df,6_hard_full,6,hard,full,density,0.05,25,-2.495462049,-3.131534175,-3.040284255,-2.90736123,-2.949503567,-2.868837989,-2.86266405
71,9dc50a3d,6_hard_full,6,hard,full,non-linear,0.05,25,-2.947003366,-2.936010388,-2.910891858,-3.047261309,-3.023461587,-3.697848013,-3.700605436
73,a2f6ba1d,6_hard_full,6,hard,full,density,0.05,25,-1.882467527,-4.42559991,-4.137205415,-4.120560999,-4.082721513,-4.016074616,-3.979190549
80,b0d518a1,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.00928628,-3.06511404,-2.996388236,-2.86237931,-2.86794097,-2.158958412,-2.129213884
82,b7a4fe27,6_hard_full,6,hard,full,blocking,0.05,25,-2.911340376,-2.049987187,-1.96805978,-1.804050812,-1.789470119,-2.285610629,-2.301087674
84,bae515f2,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.404502665,-1.7780554,-1.580993237,-1.352131236,-1.349074379,-1.304389665,-1.295159613
86,bcdfd2df,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.113353435,-3.114378361,-3.095832749,-2.985767734,-2.969883946,-2.598160179,-2.559267272
87,bed50a1d,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.863142527,-2.573381013,-2.378154323,-2.080106052,-2.0444707,-2.030624675,-1.985535658
95,c7a67aab,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.667695546,-3.248529945,-3.225884981,-3.108460236,-3.132193669,-1.784675903,-1.801502739
96,c8a4fa50,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.846884477,-2.995274085,-2.927096386,-2.790468583,-2.78860269,-2.489748769,-2.498952226
99,cceac8ca,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.658588596,-2.509163914,-2.499110975,-2.397397925,-2.42254157,-1.989062307,-2.001736564
104,dbe71b15,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.680706319,-2.828773014,-2.747831739,-2.581474191,-2.606095367,-1.953647187,-2.001849956
105,dcc4f10e,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.404973264,-2.695494937,-2.642319966,-2.517910416,-2.559307559,-1.572092017,-1.621609601
106,dfcbf407,6_hard_full,6,hard,full,blocking,0.05,25,-2.591890294,-2.206209082,-2.088113404,-2.059031312,-2.027299648,-2.190353392,-2.182664156
107,dfe6bee3,6_hard_full,6,hard,full,non-linear,0.05,25,-2.580560987,-2.509919301,-2.427830026,-2.469284055,-2.467264929,-2.576960217,-2.544314825
112,eec7360c,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.776035817,-2.599594581,-2.574923384,-2.390214271,-2.445738367,-2.255018371,-2.292272557
113,efebc5bb,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.249434994,-3.445055692,-3.379090379,-3.179228501,-3.166814981,-3.169348282,-3.129270606
116,f1ebd0b7,6_hard_full,6,hard,full,interaction,0.05,25,-2.602689685,-2.456735773,-2.405141681,-1.87029787,-1.914975961,-1.882391974,-1.934622257
118,f3dbeb7e,6_hard_full,6,hard,full,blocking,0.05,25,-2.705497586,-2.479855996,-2.417821384,-2.394837099,-2.361728738,-3.035077364,-3.058692791
120,f6fbf6b1,6_hard_full,6,hard,full,linear,0.05,25,-3.140139239,-2.951718002,-3.00492252,-3.043401537,-3.020474977,-3.220597562,-3.217951886
123,fac10d6e,6_hard_full,6,hard,full,linear,0.05,25,-2.931307232,-2.856965392,-2.900895138,-3.315870567,-3.319650854,-3.086978686,-3.086674388
132,16d516ad,6_hard_pruned,6,hard,pruned,blocking,0.05,25,-2.77389765,-1.802538852,-1.685996422,-1.355644028,-1.334417567,-1.573913445,-1.545098255
133,1dac01e7,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.901291598,-1.830982841,-1.667013879,-1.526489302,-1.45831268,-1.42761731,-1.366921458
135,25cfdeaf,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.588061232,-2.025703685,-1.963439056,-1.854506124,-1.866642611,-1.841274156,-1.865694575
138,2afbbf79,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.718366348,-2.435239676,-2.370411669,-2.331797653,-2.301347397,-2.287021449,-2.257661113
142,2ff50f64,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.640531992,-2.23801875,-2.137273196,-2.0520673,-2.01590771,-1.91645546,-1.869620877
144,30e4feac,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.796259618,-3.366689844,-3.425820179,-3.681984939,-3.652917255,-2.632657814,-2.665970878
153,49c72e9b,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-1.943129336,-2.208403204,-2.110056562,-1.896115335,-1.978013185,-1.590217946,-1.649466764
154,4bca7fc9,6_hard_pruned,6,hard,pruned,density,0.05,25,-2.480450373,-2.906888569,-2.698341676,-2.806103887,-2.713278941,-3.476295833,-3.467451807
