userid,boardSize,condition,boardType,solvedCorrect,validatedCorrect,solutionTime,validationTime,actionsSolution,actionsValidation,time
11dfe866,6,pruned,easy,TRUE,TRUE,213868,46377,19,3,1.51E+12
12eacae6,6,full,easy,FALSE,FALSE,604061,104931,22,0,1.51E+12
12ebbfd2,6,pruned,easy,TRUE,TRUE,142738,21084,8,3,1.51E+12
13b7468e,10,pruned,hard,TRUE,TRUE,188678,75011,14,15,1.51E+12
13dbbfb8,10,pruned,hard,FALSE,FALSE,384120,88277,31,0,1.51E+12
13e4f569,6,pruned,hard,FALSE,FALSE,28344,21084,0,0,1.51E+12
13f4ff5a,10,full,hard,FALSE,FALSE,311356,43447,28,0,1.51E+12
16d516ad,6,pruned,hard,FALSE,FALSE,111798,27086,10,0,1.51E+12
16e512d0,6,pruned,easy,TRUE,TRUE,200549,27000,30,3,1.51E+12
16ead0a0,10,full,easy,FALSE,FALSE,72678,22447,22,0,1.51E+12
16f6e58d,10,pruned,hard,FALSE,FALSE,563425,88170,56,0,1.51E+12
17e120dd,6,full,hard,TRUE,FALSE,418239,98258,43,5,1.51E+12
18a695e2,10,pruned,hard,FALSE,FALSE,545517,77485,69,0,1.51E+12
18c75602,10,full,medium,TRUE,TRUE,271822,40575,35,4,1.51E+12
18dac9ef,6,full,hard,FALSE,FALSE,176564,130315,9,0,1.51E+12
19a105e3,6,pruned,easy,TRUE,TRUE,495231,44593,59,3,1.51E+12
19b680e2,10,pruned,medium,TRUE,TRUE,115018,39075,16,3,1.51E+12
1bd72c42,10,pruned,hard,TRUE,FALSE,81594,30660,6,3,1.51E+12
1cdbeb89,10,full,hard,FALSE,FALSE,60600,29874,2,0,1.51E+12
1dac01e7,6,pruned,hard,FALSE,FALSE,551964,22812,33,0,1.51E+12
1de715c7,6,pruned,easy,FALSE,FALSE,80666,57797,6,0,1.51E+12
1de74153,10,full,easy,FALSE,FALSE,264707,27245,74,0,1.51E+12
1debf4d1,10,full,medium,FALSE,FALSE,26921,84758,2,0,1.51E+12
1df6940e,10,full,hard,TRUE,TRUE,192040,64666,12,5,1.51E+12
1eebf908,10,full,easy,FALSE,FALSE,25904,18887,8,0,1.51E+12
