,entropy,condition
0,1.1850726434627852,Full
1,1.156495829763049,Full
2,1.1792118741658213,Full
3,1.3743076405642392,Full
4,1.2023744497862427,Full
5,1.2234220757790693,Full
6,1.2005405774442224,Full
7,1.0628504135283157,Full
8,1.2596861259764864,Full
9,1.1866130282127967,Full
10,1.3278678541676094,Full
11,1.1536056018125247,Full
12,1.3144144507885038,Full
13,1.2071742466549003,Full
14,1.2738144233773558,Full
15,1.0636021165665976,Full
16,1.2699687009626461,Full
17,1.4168691723439,Full
18,1.269296294938687,Full
19,1.3476925435185714,Full
20,1.3071392919843987,Full
21,1.1216334315402343,Full
22,1.1466138769207608,Full
23,1.2381162899418225,Full
24,1.2854519162882099,Full
25,1.3416881908774518,Full
26,1.1348529876580573,Full
27,1.3831386122768516,Full
28,1.1989351612432797,Full
29,1.2528713340842579,Full
30,1.2340542946271569,Full
31,1.2981086717296217,Full
32,1.179668010684126,Full
33,1.357821157732885,Full
34,1.3542951189325707,Full
35,1.2619196633372942,Full
36,1.3150143670305212,Full
37,1.217600452515583,Full
38,1.2364481148997797,Full
39,1.0628305185238491,Full
40,1.3394376204343101,Full
41,1.1068304103211286,Full
42,1.1388418936665925,Full
43,1.3303649115417622,Full
44,1.3655997366229098,Full
45,1.2343229411266503,Full
46,1.222466969481149,Full
47,1.1724752180038822,Full
48,1.2827712764804269,Full
49,1.2410576598952001,Full
50,1.1339569985964026,Full
51,1.2389648715380654,Full
52,1.0760044541407783,Full
53,1.336610710245242,Full
54,1.114219873118516,Full
55,1.3380287939045947,Full
56,0.9375740697137064,Full
57,1.2900432766393588,Full
58,1.379118748670951,Full
59,1.4462656313358462,Full
60,1.0907991137234196,Full
61,1.3066806755983256,Full
62,1.213565887460347,Full
63,1.342414375694404,Full
64,1.2101861487377392,Full
65,1.306418442942126,Full
66,1.1754732048390792,Full
67,1.2864594340424358,Full
68,1.1856504982352187,Full
69,1.130850421061654,Full
70,1.1928706617272298,Full
71,1.2131652977703784,Full
72,1.2898869601074288,Full
73,1.0866599276322377,Full
74,1.3414334785880753,Full
75,1.1482339596306648,Full
76,1.3730009838373518,Full
77,1.1045800949719613,Full
78,1.1642498196101236,Full
79,1.2828940476286081,Full
80,1.189923772366452,Full
81,1.279675531094991,Full
82,1.3063118914170317,Full
83,1.2361397298349384,Full
84,1.3356215590928324,Full
85,1.368993453481985,Full
86,1.3663570877754476,Full
87,1.299629635279667,Full
88,1.438697385082913,Full
89,1.2272960222880767,Full
90,1.214730443178444,Full
91,1.2696599450872283,Full
92,1.271297064735503,Full
93,1.249458547198972,Full
94,1.3087768883136237,Full
95,1.2444149445758654,Full
96,1.1894958798402326,Full
97,1.1794032913587915,Full
98,1.3118722935419835,Full
99,1.3383458220734037,Full
100,1.0313856932779109,Full
101,1.1936391020391606,Full
102,1.2823606050683396,Full
103,1.147405363991886,Full
104,1.3435781797573871,Full
105,1.1668066432766406,Full
106,1.2929496156058706,Full
107,0.9859538359893225,Full
108,1.28831364406838,Full
109,1.1973370403552437,Full
110,1.191366034294652,Full
111,1.371136608012754,Full
112,1.126101475799956,Full
113,1.010514476402775,Full
114,1.0739150334101661,Full
115,1.29477180200824,Full
116,1.2280411204603168,Full
117,1.383724542825745,Full
118,1.3104776492104018,Full
119,1.4273373502945577,Full
120,1.1866934311601551,Full
121,1.163459056528437,Full
122,1.0332264686365742,Full
123,1.1430357512454676,Full
124,1.1840797366628681,Full
125,1.4872326643786178,Full
126,1.3372060798945606,Full
127,1.3437814194861346,Full
128,1.1399554351555503,Full
129,1.3117377329334834,Full
130,1.0135805017571882,Full
131,1.3761092211434474,Full
132,1.18857812150162,Full
133,1.170217377531984,Full
134,1.0462022397589195,Full
135,0.9356994307554155,Full
136,1.3635401811842915,Full
137,1.4137374102297249,Full
138,1.234233079219371,Full
139,1.3978861865340961,Full
140,1.1585645424573303,Full
141,1.1182249928300378,Full
142,1.2137337470486609,Full
143,1.1178039622625855,Full
144,1.2465936028144153,Full
145,1.25028457869596,Full
146,0.9929033543531595,Full
147,1.46763745314555,Full
148,1.221681214100714,Full
149,1.278832233536829,Full
150,1.0663230999650362,Full
151,1.2519938465366487,Full
152,1.2583445654835903,Full
153,1.3751594760268444,Full
154,1.1113581414922835,Full
155,1.3160769637773087,Full
156,1.3049517581287748,Full
157,1.3907347327718345,Full
158,1.2986284438483906,Full
159,1.2034123059042185,Full
160,1.079000676312077,Full
161,1.274331947764271,Full
162,1.2642901448115247,Full
163,1.259403792383137,Full
164,1.1677415726021523,Full
165,1.2262404951282275,Full
166,1.4327533270672208,Full
167,1.2580580325506652,Full
168,1.1945452615289502,Full
169,1.2593808541773759,Full
170,1.1879254808778654,Full
171,1.416383962701172,Full
172,1.3933365871107235,Full
173,1.1543143665050537,Full
174,1.1490977939610945,Full
175,1.1920601779486104,Full
176,1.1886650803976102,Full
177,1.1871180938032633,Full
178,1.2147581688575786,Full
179,1.2231931462406394,Full
180,1.1862560096345975,Full
181,1.4449359861544817,Full
182,1.0805379357650995,Full
183,1.3687026498468922,Full
184,1.0243576085967923,Full
185,1.3727590248298478,Full
186,1.2059036522259443,Full
187,1.218410401303862,Full
188,1.3475211572431671,Full
189,1.319222873046873,Full
190,1.0868052471703677,Full
191,1.037091259194004,Full
192,1.0402420332414266,Full
193,1.2236032705266158,Full
194,1.2211283184200614,Full
195,1.385184152432589,Full
196,1.1622957330413988,Full
197,1.251962188790108,Full
198,1.341483911146395,Full
199,1.2308586361861558,Full
200,1.113586113399495,Full
201,1.1152033937871741,Full
202,1.3394037558208465,Full
203,1.1285836245992678,Full
204,1.2729557014364823,Full
205,1.188892148065366,Full
206,1.4668474838373913,Full
207,1.0210947209180778,Full
208,1.3428987017192349,Full
209,1.2575929049221393,Full
210,1.14394235811912,Full
211,1.0800926933673083,Full
212,1.3874099253446834,Full
213,1.1904430526299024,Full
214,1.4065742079317236,Full
215,1.3390210252510084,Full
216,1.3437836303191288,Full
217,0.9340945543549958,Full
218,1.1065104835747106,Full
219,1.1508317700675637,Full
220,1.16849476903802,Full
221,1.0955864314344244,Full
222,1.1414209170926477,Full
223,1.1622254164676886,Full
224,1.3547711498141533,Full
225,1.0916001631123202,Full
226,1.2744085020132379,Full
227,1.190521953230334,Full
228,1.338565815909503,Full
229,1.3778787495057647,Full
230,1.2148388087995212,Full
231,1.2984302554565854,Full
232,1.5213809006295265,Full
233,1.0944697486878472,Full
234,1.3146380466106211,Full
235,1.141964213483516,Full
236,1.029890716358825,Full
237,1.3969934196412108,Full
238,1.360996825519191,Full
239,1.2749926359574852,Full
